SznPlPos,PlPos,SznLgTrf,LgTrf,Season,TrfLg,TRUFFLE,Logo,Award,Div,Winner,Pos,Value,Image
2023_WhiteLakeWhales_,WhiteLakeWhales_,2023_TRUFFLE_WLW,TRUFFLE_WLW,2023,TRUFFLE,WLW,https://ik.imagekit.io/rmaxsm/Awards%20Logos/RFS.png?updatedAt=1741072371985,Champion,CH+,White Lake Whales,,11-3,
2023_EastLansingPuffins_,EastLansingPuffins_,2023_TRUFFLE_ELP,TRUFFLE_ELP,2023,TRUFFLE,ELP,https://ik.imagekit.io/rmaxsm/Awards%20Logos/BenchCup.png?updatedAt=1741072375029,Bench Cup Champion,MI,East Lansing Puffins,,8-6,
2023_FrankfurtRoadrunners_,FrankfurtRoadrunners_,2023_TRUFFLE_FRR,TRUFFLE_FRR,2023,TRUFFLE,FRR,https://ik.imagekit.io/rmaxsm/Awards%20Logos/2nd.png?updatedAt=1748805817095,2nd Place,GOB,Frankfurt Roadrunners,,12-2,
2023_CypressRidgeBlossoms_,CypressRidgeBlossoms_,2023_TRUFFLE_CRB,TRUFFLE_CRB,2023,TRUFFLE,CRB,https://ik.imagekit.io/rmaxsm/Awards%20Logos/3rd.png?updatedAt=1748805842541,3rd Place,OT,Cypress Ridge Blossoms,,9-5,
2023_FrankfurtRoadrunners_,FrankfurtRoadrunners_,2023_TRUFFLE_FRR,TRUFFLE_FRR,2023,TRUFFLE,FRR,https://ik.imagekit.io/rmaxsm/tD%20Logos/HighScore.png?updatedAt=1741568471038,Regular Season 1 Seed,GOB,Frankfurt Roadrunners,,12-2,
2024_FrankfurtRoadrunners_,FrankfurtRoadrunners_,2024_TRUFFLE_FRR,TRUFFLE_FRR,2024,TRUFFLE,FRR,https://ik.imagekit.io/rmaxsm/Awards%20Logos/DivWinner.png?updatedAt=1748807205782,Division Winner,GOB,Frankfurt Roadrunners,,12-2,
2025_WhiteLakeWhales_,WhiteLakeWhales_,2025_TRUFFLE_WLW,TRUFFLE_WLW,2025,TRUFFLE,WLW,https://ik.imagekit.io/rmaxsm/Awards%20Logos/DivWinner.png?updatedAt=1748807205782,Division Winner,CH+,White Lake Whales,,11-3,
2026_EastLansingPuffins_,EastLansingPuffins_,2026_TRUFFLE_ELP,TRUFFLE_ELP,2026,TRUFFLE,ELP,https://ik.imagekit.io/rmaxsm/Awards%20Logos/DivWinner.png?updatedAt=1748807205782,Division Winner,MI,East Lansing Puffins,,8-6,
2027_McLeanMarauders_,McLeanMarauders_,2027_TRUFFLE_MCM,TRUFFLE_MCM,2027,TRUFFLE,MCM,https://ik.imagekit.io/rmaxsm/Awards%20Logos/DivWinner.png?updatedAt=1748807205782,Division Winner,OT,McLean Marauders,,10-4,
2023_MadisonMuskellunge_,MadisonMuskellunge_,2023_TRUFFLE_MAM,TRUFFLE_MAM,2023,TRUFFLE,MAM,https://ik.imagekit.io/rmaxsm/tD%20Logos/AvgScore.png?updatedAt=1741568470956,Consolation Winner,,Madison Muskellunge,,7-7,
2023_TylerFuelling_,TylerFuelling_,2023_TRUFFLE_WLW,TRUFFLE_WLW,2023,TRUFFLE,WLW,https://ik.imagekit.io/rmaxsm/Awards%20Logos/Exec.png?updatedAt=1741072377136,Executive of the Year,,Tyler Fuelling,,,
