SznPlPos,PlPos,SznLgTrf,LgTrf,TrfLg,Season,Round,Pick,RoundPick,TrfTm,Player,Pos,Salary,Extension
2020_TuaTagovailoa_QB,TuaTagovailoa_QB,2020_TRUFFLE_MAM,TRUFFLE_MAM,TRUFFLE,2020,1,1,1,MAM,Tua Tagovailoa,QB,50,70
2020_JoeBurrow_QB,JoeBurrow_QB,2020_TRUFFLE_AFL,TRUFFLE_AFL,TRUFFLE,2020,1,2,2,AFL,Joe Burrow,QB,45,70
2020_ClydeEdwards-Helaire_RB,ClydeEdwards-Helaire_RB,2020_TRUFFLE_FRR,TRUFFLE_FRR,TRUFFLE,2020,1,3,3,FRR,Clyde Edwards-Helaire,RB,40,70
2020_JonathanTaylor_RB,JonathanTaylor_RB,2020_TRUFFLE_CC,TRUFFLE_CC,TRUFFLE,2020,1,4,4,CC,Jonathan Taylor,RB,35,70
2020_JustinHerbert_QB,JustinHerbert_QB,2020_TRUFFLE_MCM,TRUFFLE_MCM,TRUFFLE,2020,1,5,5,MCM,Justin Herbert,QB,30,70
2020_JerryJeudy_WR,JerryJeudy_WR,2020_TRUFFLE_MWM,TRUFFLE_MWM,TRUFFLE,2020,1,6,6,MWM,Jerry Jeudy,WR,25,60
2020_CeeDeeLamb_WR,CeeDeeLamb_WR,2020_TRUFFLE_WLW,TRUFFLE_WLW,TRUFFLE,2020,1,7,7,WLW,CeeDee Lamb,WR,20,50
2020_JKDobbins_RB,JKDobbins_RB,2020_TRUFFLE_CRB,TRUFFLE_CRB,TRUFFLE,2020,1,8,8,CRB,JK Dobbins,RB,15,60
2020_D'AndreSwift_RB,D'AndreSwift_RB,2020_TRUFFLE_VD,TRUFFLE_VD,TRUFFLE,2020,1,9,9,VD,D'Andre Swift,RB,15,60
2020_CamAkers_RB,CamAkers_RB,2020_TRUFFLE_NN,TRUFFLE_NN,TRUFFLE,2020,1,10,10,NN,Cam Akers,RB,10,60
2020_JalenReagor_WR,JalenReagor_WR,2020_TRUFFLE_ELP,TRUFFLE_ELP,TRUFFLE,2020,1,11,11,ELP,Jalen Reagor,WR,10,50
2020_Ke'ShawnVaughn_RB,Ke'ShawnVaughn_RB,2020_TRUFFLE_GF,TRUFFLE_GF,TRUFFLE,2020,1,12,12,GF,Ke'Shawn Vaughn,RB,10,60
2020_HenryRuggs_WR,HenryRuggs_WR,2020_TRUFFLE_GF,TRUFFLE_GF,TRUFFLE,2020,2,13,1,GF,Henry Ruggs,WR,5,40
2020_AJDillon_RB,AJDillon_RB,2020_TRUFFLE_ELP,TRUFFLE_ELP,TRUFFLE,2020,2,14,2,ELP,AJ Dillon,RB,5,50
2020_JustinJefferson_WR,JustinJefferson_WR,2020_TRUFFLE_NN,TRUFFLE_NN,TRUFFLE,2020,2,15,3,NN,Justin Jefferson,WR,5,40
2020_MichaelPittman_WR,MichaelPittman_WR,2020_TRUFFLE_VD,TRUFFLE_VD,TRUFFLE,2020,2,16,4,VD,Michael Pittman,WR,5,40
2020_AntonioGibson_RB,AntonioGibson_RB,2020_TRUFFLE_CRB,TRUFFLE_CRB,TRUFFLE,2020,2,17,5,CRB,Antonio Gibson,RB,5,50
2020_TeeHiggins_WR,TeeHiggins_WR,2020_TRUFFLE_WLW,TRUFFLE_WLW,TRUFFLE,2020,2,18,6,WLW,Tee Higgins,WR,5,40
2020_LaviskaShenault_WR,LaviskaShenault_WR,2020_TRUFFLE_VD,TRUFFLE_VD,TRUFFLE,2020,2,19,7,VD,Laviska Shenault,WR,4,40
2020_BrandonAiyuk_WR,BrandonAiyuk_WR,2020_TRUFFLE_MCM,TRUFFLE_MCM,TRUFFLE,2020,2,20,8,MCM,Brandon Aiyuk,WR,4,40
2020_ChaseClaypool_WR,ChaseClaypool_WR,2020_TRUFFLE_CC,TRUFFLE_CC,TRUFFLE,2020,2,21,9,CC,Chase Claypool,WR,4,40
2020_ColeKmet_TE,ColeKmet_TE,2020_TRUFFLE_MWM,TRUFFLE_MWM,TRUFFLE,2020,2,22,10,MWM,Cole Kmet,TE,4,10
2020_DenzelMims_WR,DenzelMims_WR,2020_TRUFFLE_AFL,TRUFFLE_AFL,TRUFFLE,2020,2,23,11,AFL,Denzel Mims,WR,4,40
2020_KJHamler_WR,KJHamler_WR,2020_TRUFFLE_MAM,TRUFFLE_MAM,TRUFFLE,2020,2,24,12,MAM,KJ Hamler,WR,4,40
2020_LynnBowden_WR,LynnBowden_WR,2020_TRUFFLE_MAM,TRUFFLE_MAM,TRUFFLE,2020,3,25,1,MAM,Lynn Bowden,WR,3,30
2020_AnthonyMcFarland_RB,AnthonyMcFarland_RB,2020_TRUFFLE_AFL,TRUFFLE_AFL,TRUFFLE,2020,3,26,2,AFL,Anthony McFarland,RB,3,30
2020_VanJefferson_WR,VanJefferson_WR,2020_TRUFFLE_MWM,TRUFFLE_MWM,TRUFFLE,2020,3,27,3,MWM,Van Jefferson,WR,3,30
