Season,Week,TRUFFLE,Pos,NFL,Player,Opp,OpRk,PaCmp,PaAtt,PaYd,PaTD,PaInt,RuAtt,RuYd,RuTD,RuFD,Tar,Rec,ReYd,ReTD,ReFD,FL,Avg,FPts
2023,18,FA,DST,NYJ,Jets,0,,,,,,,,,,,,,,,,,20.00,20
2023,18,FA,DST,NYG,Giants,0,,,,,,,,,,,,,,,,,19.00,19
2023,18,FA,DST,TB,Buccaneers,0,,,,,,,,,,,,,,,,,17.00,17
2023,18,AFL,DST,DAL,Cowboys,0,,,,,,,,,,,,,,,,,16.00,16
2023,18,MWM,DST,KC,Chiefs,0,,,,,,,,,,,,,,,,,15.00,15
2023,18,WLW,DST,BUF,Bills,0,,,,,,,,,,,,,,,,,14.00,14
2023,18,FA,DST,PIT,Steelers,0,,,,,,,,,,,,,,,,,12.00,12
2023,18,CC,DST,DET,Lions,0,,,,,,,,,,,,,,,,,11.00,11
2023,18,CRB,DST,MIA,Dolphins,0,,,,,,,,,,,,,,,,,11.00,11
2023,18,FA,DST,NO,Saints,0,,,,,,,,,,,,,,,,,10.00,10
2023,18,FA,DST,CIN,Bengals,0,,,,,,,,,,,,,,,,,10.00,10
2023,18,GF,DST,GB,Packers,0,,,,,,,,,,,,,,,,,9.00,9
2023,18,FA,DST,LV,Raiders,0,,,,,,,,,,,,,,,,,9.00,9
2023,18,MAM,DST,BAL,Ravens,0,,,,,,,,,,,,,,,,,8.00,8
2023,18,FA,DST,LAC,Chargers,0,,,,,,,,,,,,,,,,,8.00,8
2023,18,FA,DST,TEN,Titans,0,,,,,,,,,,,,,,,,,7.00,7
2023,18,FA,DST,CAR,Panthers,0,,,,,,,,,,,,,,,,,7.00,7
2023,18,NN,DST,LAR,Rams,0,,,,,,,,,,,,,,,,,6.00,6
2023,18,FRR,DST,CLE,Browns,0,,,,,,,,,,,,,,,,,5.00,5
2023,18,MCM,DST,PHI,Eagles,0,,,,,,,,,,,,,,,,,5.00,5
2023,18,FA,DST,JAC,Jaguars,0,,,,,,,,,,,,,,,,,4.00,4
2023,18,FA,DST,NE,Patriots,0,,,,,,,,,,,,,,,,,4.00,4
2023,18,FA,DST,IND,Colts,0,,,,,,,,,,,,,,,,,4.00,4
2023,18,CRB,DST,HOU,Texans,0,,,,,,,,,,,,,,,,,4.00,4
2023,18,VD,DST,CHI,Bears,0,,,,,,,,,,,,,,,,,4.00,4
2023,18,MAM,DST,DEN,Broncos,0,,,,,,,,,,,,,,,,,3.00,3
2023,18,FA,DST,SEA,Seahawks,0,,,,,,,,,,,,,,,,,2.00,2
2023,18,FA,DST,ARI,Cardinals,0,,,,,,,,,,,,,,,,,0.00,0
2023,18,FA,DST,MIN,Vikings,0,,,,,,,,,,,,,,,,,0.00,0
2023,18,FA,DST,WAS,Commanders,0,,,,,,,,,,,,,,,,,-1.00,-1
2023,18,FA,DST,ATL,Falcons,0,,,,,,,,,,,,,,,,,-1.00,-1
2023,18,ELP,DST,SF,49ers,0,,,,,,,,,,,,,,,,,5.00,5
