Season,Week,TRUFFLE,Pos,Player,NFL,Opp,OpRk,PaCmp,PaAtt,PaYd,PaTD,PaInt,RuAtt,RuYd,RuTD,RuFD,Tar,Rec,ReYd,ReTD,ReFD,FL,Avg,FPts
2022,12,AFL,RB,Miles Sanders,PHI,GB,28,0,0,0,0,0,21,143,2,7,3,3,17,0,0,0,35.00,35.00
2022,12,AFL,RB,Isiah Pacheco,KC,LAR,10,0,0,0,0,0,22,69,1,2,1,1,17,0,1,0,17.60,17.60
2022,12,AFL,RB,Rachaad White,TB,@CLE,31,0,0,0,0,0,14,64,0,2,9,9,45,0,0,0,12.90,12.90
2022,12,AFL,WR,AJ Brown,PHI,GB,10,0,0,0,0,0,0,0,0,0,6,4,46,1,3,1,11.60,11.60
2022,12,AFL,WR,Chris Olave,NO,@SF,23,0,0,0,0,0,0,0,0,0,9,5,62,0,3,0,9.20,9.20
2022,12,AFL,WR,Drake London,ATL,@WAS,20,0,0,0,0,0,0,0,0,0,4,2,29,0,1,0,3.90,3.90
2022,12,AFL,TE,Trey McBride,ARI,LAC,26,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0.10,0.10
2022,12,AFL,RB,Raheem Mostert,MIA,HOU,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2022,12,AFL,QB,Matthew Stafford,LAR,@KC,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2022,12,AFL,DST,Dolphins,MIA,HOU,30,,,,,,,,,,,,,,,,20.00,20.00
2022,12,CC,QB,Josh Allen,BUF,@DET,32,24,42,253,2,1,10,78,1,5,0,0,0,0,0,0,34.92,34.92
2022,12,CC,QB,Kirk Cousins,MIN,NE,13,30,37,299,3,1,1,-1,0,0,0,0,0,0,0,0,21.96,21.96
2022,12,CC,WR,DeAndre Hopkins,ARI,LAC,9,0,0,0,0,0,0,0,0,0,6,4,87,1,3,0,17.70,17.70
2022,12,CC,WR,Tyler Lockett,SEA,LV,16,0,0,0,0,0,0,0,0,0,7,3,68,1,2,0,14.80,14.80
2022,12,CC,WR,Darius Slayton,NYG,@DAL,13,0,0,0,0,0,0,0,0,0,6,3,63,0,2,0,8.30,8.30
2022,12,CC,RB,Alvin Kamara,NO,@SF,1,0,0,0,0,0,7,13,0,2,7,6,37,0,1,2,4.00,4.00
2022,12,CC,TE,Mike Gesicki,MIA,HOU,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.00
2022,12,CC,RB,Jonathan Taylor,IND,PIT,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2022,12,CC,WR,George Pickens,PIT,@IND,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2022,12,CC,DST,Colts,IND,PIT,27,,,,,,,,,,,,,,,,-,0.00
2022,12,CRB,QB,Jalen Hurts,PHI,GB,12,16,28,153,2,0,17,157,0,10,0,0,0,0,0,0,39.82,39.82
2022,12,CRB,WR,Amon-Ra St Brown,DET,BUF,25,0,0,0,0,0,1,7,0,1,10,9,122,1,7,0,26.90,26.90
2022,12,CRB,TE,TJ Hockenson,MIN,NE,22,0,0,0,0,0,0,0,0,0,6,5,43,1,3,0,13.30,13.30
2022,12,CRB,WR,Michael Gallup,DAL,NYG,4,0,0,0,0,0,0,0,0,0,8,5,63,0,4,0,10.30,10.30
2022,12,CRB,RB,Antonio Gibson,WAS,ATL,25,0,0,0,0,0,9,32,0,2,3,3,22,0,1,0,8.40,8.40
2022,12,CRB,WR,DeVonta Smith,PHI,GB,10,0,0,0,0,0,0,0,0,0,9,4,50,0,2,0,7.00,7.00
2022,12,CRB,RB,Elijah Mitchell,SF,NO,12,0,0,0,0,0,7,35,0,1,2,2,8,0,0,0,5.30,5.30
2022,12,CRB,TE,Tyler Higbee,LAR,@KC,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
2022,12,CRB,QB,Kenny Pickett,PIT,@IND,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2022,12,CRB,DST,Packers,GB,@PHI,12,,,,,,,,,,,,,,,,0.00,0.00
2022,12,ELP,QB,Geno Smith,SEA,LV,29,27,37,328,2,1,5,22,0,3,0,0,0,0,0,1,22.32,22.32
2022,12,ELP,RB,Kenneth Walker,SEA,LV,27,0,0,0,0,0,14,26,2,2,1,1,13,0,1,0,18.90,18.90
2022,12,ELP,RB,Jamaal Williams,DET,BUF,17,0,0,0,0,0,18,66,1,4,0,0,0,0,0,1,14.60,14.60
2022,12,ELP,QB,Daniel Jones,NYG,@DAL,6,21,35,228,1,0,3,14,0,0,0,0,0,0,0,0,14.52,14.52
2022,12,ELP,WR,Tyreek Hill,MIA,HOU,12,0,0,0,0,0,1,5,0,0,9,6,85,0,4,0,13.00,13.00
2022,12,ELP,RB,Derrick Henry,TEN,CIN,11,0,0,0,0,0,17,38,0,0,3,3,79,0,1,0,12.70,12.70
2022,12,ELP,TE,Mark Andrews,BAL,@JAC,21,0,0,0,0,0,0,0,0,0,7,4,50,0,2,0,9.00,9.00
2022,12,ELP,WR,Deebo Samuel,SF,NO,21,0,0,0,0,0,2,0,0,0,7,3,43,0,2,0,6.30,6.30
2022,12,ELP,WR,Michael Pittman,IND,PIT,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2022,12,ELP,DST,49ers,SF,NO,28,,,,,,,,,,,,,,,,15.00,15.00
2022,12,FRR,QB,Patrick Mahomes,KC,LAR,10,27,42,320,1,1,4,36,0,3,0,0,0,0,0,0,21.40,21.40
2022,12,FRR,QB,Joe Burrow,CIN,@TEN,25,22,37,270,1,0,9,32,0,2,0,0,0,0,0,0,20.00,20.00
2022,12,FRR,RB,Rhamondre Stevenson,NE,@MIN,19,0,0,0,0,0,7,36,0,2,10,9,76,0,2,0,15.20,15.20
2022,12,FRR,RB,Jeff Wilson,MIA,HOU,32,0,0,0,0,0,13,39,1,3,3,1,13,0,1,0,15.20,15.20
2022,12,FRR,TE,Travis Kelce,KC,LAR,16,0,0,0,0,0,0,0,0,0,8,4,57,1,3,0,14.70,14.70
2022,12,FRR,WR,Jaylen Waddle,MIA,HOU,12,0,0,0,0,0,0,0,0,0,10,5,85,0,4,0,12.50,12.50
2022,12,FRR,WR,Terry McLaurin,WAS,ATL,30,0,0,0,0,0,1,5,0,0,6,4,48,0,4,0,9.30,9.30
2022,12,FRR,RB,Christian McCaffrey,SF,NO,12,0,0,0,0,0,11,32,0,2,6,4,17,0,1,0,7.90,7.90
2022,12,FRR,WR,JuJu Smith-Schuster,KC,LAR,19,0,0,0,0,0,0,0,0,0,3,3,38,0,3,0,6.80,6.80
2022,12,FRR,DST,Broncos,DEN,@CAR,25,,,,,,,,,,,,,,,,2.00,2.00
2022,12,GF,RB,Nick Chubb,CLE,TB,5,0,0,0,0,0,26,116,1,5,1,1,16,0,1,0,25.20,25.20
2022,12,GF,RB,James Conner,ARI,LAC,30,0,0,0,0,0,25,120,0,5,3,3,20,1,2,1,25.00,25.00
2022,12,GF,QB,Derek Carr,LV,@SEA,20,25,36,295,3,2,2,10,0,1,0,0,0,0,0,0,21.80,21.80
2022,12,GF,WR,Christian Watson,GB,@PHI,7,0,0,0,0,0,0,0,0,0,6,4,110,1,4,0,21.00,21.00
2022,12,GF,WR,Keenan Allen,LAC,@ARI,18,0,0,0,0,0,0,0,0,0,7,5,49,1,4,0,14.90,14.90
2022,12,GF,QB,Russell Wilson,DEN,@CAR,15,19,35,142,1,0,2,8,0,0,0,0,0,0,0,1,8.48,8.48
2022,12,GF,RB,Michael Carter,NYJ,CHI,26,0,0,0,0,0,6,21,0,0,2,2,15,0,0,0,3.60,3.60
2022,12,GF,TE,Dawson Knox,BUF,@DET,28,0,0,0,0,0,0,0,0,0,2,2,17,0,1,0,2.70,2.70
2022,12,GF,WR,Donovan Peoples-Jones,CLE,TB,15,0,0,0,0,0,0,0,0,0,4,2,16,0,1,0,2.60,2.60
2022,12,GF,DST,Commanders,WAS,ATL,10,,,,,,,,,,,,,,,,8.00,8.00
2022,12,MAM,WR,Garrett Wilson,NYJ,CHI,14,0,0,0,0,0,1,-1,0,0,8,5,95,2,5,0,26.50,26.50
2022,12,MAM,WR,Chris Godwin,TB,@CLE,22,0,0,0,0,0,0,0,0,0,13,12,110,1,6,0,23.00,23.00
2022,12,MAM,RB,Samaje Perine,CIN,@TEN,3,0,0,0,0,0,17,58,1,4,7,4,35,0,1,0,20.30,20.30
2022,12,MAM,RB,David Montgomery,CHI,@NYJ,9,0,0,0,0,0,14,79,0,4,4,3,34,0,1,0,16.30,16.30
2022,12,MAM,QB,Tua Tagovailoa,MIA,HOU,3,22,36,299,1,0,0,0,0,0,0,0,0,0,0,0,15.96,15.96
2022,12,MAM,RB,Saquon Barkley,NYG,@DAL,7,0,0,0,0,0,11,39,1,3,6,4,13,0,0,0,14.20,14.20
2022,12,MAM,TE,George Kittle,SF,NO,1,0,0,0,0,0,0,0,0,0,4,3,26,0,2,0,4.60,4.60
2022,12,MAM,WR,Mike Evans,TB,@CLE,22,0,0,0,0,0,0,0,0,0,9,2,31,0,1,0,4.10,4.10
2022,12,MAM,QB,Matt Ryan,IND,PIT,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2022,12,MAM,DST,Bills,BUF,@DET,19,,,,,,,,,,,,,,,,8.00,8.00
2022,12,MCM,QB,Justin Herbert,LAC,@ARI,30,35,47,274,3,0,4,38,0,3,0,0,0,0,0,0,31.76,31.76
2022,12,MCM,WR,Stefon Diggs,BUF,@DET,31,0,0,0,0,0,0,0,0,0,15,8,77,1,6,0,19.70,19.70
2022,12,MCM,RB,Austin Ekeler,LAC,@ARI,20,0,0,0,0,0,5,20,0,1,15,11,60,1,3,0,18.00,18.00
2022,12,MCM,QB,Dak Prescott,DAL,NYG,9,21,30,261,2,2,2,4,0,0,0,0,0,0,0,0,14.84,14.84
2022,12,MCM,RB,Latavius Murray,DEN,@CAR,24,0,0,0,0,0,13,92,0,3,1,1,6,0,1,0,13.80,13.80
2022,12,MCM,WR,Davante Adams,LV,@SEA,5,0,0,0,0,0,0,0,0,0,11,7,74,0,4,0,11.40,11.40
2022,12,MCM,WR,Brandin Cooks,HOU,@MIA,11,0,0,0,0,0,1,2,0,0,5,5,59,0,2,0,8.10,8.10
2022,12,MCM,TE,Taysom Hill,NO,@SF,2,0,1,0,0,0,6,13,0,0,2,1,7,0,0,0,2.00,2.00
2022,12,MCM,RB,Travis Etienne,JAC,BAL,6,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0.30,0.30
2022,12,MCM,DST,Ravens,BAL,@JAC,6,,,,,,,,,,,,,,,,5.00,5.00
2022,12,MWM,QB,Mac Jones,NE,@MIN,26,28,39,382,2,0,0,0,0,0,0,0,0,0,0,0,23.28,23.28
2022,12,MWM,RB,Aaron Jones,GB,@PHI,23,0,0,0,0,0,12,43,0,2,4,3,56,1,2,0,19.90,19.90
2022,12,MWM,QB,Tom Brady,TB,@CLE,14,29,43,246,2,0,1,2,0,1,0,0,0,0,0,0,19.04,19.04
2022,12,MWM,WR,Adam Thielen,MIN,NE,6,0,0,0,0,0,0,0,0,0,10,9,61,1,4,0,16.10,16.10
2022,12,MWM,RB,Devin Singletary,BUF,@DET,21,0,0,0,0,0,14,72,0,5,1,1,8,0,0,0,13.00,13.00
2022,12,MWM,WR,DK Metcalf,SEA,LV,16,0,0,0,0,0,0,0,0,0,15,11,90,0,4,0,13.00,13.00
2022,12,MWM,TE,Foster Moreau,LV,@SEA,32,0,0,0,0,0,0,0,0,0,7,3,33,1,3,0,12.30,12.30
2022,12,MWM,WR,Tyler Boyd,CIN,@TEN,29,0,0,0,0,0,0,0,0,0,4,2,16,0,1,0,2.60,2.60
2022,12,MWM,WR,Corey Davis,NYJ,CHI,14,0,0,0,0,0,0,0,0,0,3,1,9,0,1,0,1.90,1.90
2022,12,MWM,DST,Jets,NYJ,CHI,29,,,,,,,,,,,,,,,,9.00,9.00
2022,12,NN,RB,Josh Jacobs,LV,@SEA,29,0,0,0,0,0,33,229,2,9,7,6,74,0,2,0,53.30,53.30
2022,12,NN,QB,Kyler Murray,ARI,LAC,18,18,29,191,2,1,7,56,1,4,0,0,0,0,0,0,29.24,29.24
2022,12,NN,WR,Justin Jefferson,MIN,NE,6,1,1,11,0,0,0,0,0,0,11,9,139,1,5,0,25.34,25.34
2022,12,NN,QB,Trevor Lawrence,JAC,BAL,21,29,37,321,3,0,2,1,0,0,0,0,0,0,0,1,24.94,24.94
2022,12,NN,RB,Ezekiel Elliott,DAL,NYG,22,0,0,0,0,0,16,92,1,5,1,1,3,0,0,0,20.50,20.50
2022,12,NN,WR,Amari Cooper,CLE,TB,15,0,0,0,0,0,0,0,0,0,12,7,94,0,4,0,13.40,13.40
2022,12,NN,WR,Josh Palmer,LAC,@ARI,18,0,0,0,0,0,0,0,0,0,7,5,56,0,5,0,10.60,10.60
2022,12,NN,WR,Christian Kirk,JAC,BAL,27,0,0,0,0,0,1,-5,0,0,9,4,46,0,2,0,6.60,6.60
2022,12,NN,TE,Pat Freiermuth,PIT,@IND,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2022,12,NN,DST,Patriots,NE,@MIN,8,,,,,,,,,,,,,,,,3.00,3.00
2022,12,VD,QB,Sam Darnold,CAR,DEN,2,11,19,164,1,0,3,3,1,1,0,0,0,0,0,0,17.86,17.86
