Season,Week,TRUFFLE,Pos,Player,NFL,Opp,OpRk,PaCmp,PaAtt,PaYd,PaTD,PaInt,RuAtt,RuYd,RuTD,RuFD,Tar,Rec,ReYd,ReTD,ReFD,FL,Avg,FPts
2025,7,AFL,RB,Jahmyr Gibbs,DET,TB,22,0,0,0,0,0,17,136,2,5,3,3,82,0,3,0,41.80,41.80
2025,7,AFL,WR,AJ Brown,PHI,@MIN,6,0,0,0,0,0,0,0,0,0,6,4,121,2,4,0,28.10,28.10
2025,7,AFL,WR,Keenan Allen,LAC,IND,29,0,0,0,0,0,0,0,0,0,14,11,119,1,7,0,24.90,24.90
2025,7,AFL,QB,Jacoby Brissett,ARI,GB,15,25,36,279,2,0,6,26,0,2,0,0,0,0,0,1,21.76,21.76
2025,7,AFL,QB,Jayden Daniels,WAS,@DAL,32,12,22,156,1,0,8,35,1,4,0,0,0,0,0,1,21.74,21.74
2025,7,AFL,RB,Rhamondre Stevenson,NE,@TEN,28,0,0,0,0,0,18,88,1,5,2,2,0,0,0,0,19.80,19.80
2025,7,AFL,WR,Tee Higgins,CIN,PIT,24,0,0,0,0,0,0,0,0,0,10,6,96,1,3,0,18.60,18.60
2025,7,AFL,WR,Quentin Johnston,LAC,IND,29,0,0,0,0,0,0,0,0,0,6,2,30,1,1,0,10.00,10.00
2025,7,AFL,RB,Travis Etienne,JAC,LAR,4,0,0,0,0,0,8,44,0,3,3,1,11,0,1,0,9.50,9.50
2025,7,AFL,WR,Emeka Egbuka,TB,@DET,27,0,0,0,0,0,0,0,0,0,12,4,58,0,2,0,7.80,7.80
2025,7,AFL,TE,Dallas Goedert,PHI,@MIN,7,0,0,0,0,0,0,0,0,0,3,3,18,0,0,0,1.80,1.80
2025,7,AFL,RB,Dylan Sampson,CLE,MIA,29,0,0,0,0,0,3,8,0,0,1,1,9,0,0,0,1.70,1.70
2025,7,AFL,WR,Adonai Mitchell,IND,@LAC,5,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0.80,0.80
2025,7,AFL,RB,Sean Tucker,TB,@DET,2,0,0,0,0,0,1,4,0,0,1,1,2,0,0,0,0.60,0.60
2025,7,AFL,WR,Zay Flowers,BAL,BYE,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,AFL,RB,Trevor Etienne,CAR,@NYJ,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
2025,7,AFL,RB,Aaron Jones,MIN,PHI,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,AFL,TE,Brock Bowers,LV,@KC,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,AFL,QB,Kyler Murray,ARI,GB,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,AFL,DST,Chiefs,KC,LV,28,,,,,,,,,,,,,,,,14.00,14.00
2025,7,FRR,QB,Joe Flacco,CIN,PIT,29,31,47,342,3,0,5,3,0,2,0,0,0,0,0,0,27.98,27.98
2025,7,CC,QB,Drake Maye,NE,@TEN,13,21,23,222,2,0,8,62,0,3,0,0,0,0,0,0,26.08,26.08
2025,7,CC,TE,Trey McBride,ARI,GB,30,0,0,0,0,0,0,0,0,0,13,10,74,2,4,0,23.40,23.40
2025,7,CC,QB,Aaron Rodgers,PIT,@CIN,24,23,34,249,4,2,1,6,0,0,0,0,0,0,0,0,22.56,22.56
2025,7,CC,WR,Amon-Ra St Brown,DET,TB,12,0,0,0,0,0,0,0,0,0,10,6,86,1,3,0,17.60,17.60
2025,7,CC,TE,Zach Ertz,WAS,@DAL,13,0,0,0,0,0,0,0,0,0,7,3,37,1,2,0,11.70,11.70
2025,7,CC,RB,Rachaad White,TB,@DET,2,0,0,0,0,0,10,38,0,2,6,4,6,0,0,0,6.40,6.40
2025,7,CC,WR,DK Metcalf,PIT,@CIN,16,0,0,0,0,0,0,0,0,0,5,3,50,0,1,0,6.00,6.00
2025,7,CC,TE,Mason Taylor,NYJ,CAR,29,0,0,0,0,0,0,0,0,0,5,3,31,0,2,0,5.10,5.10
2025,7,CC,RB,David Montgomery,DET,TB,22,0,0,0,0,0,13,21,0,0,3,2,18,0,1,0,4.90,4.90
2025,7,CC,WR,Tre Harris,LAC,IND,29,0,0,0,0,0,0,0,0,0,2,2,23,0,2,0,4.30,4.30
2025,7,CC,WR,Brian Thomas,JAC,LAR,18,0,0,0,0,0,0,0,0,0,7,3,31,0,1,0,4.10,4.10
2025,7,CC,RB,TreVeyon Henderson,NE,@TEN,28,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0.50,0.50
2025,7,CC,WR,Ricky Pearsall,SF,ATL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,CC,QB,Brock Purdy,SF,ATL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,CC,RB,Najee Harris,LAC,IND,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,CC,RB,James Cook,BUF,BYE,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,CC,WR,Calvin Austin,PIT,@CIN,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,CC,DST,Seahawks,SEA,HOU,16,,,,,,,,,,,,,,,,13.00,13.00
2025,7,CRB,QB,Bo Nix,DEN,NYG,30,27,50,279,2,0,5,48,2,4,0,0,0,0,0,0,43.96,43.96
2025,7,CRB,RB,Jonathan Taylor,IND,@LAC,23,0,0,0,0,0,16,94,3,8,3,3,38,0,2,0,41.20,41.20
2025,7,CRB,WR,DeVonta Smith,PHI,@MIN,6,0,0,0,0,0,0,0,0,0,11,9,183,1,5,0,29.30,29.30
2025,7,CRB,WR,Courtland Sutton,DEN,NYG,30,0,0,0,0,0,0,0,0,0,10,6,87,0,4,0,14.70,14.70
2025,7,CRB,RB,De'Von Achane,MIA,@CLE,1,0,0,0,0,0,13,82,0,2,5,3,16,0,1,0,12.80,12.80
2025,7,CRB,WR,George Pickens,DAL,WAS,23,0,0,0,0,0,0,0,0,0,6,4,82,0,3,0,11.20,11.20
2025,7,CRB,WR,Jaylin Lane,WAS,@DAL,32,0,0,0,0,0,0,0,0,0,6,3,60,0,2,0,8.00,8.00
2025,7,CRB,TE,Hunter Henry,NE,@TEN,8,0,0,0,0,0,0,0,0,0,5,4,33,0,3,0,6.30,6.30
2025,7,CRB,QB,Dillon Gabriel,CLE,MIA,28,13,18,116,0,0,4,12,0,0,0,0,0,0,0,0,5.84,5.84
2025,7,CRB,TE,TJ Hockenson,MIN,PHI,3,0,0,0,0,0,0,0,0,0,9,6,43,0,1,0,5.30,5.30
2025,7,CRB,WR,Tetairoa McMillan,CAR,@NYJ,17,0,0,0,0,0,0,0,0,0,5,3,33,0,2,0,5.30,5.30
2025,7,CRB,RB,Jacory Croskey-Merritt,WAS,@DAL,30,0,0,0,0,0,13,33,0,1,2,1,-1,0,0,0,4.30,4.30
2025,7,CRB,RB,Emanuel Wilson,GB,@ARI,21,0,0,0,0,0,6,17,0,0,1,1,-2,0,0,0,1.70,1.70
2025,7,CRB,QB,Josh Allen,BUF,BYE,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,CRB,RB,Emari Demercado,ARI,GB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,CRB,WR,Luke McCaffrey,WAS,@DAL,32,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.00,0.00
2025,7,CRB,DST,Eagles,PHI,@MIN,30,14.00,14.00,,,,,,,,,,,,,,,
2025,7,CRB,DST,Commanders,WAS,@DAL,2,,,,,,,,,,,,,,,,-1.00,-1.00
2025,7,ELP,QB,Jaxson Dart,NYG,@DEN,4,15,33,283,3,1,5,11,1,2,0,0,0,0,0,0,30.42,30.42
2025,7,ELP,QB,Patrick Mahomes,KC,LV,16,26,35,286,3,0,4,28,0,2,0,0,0,0,0,0,28.24,28.24
2025,7,ELP,RB,Javonte Williams,DAL,WAS,19,0,0,0,0,0,19,116,1,4,4,1,2,0,0,0,21.80,21.80
2025,7,ELP,RB,Isiah Pacheco,KC,LV,20,0,0,0,0,0,15,57,1,5,2,1,-3,0,0,0,16.70,16.70
2025,7,ELP,RB,Jordan Mason,MIN,PHI,26,0,0,0,0,0,15,57,1,5,0,0,0,0,0,0,16.70,16.70
2025,7,ELP,TE,Tyler Warren,IND,@LAC,9,0,0,0,0,0,0,0,0,0,5,4,69,1,3,0,15.90,15.90
2025,7,ELP,RB,Tyrone Tracy,NYG,@DEN,11,0,0,0,0,0,9,46,1,2,0,0,0,0,0,0,12.60,12.60
2025,7,ELP,QB,Spencer Rattler,NO,@CHI,23,20,32,233,2,3,2,12,0,1,0,0,0,0,0,1,11.52,11.52
2025,7,ELP,TE,Cade Otton,TB,@DET,18,0,0,0,0,0,0,0,0,0,9,7,65,0,4,0,10.50,10.50
2025,7,ELP,RB,Zonovan Knight,ARI,GB,3,0,0,0,0,0,14,57,0,2,4,3,7,0,1,0,9.40,9.40
2025,7,ELP,RB,Kenneth Walker,SEA,HOU,12,0,0,0,0,0,17,66,0,1,0,0,0,0,0,0,7.60,7.60
2025,7,ELP,WR,Matthew Golden,GB,@ARI,10,0,0,0,0,0,0,0,0,0,4,4,37,0,3,0,6.70,6.70
2025,7,ELP,RB,Jaydon Blue,DAL,WAS,19,0,0,0,0,0,7,29,0,2,1,1,5,0,0,0,5.40,5.40
2025,7,ELP,WR,Luther Burden,CHI,NO,15,0,0,0,0,0,1,-1,0,0,2,1,22,0,1,0,3.20,3.20
2025,7,ELP,WR,Kendrick Bourne,SF,ATL,2,0,0,0,0,0,0,0,0,0,2,2,14,0,1,0,2.40,2.40
2025,7,ELP,WR,Mike Evans,TB,@DET,27,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.00,0.00
2025,7,ELP,WR,Jameson Williams,DET,TB,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.00,0.00
2025,7,ELP,WR,Jayden Reed,GB,@ARI,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,ELP,WR,Isaac TeSlaa,DET,TB,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.00
2025,7,ELP,DST,Texans,HOU,@SEA,14,,,,,,,,,,,,,,,,18.00,18.00
2025,7,FRR,RB,Christian McCaffrey,SF,ATL,18,0,0,0,0,0,24,129,2,9,8,7,72,0,5,0,46.10,46.10
2025,7,FRR,WR,Ja'Marr Chase,CIN,PIT,24,0,0,0,0,0,0,0,0,0,23,16,161,1,9,0,31.10,31.10
2025,7,FRR,QB,Matthew Stafford,LAR,@JAC,26,21,33,182,5,0,2,1,0,0,0,0,0,0,0,0,27.38,27.38
2025,7,FRR,RB,D'Andre Swift,CHI,NO,25,0,0,0,0,0,19,124,1,6,1,1,14,0,1,0,26.80,26.80
2025,7,FRR,WR,Chris Olave,NO,@CHI,25,0,0,0,0,0,0,0,0,0,7,5,98,2,3,0,24.80,24.80
2025,7,CC,WR,Kayshon Boutte,NE,@TEN,22,0,0,0,0,0,0,0,0,0,2,2,55,1,2,0,13.50,13.50
2025,7,FRR,RB,Woody Marks,HOU,@SEA,10,0,0,0,0,0,10,15,0,1,5,3,20,1,1,0,11.50,11.50
2025,7,FRR,QB,Sam Darnold,SEA,HOU,1,17,31,213,1,1,3,1,0,0,0,0,0,0,0,1,8.62,8.62
2025,7,FRR,RB,Michael Carter,ARI,GB,3,0,0,0,0,0,7,11,0,1,2,2,25,0,2,0,6.60,6.60
2025,7,FRR,TE,Travis Kelce,KC,LV,6,0,0,0,0,0,0,0,0,0,3,3,54,0,1,0,6.40,6.40
2025,7,FRR,WR,Drake London,ATL,@SF,9,0,0,0,0,0,0,0,0,0,10,4,42,0,2,0,6.20,6.20
2025,7,FRR,RB,Blake Corum,LAR,@JAC,8,0,0,0,0,0,12,37,0,1,1,1,6,0,0,0,5.30,5.30
2025,7,FRR,WR,Jayden Higgins,HOU,@SEA,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.00,0.00
2025,7,FRR,WR,Calvin Ridley,TEN,NE,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,FRR,RB,Brian Robinson Dead Cap,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,FRR,TE,Darren Waller,MIA,@CLE,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
2025,7,FRR,WR,Terry McLaurin,WAS,@DAL,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,FRR,QB,Jalen Milroe,SEA,HOU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,FRR,QB,Tua Tagovailoa,MIA,@CLE,2,12,23,100,0,3,3,6,0,0,0,0,0,0,0,0,-1.40,-1.40
