playerID,Player,Pos,NFL
1925,49ers,DST,SF
3169283,AJ Barner,TE,SEA
2258303,AJ Brown,WR,NE
2867083,AJ Dillon,RB,CAR
3169276,AJ Henning,WR,MIA
3117015,AJ Richardson,WR,ARI
2245147,AJ Rose,RB,LAR
2965235,AT Perry,WR,PIT
28877406,Aaron Anderson,WR,CLE
2820501,Aaron Bailey,WR,BAL
2964516,Aaron Dykes,RB,MIN
2071937,Aaron Jones,RB,MIN
419780,Aaron Rodgers,QB,PIT
2820186,Aaron Shampklin,RB,MIA
2807112,Abram Smith,RB,MIN
3127655,Aca'Cedric Ware,RB,TB
2133458,Adam Choice,RB,SEA
2188826,Adam Prentice,RB,DEN
28878514,Adam Randall,RB,BAL
2059362,Adam Thielen,WR,PIT
2182228,Adam Trautman,TE,DEN
26701928,Adonai Mitchell,WR,NYJ
2966360,Adrian Martinez,QB,SF
3162108,Ahmani Marshall,RB,CLE
3123946,Ahmarean Brown,WR,BUF
2868716,Aidan O'Connell,QB,LV
3123398,Aidan Robbins,RB,CLE
3131553,Ainias Smith,WR,CAR
3161800,Ajou Ajou,WR,IND
2245117,Albert Okwuegbunam,TE,LV
2966128,Alec Holler,TE,DAL
2183930,Alec Ingold,RB,LAC
2965664,Alec Pierce,WR,IND
3159106,Aleva Hifo,WR,ARI
2186388,Alex Bachman,WR,LV
2828649,Alex Gray,TE,ATL
2132602,Alex McGough,QB,GB
2142830,Alex Wesley,WR,CHI
2257933,Alexander Mattison,RB,MIA
26745241,Alfonzo Graham,RB,PIT
2186666,Alize Mack,TE,TEN
2141655,Allen Lazard,WR,NYJ
1889923,Allen Robinson,WR,DET
2082721,Alvin Kamara,RB,NO
26745358,Amar Johnson,RB,LAC
1984220,Amari Cooper,WR,LV
2001582,Amba Etta-Tawo,WR,HOU
1824308,Ameer Abdullah,RB,JAC
2967690,Amon-Ra St Brown,WR,DET
3172308,Anderson Castle,RB,IND
3159102,Andre Baccellia,WR,ARI
2963411,Andre Miller,WR,GB
2966908,Andrei Iosivas,WR,CIN
28926946,Andrew Armstrong,WR,KC
2131774,Andrew Beck,RB,NYJ
26725942,Andrew Ogletree,TE,IND
2252355,Andrew Parchment,WR,CAR
2966161,Andrew Peasley,QB,NYJ
2161771,Andrew Vollert,TE,IND
1125961,Andy Dalton,QB,PHI
2182851,Andy Isabella,WR,SF
2818971,Anthony Firkser,TE,DET
2251387,Anthony Gordon,QB,KC
3122031,Anthony Gould,WR,IND
28900555,Anthony Hankerson,RB,MIA
2258536,Anthony Johnson,WR,PIT
2082810,Anthony Miller,WR,BAL
1906458,Anthony Norris,TE,DEN
2179349,Anthony Ratliff-Williams,WR,SEA
3163263,Anthony Richardson,QB,IND
2965374,Anthony Schwartz,WR,MIA
3164577,Anthony Smith,WR,DAL
2960827,Anthony Torres,TE,LAR
26696862,Anthony Tyus,RB,CAR
2962502,Antoine Green,WR,DET
1272852,Antonio Brown,WR,TB
2960976,Antonio Gibson,RB,NE
2258543,Antonio Nunn,WR,ATL
28877974,Antonio Williams,WR,WAS
3161901,Antwane Wells,WR,ATL
3163930,Arian Smith,WR,NYJ
2258253,Armani Rogers,TE,BUF
2925428,Armanti Foreman,WR,MIN
2961237,Aron Cruickshank,WR,PIT
2133477,Artavis Scott,WR,HOU
2240334,Artayvious Lynn,TE,DAL
2185867,Arthur Williams,WR,NYJ
3116796,Ashton Dulin,WR,IND
28874008,Ashton Jeanty,RB,LV
26700919,Athan Kaliakmanis,QB,WAS
26713577,Audric Estime,RB,NO
2804325,Austin Allen,TE,GB
2053471,Austin Aune,QB,ATL
2820090,Austin Ekeler,RB,WAS
2131959,Austin Fort,TE,TEN
2067004,Austin Hooper,TE,ATL
3121977,Austin Jones,RB,WAS
2130950,Austin Proehl,WR,NYG
2926510,Austin Ramesh,RB,ARI
2967693,Austin Reed,QB,CHI
3121976,Austin Stogner,TE,ATL
2838491,Austin Trammell,WR,JAC
2961443,Austin Watkins,WR,PHI
2175115,Austin Willis,WR,DET
2868630,Avery Davis,WR,DET
2257948,Avery Williams,RB,NYJ
3124133,Ayir Asante,WR,NYG
2868250,BJ Baylor,RB,ATL
1984363,BJ Catalon,RB,FA
2252835,BJ Emmons,RB,HOU
2184609,Bailey Gaither,WR,BAL
2866483,Bailey Zappe,QB,NYJ
2080032,Baker Mayfield,QB,TB
28900204,Barion Brown,WR,NO
26730919,Bauer Sharp,TE,TB
3122788,Baylor Cupp,TE,BAL
1906,Bears,DST,CHI
26694592,Beaux Collins,WR,NYG
26696177,Behren Morton,QB,NE
28866830,Ben Beise,TE,TB
2961091,Ben Bryant,QB,NYJ
2179411,Ben DiNucci,QB,DEN
395994,Ben Johnson,TE,LAC
50048410,Ben Patterson,WR,JAC
2964709,Ben Sims,TE,MIA
3168647,Ben Sinnott,TE,WAS
2247046,Ben Skowronek,WR,PIT
2968491,Ben VanSumeren,RB,BUF
2965115,Ben Wooldridge,QB,NE
3163725,Ben Yurosek,TE,MIN
1907,Bengals,DST,CIN
2258154,Benny LeMay,RB,CLE
26665068,Bernhard Seikovits,TE,ARI
26732838,Bhayshul Tuten,RB,JAC
3168163,Bijan Robinson,RB,ATL
1904,Bills,DST,BUF
2820079,Billy Brown,TE,IND
3169252,Blake Corum,RB,LAR
2827939,Blake Proehl,WR,MIN
2963426,Blake Watson,RB,TEN
