Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2025,3yr Avg,Proj,League
QB,AFL,Jayden Daniels,WAS,@PHI,Sun  4:25pm ET,7,47.5,5,11,66%,15%,45.0,1,128.28,260.82,318.56,TRUFFLE
RB,AFL,Jahmyr Gibbs,DET,NO,Sun  1:00pm ET,6,49.5,1,20,100%,99%,70.0,1,373.9,341.4,313.65,TRUFFLE
RB,AFL,Dylan Sampson,CLE,@JAC,Sun  1:00pm ET,11,40.5,47,1,29%,7%,3.0,1,75.6,71.7,83.88,TRUFFLE
WR,AFL,Emeka Egbuka,TB,@CIN,Sun  1:00pm ET,10,52.5,16,9,98%,68%,5.0,2,166.7,168.8,162.03,TRUFFLE
WR,AFL,Jayden Higgins,HOU,BUF,Sun  1:00pm ET,8,44.5,56,13,71%,30%,5.0,2,116.5,115.0,90.58,TRUFFLE
TE,AFL,Brock Bowers,LV,MIA,Sun  4:25pm ET,13,40.5,1,29,91%,58%,10.0,1,148.6,179.5,156.18,TRUFFLE
WR,AFL,Quentin Johnston,LAC,ARI,Sun  4:25pm ET,7,46.5,37,17,79%,22%,5.0,1,147.4,125.0,133.76,TRUFFLE
WR,AFL,Adonai Mitchell,NYJ,@TEN,Sun  1:00pm ET,13,38.5,---,29,39%,11%,5.0,1,70.3,63.62,45.77,TRUFFLE
RB,AFL,Jeremiyah Love,ARI,@LAC,Sun  4:25pm ET,14,46.5,16,8,9%,3%,50.0,3,0.0,0.0,188.36,TRUFFLE
WR,AFL,Germie Bernard,PIT,ATL,Sun  1:00pm ET,9,41.5,---,22,3%,1%,5.0,3,0.0,0.0,68.68,TRUFFLE
WR,AFL,Malachi Fields,NYG,DAL,Sun  8:20pm ET,8,48.5,---,32,2%,1%,3.0,3,0.0,0.0,42.25,TRUFFLE
DST,AFL,Bears,CHI,@CAR,Sun  1:00pm ET,10,45.5,23,22,54%,30%,1.0,1,148.0,136.0,144.4,TRUFFLE
QB,CC,Brock Purdy,SF,@LAR,Thu  8:35pm ET,8,48.5,11,15,96%,66%,96.0,1,194.08,261.38,307.45,TRUFFLE
RB,CC,James Cook,BUF,@HOU,Sun  1:00pm ET,7,44.5,5,5,100%,97%,60.0,1,348.2,300.4,228.35,TRUFFLE
RB,CC,TreVeyon Henderson,NE,@SEA,Wed  8:20pm ET,11,44.5,26,4,99%,59%,35.0,2,223.2,222.2,165.92,TRUFFLE
WR,CC,DK Metcalf,PIT,ATL,Sun  1:00pm ET,9,41.5,35,22,86%,40%,53.0,1,166.2,174.0,133.88,TRUFFLE
WR,CC,Amon-Ra St Brown,DET,NO,Sun  1:00pm ET,6,49.5,4,10,99%,92%,79.0,1,279.0,280.92,205.64,TRUFFLE
TE,CC,Kenyon Sadiq,NYJ,@TEN,Sun  1:00pm ET,13,38.5,23,21,4%,1%,15.0,3,0.0,0.0,86.86,TRUFFLE
WR,CC,Denzel Boston,CLE,@JAC,Sun  1:00pm ET,11,40.5,55,15,3%,1%,5.0,3,0.0,0.0,73.78,TRUFFLE
WR,CC,Brian Thomas,JAC,CLE,Sun  1:00pm ET,7,40.5,32,5,89%,42%,10.0,1,125.8,187.4,138.28,TRUFFLE
QB,CC,Drake Maye,NE,@SEA,Wed  8:20pm ET,11,44.5,3,8,100%,76%,30.0,1,388.96,295.28,319.02,TRUFFLE
DST,CC,Falcons,ATL,@PIT,Sun  1:00pm ET,11,41.5,21,11,39%,21%,1.0,1,148.0,119.0,151.9,TRUFFLE
RB,CC,Rachaad White,WAS,@PHI,Sun  4:25pm ET,7,47.5,38,26,71%,12%,2.0,1,150.0,202.8,126.73,TRUFFLE
WR,CC,Kayshon Boutte,NE,@SEA,Wed  8:20pm ET,11,44.5,---,4,60%,9%,15.0,1,118.1,71.5,95.67,TRUFFLE
WR,CC,Zachariah Branch,ATL,@PIT,Sun  1:00pm ET,11,41.5,---,26,3%,1%,3.0,3,0.0,0.0,58.67,TRUFFLE
WR,CC,Tre Harris,LAC,ARI,Sun  4:25pm ET,7,46.5,---,17,7%,1%,5.0,2,57.4,59.6,36.54,TRUFFLE
WR,CC,Ricky Pearsall,SF,@LAR,Thu  8:35pm ET,8,48.5,---,24,68%,10%,5.0,1,80.0,78.6,0.0,TRUFFLE
WR,CC,Calvin Austin,NYG,DAL,Sun  8:20pm ET,8,48.5,---,32,15%,2%,2.0,1,70.2,71.4,68.32,TRUFFLE
TE,CC,Mason Taylor,NYJ,@TEN,Sun  1:00pm ET,13,38.5,---,21,17%,3%,3.0,2,67.9,65.2,70.01,TRUFFLE
QB,CRB,Josh Allen,BUF,@HOU,Sun  1:00pm ET,7,44.5,1,2,100%,89%,151.0,1,410.62,432.42,360.64,TRUFFLE
RB,CRB,De'Von Achane,MIA,@LV,Sun  4:25pm ET,6,40.5,8,21,100%,90%,60.0,2,334.8,268.7,242.78,TRUFFLE
RB,CRB,Jonathan Taylor,IND,BAL,Sun  1:00pm ET,13,49.5,3,17,100%,98%,109.0,1,415.3,293.4,290.17,TRUFFLE
WR,CRB,Tetairoa McMillan,CAR,CHI,Sun  1:00pm ET,5,45.5,21,31,98%,64%,30.0,2,196.4,195.3,149.02,TRUFFLE
WR,CRB,George Pickens,DAL,@NYG,Sun  8:20pm ET,14,48.5,9,23,99%,95%,25.0,2,271.9,205.5,198.0,TRUFFLE
TE,CRB,Hunter Henry,NE,@SEA,Wed  8:20pm ET,11,44.5,19,20,82%,42%,2.0,1,160.8,127.8,105.87,TRUFFLE
RB,CRB,Jacory Croskey-Merritt,WAS,@PHI,Sun  4:25pm ET,7,47.5,31,26,67%,16%,41.0,1,175.4,175.8,136.9,TRUFFLE
RB,CRB,Kenneth Gainwell,TB,@CIN,Sun  1:00pm ET,10,52.5,39,31,87%,42%,16.0,1,205.4,124.52,129.27,TRUFFLE
QB,CRB,Bo Nix,DEN,@KC,Mon  8:15pm ET,10,42.5,16,12,93%,49%,15.0,1,330.14,339.08,275.5,TRUFFLE
RB,CRB,Sean Tucker,TB,@CIN,Sun  1:00pm ET,10,52.5,---,31,35%,3%,2.0,1,107.4,64.2,35.01,TRUFFLE
WR,CRB,Luke McCaffrey,WAS,@PHI,Sun  4:25pm ET,7,47.5,---,8,6%,1%,1.0,1,46.3,35.0,59.82,TRUFFLE
TE,CRB,TJ Hockenson,MIN,GB,Sun  4:25pm ET,6,45.5,26,12,46%,12%,13.0,1,83.8,109.9,75.11,TRUFFLE
WR,CRB,Jaylin Lane,WAS,@PHI,Sun  4:25pm ET,7,47.5,---,8,2%,1%,3.0,1,31.4,32.0,36.24,TRUFFLE
TE,CRB,Eli Stowers,PHI,WAS,Sun  4:25pm ET,10,47.5,---,30,3%,1%,5.0,3,0.0,0.0,40.67,TRUFFLE
WR,CRB,Antonio Williams,WAS,@PHI,Sun  4:25pm ET,7,47.5,---,8,3%,1%,10.0,3,0.0,0.0,88.01,TRUFFLE
RB,CRB,Emanuel Wilson,SEA,NE,Wed  8:20pm ET,11,44.5,---,2,59%,6%,1.0,1,117.1,73.5,77.91,TRUFFLE
RB,CRB,Emari Demercado,KC,DEN,Mon  8:15pm ET,5,42.5,---,3,20%,1%,15.0,1,57.4,52.4,83.63,TRUFFLE
QB,ELP,Patrick Mahomes,KC,DEN,Mon  8:15pm ET,5,42.5,15,13,69%,32%,111.0,1,312.68,302.58,304.24,TRUFFLE
RB,ELP,Woody Marks,HOU,BUF,Sun  1:00pm ET,8,44.5,44,25,94%,37%,8.0,1,173.6,171.6,107.18,TRUFFLE
RB,ELP,Kenneth Walker,KC,DEN,Mon  8:15pm ET,5,42.5,11,3,99%,65%,70.0,1,219.0,208.4,179.41,TRUFFLE
WR,ELP,Chris Olave,NO,@DET,Sun  1:00pm ET,8,49.5,15,30,97%,81%,35.0,2,221.3,161.3,182.7,TRUFFLE
WR,ELP,Jameson Williams,DET,NO,Sun  1:00pm ET,6,49.5,26,10,97%,87%,60.0,1,204.7,157.2,160.72,TRUFFLE
TE,ELP,Tyler Warren,IND,BAL,Sun  1:00pm ET,13,49.5,4,8,95%,59%,15.0,2,157.5,159.9,135.57,TRUFFLE
WR,ELP,Luther Burden,CHI,@CAR,Sun  1:00pm ET,10,45.5,18,12,44%,16%,5.0,2,111.8,109.7,145.89,TRUFFLE
WR,ELP,Carnell Tate,TEN,NYJ,Sun  1:00pm ET,9,38.5,33,19,4%,2%,35.0,3,0.0,0.0,99.93,TRUFFLE
QB,ELP,Jaxson Dart,NYG,DAL,Sun  8:20pm ET,8,48.5,12,32,91%,36%,5.0,2,279.88,275.04,312.26,TRUFFLE
QB,ELP,Carson Beck,ARI,@LAC,Sun  4:25pm ET,14,46.5,---,3,2%,1%,3.0,3,0.0,0.0,13.0,TRUFFLE
WR,ELP,Isaac TeSlaa,DET,NO,Sun  1:00pm ET,6,49.5,---,10,16%,3%,3.0,2,73.9,73.8,69.24,TRUFFLE
RB,ELP,Kaelon Black,SF,@LAR,Thu  8:35pm ET,8,48.5,---,10,3%,1%,5.0,3,0.0,0.0,101.92,TRUFFLE
WR,ELP,Jalen Coker,CAR,CHI,Sun  1:00pm ET,5,45.5,43,31,21%,5%,1.0,1,79.4,74.06,103.87,TRUFFLE
WR,ELP,Matthew Golden,GB,@MIN,Sun  4:25pm ET,11,45.5,52,1,35%,3%,5.0,2,60.0,56.5,85.9,TRUFFLE
QB,ELP,Malik Willis,MIA,@LV,Sun  4:25pm ET,6,40.5,20,14,9%,3%,3.0,1,60.18,34.04,279.92,TRUFFLE
QB,FRR,Tua Tagovailoa,ATL,@PIT,Sun  1:00pm ET,11,41.5,26,24,30%,4%,1.0,1,161.8,205.38,217.37,TRUFFLE
RB,FRR,Blake Corum,LAR,SF,Thu  8:35pm ET,11,48.5,36,22,74%,19%,5.0,1,161.2,103.0,115.0,TRUFFLE
RB,FRR,Christian McCaffrey,SF,@LAR,Thu  8:35pm ET,8,48.5,4,10,100%,94%,82.0,1,433.6,303.4,244.46,TRUFFLE
WR,FRR,Ja'Marr Chase,CIN,TB,Sun  1:00pm ET,6,52.5,1,18,99%,97%,79.0,1,261.9,284.3,217.29,TRUFFLE
WR,FRR,Drake London,ATL,@PIT,Sun  1:00pm ET,11,41.5,7,26,98%,54%,60.0,1,179.9,194.1,223.51,TRUFFLE
TE,FRR,Travis Kelce,KC,DEN,Mon  8:15pm ET,5,42.5,10,18,90%,57%,5.0,1,162.2,160.3,119.37,TRUFFLE
RB,FRR,Jordan Mason,MIN,GB,Sun  4:25pm ET,6,45.5,35,18,78%,16%,1.0,1,160.9,117.2,138.01,TRUFFLE
RB,FRR,D'Andre Swift,CHI,@CAR,Sun  1:00pm ET,10,45.5,20,23,99%,75%,40.0,1,268.8,240.2,199.13,TRUFFLE
QB,FRR,Jacoby Brissett,ARI,@LAC,Sun  4:25pm ET,14,46.5,23,3,79%,38%,10.0,1,243.64,95.66,250.82,TRUFFLE
DST,FRR,Texans,HOU,BUF,Sun  1:00pm ET,8,44.5,3,9,100%,87%,1.0,1,188.0,170.0,184.1,TRUFFLE
QB,FRR,Mac Jones,SF,@LAR,Thu  8:35pm ET,8,48.5,---,15,9%,1%,1.0,1,141.74,112.34,13.58,TRUFFLE
QB,FRR,Ty Simpson,LAR,SF,Thu  8:35pm ET,11,48.5,---,16,2%,1%,10.0,3,0.0,0.0,36.09,TRUFFLE
RB,FRR,Nicholas Singleton,TEN,NYJ,Sun  1:00pm ET,9,38.5,---,32,3%,1%,5.0,3,0.0,0.0,20.91,TRUFFLE
TE,FRR,George Kittle,SF,@LAR,Thu  8:35pm ET,8,48.5,12,14,97%,52%,37.0,1,142.8,174.4,125.51,TRUFFLE
QB,GF,Jordan Love,GB,@MIN,Sun  4:25pm ET,11,45.5,19,1,85%,25%,100.0,2,249.34,277.88,256.74,TRUFFLE
RB,GF,Josh Jacobs,GB,@MIN,Sun  4:25pm ET,11,45.5,14,15,99%,83%,81.0,1,264.1,265.2,219.73,TRUFFLE
RB,GF,Ashton Jeanty,LV,MIA,Sun  4:25pm ET,13,40.5,9,24,100%,89%,50.0,2,247.1,245.9,231.86,TRUFFLE
WR,GF,Wan'Dale Robinson,TEN,NYJ,Sun  1:00pm ET,9,38.5,53,19,89%,48%,1.0,1,165.9,133.8,121.85,TRUFFLE
WR,GF,Jaxon Smith-Njigba,SEA,NE,Wed  8:20pm ET,11,44.5,3,11,100%,100%,60.0,2,322.0,221.52,231.24,TRUFFLE
TE,GF,Harold Fannin,CLE,@JAC,Sun  1:00pm ET,11,40.5,8,23,87%,60%,3.0,1,148.4,149.3,133.73,TRUFFLE
RB,GF,Rhamondre Stevenson,NE,@SEA,Wed  8:20pm ET,11,44.5,28,4,91%,31%,17.0,1,186.8,171.8,153.46,TRUFFLE
RB,GF,Jaylen Warren,PIT,ATL,Sun  1:00pm ET,9,41.5,29,16,97%,65%,20.0,1,242.3,190.2,153.95,TRUFFLE
WR,GF,Davante Adams,LAR,SF,Thu  8:35pm ET,11,48.5,25,16,95%,39%,31.0,2,213.9,211.1,145.3,TRUFFLE
QB,GF,JJ McCarthy,MIN,GB,Sun  4:25pm ET,6,45.5,---,10,35%,6%,35.0,1,137.38,131.12,13.05,TRUFFLE
QB,GF,Michael Penix,ATL,@PIT,Sun  1:00pm ET,11,41.5,---,24,15%,1%,3.0,1,125.48,77.86,40.23,TRUFFLE
RB,GF,Jonah Coleman,DEN,@KC,Mon  8:15pm ET,10,42.5,57,6,3%,1%,10.0,3,0.0,0.0,22.41,TRUFFLE
RB,GF,Seth McGowan,IND,BAL,Sun  1:00pm ET,13,49.5,---,17,2%,1%,3.0,3,0.0,0.0,30.01,TRUFFLE
RB,GF,Mike Washington,LV,MIA,Sun  4:25pm ET,13,40.5,55,24,3%,1%,5.0,3,0.0,0.0,67.03,TRUFFLE
WR,GF,Romeo Doubs,NE,@SEA,Wed  8:20pm ET,11,44.5,54,4,74%,23%,5.0,3,151.4,141.1,103.26,TRUFFLE
WR,GF,Tez Johnson,TB,@CIN,Sun  1:00pm ET,10,52.5,---,9,39%,5%,1.0,1,80.5,82.2,59.03,TRUFFLE
WR,GF,Deebo Samuel,SF,@LAR,Thu  8:35pm ET,8,48.5,49,24,88%,47%,33.0,2,152.6,166.7,111.35,TRUFFLE
TE,GF,Dalton Kincaid,BUF,@HOU,Sun  1:00pm ET,7,44.5,14,7,76%,26%,10.0,2,114.1,98.4,117.0,TRUFFLE
TE,GF,Tucker Kraft,GB,@MIN,Sun  4:25pm ET,11,45.5,6,4,35%,9%,1.0,1,107.2,104.5,143.5,TRUFFLE
QB,MAM,Caleb Williams,CHI,@CAR,Sun  1:00pm ET,10,45.5,10,7,92%,45%,50.0,1,346.58,318.4,295.62,TRUFFLE
RB,MAM,RJ Harvey,DEN,@KC,Mon  8:15pm ET,10,42.5,46,6,99%,79%,10.0,2,205.7,202.7,155.94,TRUFFLE
RB,MAM,Bhayshul Tuten,JAC,CLE,Sun  1:00pm ET,7,40.5,24,14,57%,11%,5.0,2,104.9,102.4,182.0,TRUFFLE
WR,MAM,Rashee Rice,KC,DEN,Mon  8:15pm ET,5,42.5,10,2,92%,40%,30.0,2,127.1,116.1,199.49,TRUFFLE
WR,MAM,Garrett Wilson,NYJ,@TEN,Sun  1:00pm ET,13,38.5,22,29,70%,8%,60.0,1,81.5,155.1,150.78,TRUFFLE
TE,MAM,Dalton Schultz,HOU,BUF,Sun  1:00pm ET,8,44.5,22,2,67%,40%,2.0,1,134.7,115.0,92.12,TRUFFLE
