Season,DivAbbrev,Team,W,L,T,PCT,GB,Streak,Div,Wks,PF,Back,PA
2023,MI,CC,0,0,0,0.0,,-,0-0-0,0,0.0,,0.0
2023,MI,MAM,0,0,0,0.0,,-,0-0-0,0,0.0,,0.0
2023,MI,ELP,0,0,0,0.0,,-,0-0-0,0,0.0,,0.0
2023,CH+,GF,0,0,0,0.0,,-,0-0-0,0,0.0,,0.0
2023,CH+,NN,0,0,0,0.0,,-,0-0-0,0,0.0,,0.0
2023,CH+,WLW,0,0,0,0.0,,-,0-0-0,0,0.0,,0.0
2023,GOB,AFL,0,0,0,0.0,,-,0-0-0,0,0.0,,0.0
2023,GOB,FRR,0,0,0,0.0,,-,0-0-0,0,0.0,,0.0
2023,GOB,VD,0,0,0,0.0,,-,0-0-0,0,0.0,,0.0
2023,OT,CRB,0,0,0,0.0,,-,0-0-0,0,0.0,,0.0
2023,OT,MCM,0,0,0,0.0,,-,0-0-0,0,0.0,,0.0
2023,OT,MWM,0,0,0,0.0,,-,0-0-0,0,0.0,,0.0
2024,MI,MAM,10,7,0,0.588,0.0,W4,3-1-0,3,2371.3,253.2,2124.1
2024,MI,ELP,8,7,0,0.533,2.0,L2,3-1-0,3,2436.3,188.1,2030.8
2024,MI,CC,1,14,0,0.067,9.0,L5,0-4-0,0,1629.7,994.8,2154.1
2024,CH+,WLW,13,3,0,0.812,0.0,W9,4-0-0,4,2624.5,0.0,1848.0
2024,CH+,NN,8,9,0,0.471,5.0,L1,1-3-0,1,2084.3,540.2,2106.8
2024,CH+,GF,3,12,0,0.2,10.0,L6,1-3-0,1,1448.5,1176.0,1870.0
2024,GOB,FRR,13,3,0,0.812,0.0,L1,4-0-0,2,2546.8,77.7,1953.4
2024,GOB,AFL,6,9,0,0.4,7.0,L1,2-2-0,1,2038.0,586.5,1851.6
2024,GOB,VD,3,12,0,0.2,10.0,L7,0-4-0,0,1780.8,843.6,2093.5
2024,OT,CRB,11,6,0,0.647,0.0,W1,4-1-0,2,2292.2,332.3,2040.2
2024,OT,MCM,11,6,0,0.647,0.0,L2,2-4-0,0,2278.6,345.8,2154.5
2024,OT,MWM,8,7,0,0.533,3.0,L1,2-3-0,0,2004.9,619.6,1793.1
