Season,Week,TRUFFLE,Pos,NFL,Player,Opp,OpRk,PaCmp,PaAtt,PaYd,PaTD,PaInt,RuAtt,RuYd,RuTD,RuFD,Tar,Rec,ReYd,ReTD,ReFD,FL,Avg,FPts
2022,3,GF,RB,CLE,Nick Chubb,PIT,23.0,0.0,0.0,0.0,0.0,0.0,23.0,113.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,21.3,21.3
2022,3,WLW,TE,CLE,David Njoku,PIT,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,89.0,1.0,6.0,0.0,20.9,20.9
2022,3,MWM,QB,CLE,Jacoby Brissett,PIT,18.0,21.0,31.0,220.0,2.0,0.0,3.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,20.9
2022,3,NN,WR,CLE,Amari Cooper,PIT,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,101.0,1.0,4.0,0.0,20.1,20.1
2022,3,WLW,RB,PIT,Najee Harris,@CLE,11.0,0.0,0.0,0.0,0.0,0.0,15.0,56.0,1.0,5.0,3.0,3.0,5.0,0.0,1.0,1.0,16.1,16.1
2022,3,VD,QB,PIT,Mitch Trubisky,@CLE,23.0,20.0,32.0,207.0,0.0,0.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.98,15.98
2022,3,VD,WR,PIT,Diontae Johnson,@CLE,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,84.0,0.0,4.0,0.0,12.4,12.4
2022,3,MCM,RB,CLE,Kareem Hunt,PIT,23.0,0.0,0.0,0.0,0.0,0.0,12.0,47.0,0.0,3.0,4.0,3.0,14.0,0.0,1.0,0.0,10.1,10.1
2022,3,CC,WR,PIT,Chase Claypool,@CLE,24.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,6.0,3.0,35.0,0.0,2.0,0.0,7.6,7.6
2022,3,NN,TE,PIT,Pat Freiermuth,@CLE,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,41.0,0.0,2.0,0.0,6.1,6.1
2022,3,W (9/1),RB,PIT,Jaylen Warren,@CLE,11.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,5.3,5.3
2022,3,CC,WR,PIT,George Pickens,@CLE,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,39.0,0.0,1.0,0.0,4.9,4.9
2022,3,W (9/1),WR,CLE,Donovan Peoples-Jones,PIT,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,10.0,0.0,1.0,0.0,2.0,2.0
2022,3,GF,WR,CLE,David Bell,PIT,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.6,0.6
2022,3,W (9/1),WR,PIT,Gunner Olszewski,@CLE,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,3,W (9/1),TE,CLE,Harrison Bryant,PIT,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,3,W (9/1),WR,CLE,Chester Rogers,PIT,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,3,W (9/1),RB,CLE,Jerome Ford,PIT,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,3,W (9/1),WR,CLE,Anthony Schwartz,PIT,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,3,W (9/1),RB,PIT,Connor Heyward,@CLE,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,3,W (9/1),WR,PIT,Miles Boykin,@CLE,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,3,W (9/1),RB,PIT,Benny Snell,@CLE,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,3,W (9/1),RB,PIT,Derek Watt,@CLE,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,3,W (9/1),TE,PIT,Zach Gentry,@CLE,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,3,NN,RB,CLE,D'Ernest Johnson,PIT,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,3,W (9/1),TE,CLE,Miller Forristall,PIT,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
