player,position,team,birthday
Saquon Barkley,RB,PHI,1997-02-09
Bijan Robinson,RB,ATL,2002-01-30
Ja'Marr Chase,WR,CIN,2000-03-01
Derrick Henry,RB,BAL,1994-01-04
Christian McCaffrey,RB,SF,1996-06-07
Justin Jefferson,WR,MIN,1999-06-16
Amon-Ra St. Brown,WR,DET,1999-10-24
Joe Mixon,RB,HOU,1996-07-24
A.J. Brown,WR,PHI,1997-06-30
De'Von Achane,RB,MIA,2001-10-13
Jahmyr Gibbs,RB,DET,2002-03-20
Alvin Kamara,RB,NO,1995-07-25
Kyren Williams,RB,LAR,2000-08-26
Puka Nacua,WR,LAR,2001-05-29
Nico Collins,WR,HOU,1999-03-19
Breece Hall,RB,NYJ,2001-05-31
Drake London,WR,ATL,2001-07-24
Kenneth Walker III,RB,SEA,2000-10-20
Cooper Kupp,WR,LAR,1993-06-15
James Cook,RB,BUF,1999-09-25
Travis Kelce,TE,KC,1989-10-05
Chase Brown,RB,CIN,2000-03-21
Josh Jacobs,RB,GB,1998-02-11
Malik Nabers,WR,NYG,2003-07-28
Terry McLaurin,WR,WAS,1995-09-15
Brock Bowers,TE,LV,2002-12-13
George Pickens,WR,PIT,2001-03-04
Jonathan Taylor,RB,IND,1999-01-19
Tyreek Hill,WR,MIA,1994-03-01
Trey McBride,TE,ARI,1999-11-22
Garrett Wilson,WR,NYJ,2000-07-22
Lamar Jackson,QB,BAL,1997-01-07
James Conner,RB,ARI,1995-05-05
George Kittle,TE,SF,1993-10-09
DK Metcalf,WR,SEA,1997-12-14
Tyrone Tracy Jr.,RB,NYG,1999-11-23
Aaron Jones,RB,MIN,1994-12-02
David Montgomery,RB,DET,1997-06-07
Zay Flowers,WR,BAL,2000-09-11
D'Andre Swift,RB,CHI,1999-01-14
Marvin Harrison Jr.,WR,ARI,2002-08-11
Brian Robinson Jr.,RB,WAS,1999-03-22
Rhamondre Stevenson,RB,NE,1998-02-23
Deebo Samuel Sr.,WR,SF,1996-01-15
Jayden Reed,WR,GB,2000-04-28
CeeDee Lamb,WR,DAL,1999-04-08
J.K. Dobbins,RB,LAC,1998-12-17
Chuba Hubbard,RB,CAR,1999-06-11
Tee Higgins,WR,CIN,1999-01-18
Jalen Hurts,QB,PHI,1998-08-07
Josh Allen,QB,BUF,1996-05-21
Davante Adams,WR,NYJ,1992-12-24
Tony Pollard,RB,TEN,1997-04-30
Rachaad White,RB,TB,1999-01-12
Mike Evans,WR,TB,1993-08-21
Ladd McConkey,WR,LAC,2001-11-11
Jauan Jennings,WR,SF,1997-07-10
Bucky Irving,RB,TB,2002-08-19
DeVonta Smith,WR,PHI,1998-11-14
Najee Harris,RB,PIT,1998-03-09
Khalil Shakir,WR,BUF,2000-02-03
Joe Burrow,QB,CIN,1996-12-10
Josh Downs,WR,IND,2001-08-12
Jaxon Smith-Njigba,WR,SEA,2002-02-14
Darnell Mooney,WR,ATL,1997-10-29
Cade Otton,TE,TB,1999-04-15
Isiah Pacheco,RB,KC,1999-03-02
Courtland Sutton,WR,DEN,1995-10-10
David Njoku,TE,CLE,1996-07-10
DeAndre Hopkins,WR,KC,1992-06-06
Calvin Ridley,WR,TEN,1994-12-20
Kareem Hunt,RB,KC,1995-08-06
Nick Chubb,RB,CLE,1995-12-27
Jaylen Warren,RB,PIT,1998-11-01
Brian Thomas Jr.,WR,JAC,2002-10-08
Brock Purdy,QB,SF,1999-12-27
Amari Cooper,WR,BUF,1994-06-17
Austin Ekeler,RB,WAS,1995-05-17
Travis Etienne Jr.,RB,JAC,1999-01-26
Jayden Daniels,QB,WAS,2000-12-18
Jameson Williams,WR,DET,2001-03-26
Rico Dowdle,RB,DAL,1998-06-14
Tank Dell,WR,HOU,1999-10-29
Tank Bigsby,RB,JAC,2001-08-30
Cedric Tillman,WR,CLE,2000-04-19
Kyler Murray,QB,ARI,1997-08-07
Javonte Williams,RB,DEN,2000-04-25
Evan Engram,TE,JAC,1994-09-02
Mark Andrews,TE,BAL,1995-09-06
Jordan Love,QB,GB,1998-11-02
Jakobi Meyers,WR,LV,1996-11-09
Jaylen Waddle,WR,MIA,1998-11-25
Tyler Allgeier,RB,ATL,2000-04-15
DJ Moore,WR,CHI,1997-04-14
Bo Nix,QB,DEN,2000-02-25
Patrick Mahomes II,QB,KC,1995-09-17
T.J. Hockenson,TE,MIN,1997-07-03
Trey Benson,RB,ARI,2002-07-23
Tucker Kraft,TE,GB,2000-11-03
Jared Goff,QB,DET,1994-10-14
Rome Odunze,WR,CHI,2002-06-03
Michael Pittman Jr.,WR,IND,1997-10-05
Zach Charbonnet,RB,SEA,2001-01-08
Audric Estime,RB,DEN,2003-09-06
Quentin Johnston,WR,LAC,2001-09-06
Jordan Mason,RB,SF,1999-05-24
Romeo Doubs,WR,GB,2000-04-13
Justin Herbert,QB,LAC,1998-03-10
Baker Mayfield,QB,TB,1995-04-14
Tyjae Spears,RB,TEN,2001-06-15
Taysom Hill,TE,NO,1990-08-23
Jonathon Brooks,RB,CAR,2003-07-21
Kyle Pitts,TE,ATL,2000-10-06
