Player,NFL,Pos,xFP,ActualPts,xTD,TD,Looks,Diff,In5,EZ
Josh Allen,BUF,QB,78,88,1.7,1,19,-0.7,3,0
Joe Burrow,CIN,QB,77,58,0.7,0,15,-0.7,1,0
Jalen Hurts,PHI,QB,76,85,3.2,3,37,-0.2,4,0
Joe Flacco,NYJ,QB,71,45,-,-,-,-,-,-
Kyler Murray,ARI,QB,70,60,0.6,1,12,0.4,1,0
Derek Carr,LV,QB,69,53,0.0,0,3,0.0,0,0
Lamar Jackson,BAL,QB,66,102,1.8,2,26,0.2,2,0
Patrick Mahomes,KC,QB,66,69,0.1,0,9,-0.1,0,0
Carson Wentz,WAS,QB,65,64,0.4,0,11,-0.4,0,0
Justin Herbert,LAC,QB,65,59,0.4,0,7,-0.4,0,0
Trevor Lawrence,JAC,QB,62,57,1.0,0,8,-1.0,0,0
Marcus Mariota,ATL,QB,56,49,1.7,2,25,0.3,2,0
Russell Wilson,DEN,QB,54,38,-,-,-,-,-,-
Matt Ryan,IND,QB,54,32,-,-,-,-,-,-
Kirk Cousins,MIN,QB,53,46,-,-,-,-,-,-
Matthew Stafford,LAR,QB,53,37,-,-,-,-,-,-
Jameis Winston,NO,QB,53,44,-,-,-,-,-,-
Mac Jones,NE,QB,51,37,0.6,1,14,0.4,1,0
Jared Goff,DET,QB,51,55,0.0,0,6,0.0,0,0
Jacoby Brissett,CLE,QB,47,44,0.2,0,13,-0.2,0,0
Daniel Jones,NYG,QB,45,43,0.9,0,25,-0.9,1,0
Mitchell Trubisky,PIT,QB,44,39,0.7,1,6,0.3,1,0
Tua Tagovailoa,MIA,QB,43,65,-,-,-,-,-,-
Geno Smith,SEA,QB,41,42,0.3,0,10,-0.3,0,0
Davis Mills,HOU,QB,41,32,-,-,-,-,-,-
Ryan Tannehill,TEN,QB,41,39,1.1,1,7,-0.1,1,0
Tom Brady,TB,QB,39,35,-,-,-,-,-,-
Justin Fields,CHI,QB,38,27,1.8,1,27,-0.8,2,0
Aaron Rodgers,GB,QB,38,36,-,-,-,-,-,-
Baker Mayfield,CAR,QB,33,42,0.4,1,12,0.6,0,0
Jimmy Garoppolo,SF,QB,28,25,1.4,1,5,-0.4,3,0
Cooper Rush,DAL,QB,27,29,-,-,-,-,-,-
Trey Lance,SF,QB,21,12,0.6,0,16,-0.6,0,0
Dak Prescott,DAL,QB,8,4,-,-,-,-,-,-
Malik Willis,TEN,QB,3,0,-,-,-,-,-,-
Trace McSorley,ARI,QB,3,2,-,-,-,-,-,-
