TRUFFLE,Player,Pos,NFL,Pct,20+,40+,Avg,20+,Tar,TarPct,Avg,20+,40+,1Std Pct,Total,Avg,Total
WLW,Lamar Jackson,QB,BAL,62.1,4,0,9.7,2.0,0,0.0,0.0,0,0,0.0,325,45.42,45.42
VD,Khalil Herbert,RB,CHI,0.0,0,0,7.8,1.0,2,11.8,6.0,0,0,0.0,169,36.90,36.90
CC,Josh Allen,QB,BUF,66.7,3,0,5.9,0.0,0,0.0,0.0,0,0,0.0,447,31.70,31.70
CRB,DeVonta Smith,WR,PHI,0.0,0,0,0.0,0.0,12,34.3,21.1,3,2,87.5,169,29.90,29.90
CRB,Jalen Hurts,QB,PHI,62.9,6,3,2.2,0.0,0,0.0,0.0,0,0,0.0,360,28.60,28.60
W (9/29),Mack Hollins,WR,LV,100.0,0,0,0.0,0.0,10,22.2,19.8,3,2,75.0,162,27.96,27.96
MCM,Cordarrelle Patterson,RB,ATL,0.0,0,0,8.3,1.0,1,5.0,12.0,0,0,100.0,153,27.30,27.30
VD,Derrick Henry,RB,TEN,0.0,0,0,4.2,1.0,6,22.2,11.6,1,0,40.0,143,27.30,27.30
NN,Trevor Lawrence,QB,JAC,71.8,1,0,2.3,0.0,0,0.0,0.0,0,0,0.0,269,26.18,26.18
AFL,Joe Burrow,QB,CIN,63.9,3,2,0.0,0.0,0,0.0,0.0,0,0,0.0,275,24.00,24.00
WLW,James Robinson,RB,JAC,0.0,0,0,5.9,2.0,3,7.7,5.3,0,0,33.3,116,22.60,22.60
FRR,Dameon Pierce,RB,HOU,0.0,0,0,4.0,1.0,2,6.2,10.5,0,0,50.0,101,22.10,22.10
FRR,Rhamondre Stevenson,RB,NE,0.0,0,0,6.1,0.0,5,15.6,7.0,0,0,25.0,101,22.10,22.10
GF,Derek Carr,QB,LV,59.1,4,2,8.5,0.0,0,0.0,0.0,0,0,0.0,320,21.82,21.82
GF,Nick Chubb,RB,CLE,0.0,0,0,4.9,1.0,1,3.2,0.0,0,0,0.0,113,21.30,21.30
CC,Marquise Brown,WR,ARI,0.0,0,0,0.0,0.0,17,29.3,10.0,1,0,50.0,140,21.00,21.00
MWM,Jacoby Brissett,QB,CLE,67.7,2,0,3.7,0.0,0,0.0,0.0,0,0,0.0,231,20.90,20.90
WLW,David Njoku,TE,CLE,0.0,0,0,0.0,0.0,10,32.3,9.9,0,0,66.7,89,20.90,20.90
WLW,Daniel Jones,QB,NYG,54.1,2,0,8.8,0.0,0,0.0,0.0,0,0,0.0,275,20.74,20.74
WLW,CeeDee Lamb,WR,DAL,0.0,0,0,0.0,0.0,12,38.7,10.9,1,0,75.0,87,20.70,20.70
MAM,Saquon Barkley,RB,NYG,0.0,0,0,5.8,1.0,4,10.8,11.2,1,0,0.0,126,20.60,20.60
WLW,Dalvin Cook,RB,MIN,0.0,0,0,5.7,0.0,0,0.0,0.0,0,0,0.0,96,20.60,20.60
CRB,DeVante Parker,WR,NE,0.0,0,0,0.0,0.0,10,31.2,31.2,5,1,100.0,156,20.60,20.60
MWM,Tyler Boyd,WR,CIN,0.0,0,0,0.0,0.0,5,13.9,26.2,2,1,100.0,105,20.50,20.50
NN,Amari Cooper,WR,CLE,0.0,0,0,0.0,0.0,11,35.5,14.4,2,0,57.1,101,20.10,20.10
MWM,Devin Singletary,RB,BUF,0.0,0,0,1.4,0.0,11,17.5,8.7,1,0,44.4,91,20.10,20.10
FRR,Patrick Mahomes,QB,KC,57.1,5,1,6.5,0.0,0,0.0,0.0,0,0,0.0,288,20.08,20.08
MWM,Geno Smith,QB,SEA,72.7,3,0,-0.5,0.0,0,0.0,0.0,0,0,0.0,324,20.00,20.00
CRB,Ryan Tannehill,QB,TEN,70.4,4,1,0.5,0.0,0,0.0,0.0,0,0,0.0,266,19.76,19.76
AFL,Chris Olave,WR,NO,0.0,0,0,0.0,0.0,13,31.7,16.3,2,1,55.6,147,19.70,19.70
W (9/29),Zay Jones,WR,JAC,0.0,0,0,0.0,0.0,11,28.2,8.5,0,0,50.0,85,19.50,19.50
AFL,AJ Brown,WR,PHI,0.0,0,0,0.0,0.0,10,28.6,17.0,1,0,100.0,85,19.50,19.50
WLW,Isaiah McKenzie,WR,BUF,0.0,0,0,6.0,0.0,9,14.3,10.9,1,0,57.1,82,19.20,19.20
CC,Kirk Cousins,QB,MIN,58.5,2,0,-1.0,0.0,0,0.0,0.0,0,0,0.0,259,18.40,18.40
MWM,Adam Thielen,WR,MIN,0.0,0,0,0.0,0.0,8,19.5,10.2,0,0,100.0,61,18.10,18.10
CRB,Travis Kelce,TE,KC,0.0,0,0,1.0,0.0,8,22.2,14.5,2,0,75.0,59,17.90,17.90
CRB,Russell Gage,WR,TB,0.0,0,0,0.0,0.0,13,31.0,7.2,0,0,41.7,87,17.70,17.70
NN,Ezekiel Elliott,RB,DAL,0.0,0,0,4.9,1.0,1,3.2,2.0,0,0,0.0,75,17.50,17.50
NN,Christian Kirk,WR,JAC,0.0,0,0,0.0,0.0,9,23.1,12.0,1,0,66.7,72,17.20,17.20
