TRUFFLE,Player,Pos,NFL,Pct,20+,40+,Avg,20+,Tar,TarPct,Avg,20+,40+,1Std Pct,Total,Avg,Total
WLW,Lamar Jackson,QB,BAL,72.4,4,1,13.2,1.0,0,0.0,0.0,0,0,0.0,437,45.62,45.62
MAM,Tua Tagovailoa,QB,MIA,72.0,5,3,1.0,0.0,0,0.0,0.0,0,0,0.0,470,39.86,39.86
MWM,Aaron Jones,RB,GB,0.0,0,0,8.8,1.0,3,12.0,12.7,0,0,100.0,170,39.00,39.00
MCM,Stefon Diggs,WR,BUF,0.0,0,0,0.0,0.0,15,37.5,12.3,1,1,50.0,148,38.80,38.80
FRR,Jaylen Waddle,WR,MIA,0.0,0,0,0.0,0.0,19,38.0,15.6,2,1,81.8,171,38.10,38.10
CRB,Amon-Ra St Brown,WR,DET,0.0,0,0,34.0,1.0,12,35.3,12.9,1,1,55.6,184,36.40,36.40
CRB,Jalen Hurts,QB,PHI,83.9,3,1,5.2,1.0,0,0.0,0.0,0,0,0.0,390,36.02,36.02
GF,Nick Chubb,RB,CLE,0.0,0,0,5.1,1.0,3,11.1,8.7,0,0,33.3,113,35.30,35.30
CC,Josh Allen,QB,BUF,68.4,3,1,10.0,0.0,0,0.0,0.0,0,0,0.0,327,30.68,30.68
NN,Kyler Murray,QB,ARI,63.3,3,0,5.6,0.0,0,0.0,0.0,0,0,0.0,305,29.88,29.88
CRB,Carson Wentz,QB,WAS,65.2,4,1,11.5,0.0,0,0.0,0.0,0,0,0.0,360,29.78,29.78
MWM,Cooper Kupp,WR,LAR,0.0,0,0,0.0,0.0,14,38.9,9.8,1,0,72.7,108,28.80,28.80
MAM,Garrett Wilson,WR,NYJ,0.0,0,0,-2.0,0.0,14,31.1,12.8,1,0,75.0,100,28.20,28.20
VD,Joe Flacco,QB,NYJ,59.1,2,1,3.0,0.0,0,0.0,0.0,0,0,0.0,313,27.88,27.88
FRR,Jared Goff,QB,DET,58.8,4,1,-1.0,0.0,0,0.0,0.0,0,0,0.0,254,26.24,26.24
NN,Christian Kirk,WR,JAC,0.0,0,0,0.0,0.0,6,20.0,13.0,2,0,83.3,78,24.80,24.80
