"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"QB1","12","28","1 out of 5 stars","-"
"2",1,"Patrick Mahomes II",KC,"QB2","6","28","3 out of 5 stars","-"
"3",1,"C.J. Stroud",HOU,"QB3","14","22","2 out of 5 stars","-"
"4",2,"Jalen Hurts",PHI,"QB4","5","26","2 out of 5 stars","-"
"5",2,"Lamar Jackson",BAL,"QB5","14","27","4 out of 5 stars","-"
"6",2,"Justin Jefferson",MIN,"WR1","6","25","3 out of 5 stars","-"
"7",2,"Ja'Marr Chase",CIN,"WR2","12","24","2 out of 5 stars","-"
"8",2,"CeeDee Lamb",DAL,"WR3","7","25","3 out of 5 stars","-"
"9",2,"Joe Burrow",CIN,"QB6","12","27","2 out of 5 stars","-"
"10",3,"Anthony Richardson",IND,"QB7","14","22","5 out of 5 stars","-"
"11",3,"Caleb Williams",CHI,"QB8","7","22","4 out of 5 stars","-"
"12",3,"Amon-Ra St. Brown",DET,"WR4","5","24","4 out of 5 stars","-"
"13",3,"Bijan Robinson",ATL,"RB1","12","22","4 out of 5 stars","-"
"14",3,"Breece Hall",NYJ,"RB2","12","23","2 out of 5 stars","-"
"15",3,"Jordan Love",GB,"QB9","10","25","5 out of 5 stars","-"
"16",3,"Marvin Harrison Jr.",ARI,"WR5","11","22","3 out of 5 stars","-"
"17",3,"Garrett Wilson",NYJ,"WR6","12","24","4 out of 5 stars","-"
"18",3,"Jayden Daniels",WAS,"QB10","14","23","3 out of 5 stars","-"
"19",4,"Kyler Murray",ARI,"QB11","11","27","2 out of 5 stars","-"
"20",4,"Jahmyr Gibbs",DET,"RB3","5","22","3 out of 5 stars","-"
"21",4,"Malik Nabers",NYG,"WR7","11","21","3 out of 5 stars","-"
"22",4,"A.J. Brown",PHI,"WR8","5","27","2 out of 5 stars","-"
"23",4,"Justin Herbert",LAC,"QB12","5","26","2 out of 5 stars","-"
"24",4,"Puka Nacua",LAR,"WR9","6","23","3 out of 5 stars","-"
"25",4,"Christian McCaffrey",SF,"RB4","9","28","2 out of 5 stars","-"
"26",4,"Trevor Lawrence",JAC,"QB13","12","24","5 out of 5 stars","-"
"27",4,"Jonathan Taylor",IND,"RB5","14","25","2 out of 5 stars","-"
"28",5,"Chris Olave",NO,"WR10","12","24","3 out of 5 stars","-"
"29",5,"Sam LaPorta",DET,"TE1","5","23","3 out of 5 stars","-"
"30",5,"Dak Prescott",DAL,"QB14","7","31","2 out of 5 stars","-"
"31",5,"Tyreek Hill",MIA,"WR11","6","30","2 out of 5 stars","-"
"32",5,"Drake London",ATL,"WR12","12","23","4 out of 5 stars","-"
"33",5,"Brock Purdy",SF,"QB15","9","24","2 out of 5 stars","-"
"34",5,"Jaylen Waddle",MIA,"WR13","6","25","2 out of 5 stars","-"
"35",5,"Rome Odunze",CHI,"WR14","7","22","4 out of 5 stars","-"
"36",5,"Travis Etienne Jr.",JAC,"RB6","12","25","2 out of 5 stars","-"
"37",5,"Brandon Aiyuk",SF,"WR15","9","26","2 out of 5 stars","-"
"38",5,"De'Von Achane",MIA,"RB7","6","22","3 out of 5 stars","-"
"39",5,"DeVonta Smith",PHI,"WR16","5","25","2 out of 5 stars","-"
"40",5,"DJ Moore",CHI,"WR17","7","27","4 out of 5 stars","-"
"41",5,"Tua Tagovailoa",MIA,"QB16","6","26","2 out of 5 stars","-"
"42",6,"Michael Pittman Jr.",IND,"WR18","14","26","4 out of 5 stars","-"
"43",6,"Saquon Barkley",PHI,"RB8","5","27","4 out of 5 stars","-"
"44",6,"Nico Collins",HOU,"WR19","14","25","3 out of 5 stars","-"
"45",6,"DK Metcalf",SEA,"WR20","10","26","3 out of 5 stars","-"
"46",6,"Trey McBride",ARI,"TE2","11","24","5 out of 5 stars","-"
"47",6,"Zay Flowers",BAL,"WR21","14","23","3 out of 5 stars","-"
"48",6,"Rachaad White",TB,"RB9","11","25","5 out of 5 stars","-"
"49",6,"Kenneth Walker III",SEA,"RB10","10","23","4 out of 5 stars","-"
"50",6,"Jonathon Brooks",CAR,"RB11","11","21","4 out of 5 stars","-"
"51",6,"Jared Goff",DET,"QB17","5","29","4 out of 5 stars","-"
"52",6,"Kyle Pitts",ATL,"TE3","12","23","3 out of 5 stars","-"
"53",6,"Kyren Williams",LAR,"RB12","6","24","3 out of 5 stars","-"
"54",6,"Isiah Pacheco",KC,"RB13","6","25","3 out of 5 stars","-"
"55",6,"Tee Higgins",CIN,"WR22","12","25","2 out of 5 stars","-"
"56",6,"Drake Maye",NE,"QB18","14","22","3 out of 5 stars","-"
"57",6,"James Cook",BUF,"RB14","12","24","2 out of 5 stars","-"
"58",6,"Brock Bowers",LV,"TE4","10","21","4 out of 5 stars","-"
"59",7,"Tank Dell",HOU,"WR23","14","24","3 out of 5 stars","-"
"60",7,"Dalton Kincaid",BUF,"TE5","12","24","2 out of 5 stars","-"
"61",7,"Mark Andrews",BAL,"TE6","14","29","3 out of 5 stars","-"
"62",7,"George Pickens",PIT,"WR24","9","23","1 out of 5 stars","-"
"63",7,"Jordan Addison",MIN,"WR25","6","22","3 out of 5 stars","-"
"64",7,"Rashee Rice",KC,"WR26","6","24","3 out of 5 stars","-"
"65",7,"Xavier Worthy",KC,"WR27","6","21","3 out of 5 stars","-"
"66",7,"Bryce Young",CAR,"QB19","11","23","5 out of 5 stars","-"
"67",7,"Deebo Samuel Sr.",SF,"WR28","9","28","2 out of 5 stars","-"
"68",7,"Jaxon Smith-Njigba",SEA,"WR29","10","22","3 out of 5 stars","-"
"69",7,"Josh Jacobs",GB,"RB15","10","26","1 out of 5 stars","-"
"70",7,"Trey Benson",ARI,"RB16","11","22","2 out of 5 stars","-"
