Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2025,3yr Avg,Proj
QB,ABT,Caleb Williams,CHI,@CAR,Sun  1:00pm ET,10,45.5,10,7,92%,45%,50.0,1,346.58,318.4,295.62
RB,ABT,Saquon Barkley,PHI,WAS,Sun  4:25pm ET,10,47.5,12,29,99%,93%,132.0,1,254.5,308.7,222.06
RB,ABT,Chase Brown,CIN,TB,Sun  1:00pm ET,6,52.5,6,12,100%,97%,7.0,1,284.4,194.7,228.35
WR,ABT,Puka Nacua,LAR,SF,Thu  8:35pm ET,11,48.5,2,16,99%,99%,85.0,2,331.0,256.9,244.88
WR,ABT,Chris Olave,NO,@DET,Sun  1:00pm ET,8,49.5,14,30,97%,81%,42.0,2,221.3,161.3,182.7
TE,ABT,Colston Loveland,CHI,@CAR,Sun  1:00pm ET,10,45.5,3,24,80%,51%,10.0,2,142.3,141.4,148.54
WR,ABT,Josh Downs,IND,BAL,Sun  1:00pm ET,13,49.5,41,25,48%,11%,1.0,2,114.9,132.7,107.19
WR,ABT,Parker Washington,JAC,CLE,Sun  1:00pm ET,7,40.5,31,5,60%,20%,3.0,1,153.7,81.2,135.6
QB,ABT,Malik Willis,MIA,@LV,Sun  4:25pm ET,6,40.5,20,14,9%,3%,15.0,1,60.18,34.04,279.92
DST,ABT,Rams,LAR,SF,Thu  8:35pm ET,11,48.5,1,16,77%,49%,1.0,1,150.0,104.0,151.8
RB,ABT,Jonah Coleman,DEN,@KC,Mon  8:15pm ET,10,42.5,57,6,3%,1%,10.0,3,0.0,0.0,22.41
RB,ABT,Rachaad White,WAS,@PHI,Sun  4:25pm ET,7,47.5,38,26,71%,12%,13.0,1,150.0,202.8,126.73
WR,ABT,KC Concepcion,CLE,@JAC,Sun  1:00pm ET,11,40.5,51,15,4%,1%,15.0,3,0.0,0.0,76.89
WR,ABT,Elijah Sarratt,BAL,@IND,Sun  1:00pm ET,13,49.5,---,27,2%,1%,3.0,3,0.0,0.0,21.43
WR,ABT,Tre Tucker,LV,MIA,Sun  4:25pm ET,13,40.5,58,14,57%,15%,1.0,1,137.7,101.6,95.05
TE,ABT,Eli Stowers,PHI,WAS,Sun  4:25pm ET,10,47.5,---,30,3%,1%,5.0,3,0.0,0.0,40.67
RB,ABT,Tyler Allgeier,ARI,@LAC,Sun  4:25pm ET,14,46.5,48,8,67%,10%,1.0,1,148.6,146.3,83.1
RB,ABT,Jonathon Brooks,CAR,CHI,Sun  1:00pm ET,5,45.5,33,19,9%,1%,20.0,1,0.0,1.0,123.83
WR,ABT,DJ Moore,BUF,@HOU,Sun  1:00pm ET,7,44.5,24,7,92%,58%,44.0,1,157.58,204.82,138.35
RB,ABT,Keaton Mitchell,LAC,ARI,Sun  4:25pm ET,7,46.5,52,30,24%,4%,1.0,2,64.4,45.4,67.2
QB,CLC,Jordan Love,GB,@MIN,Sun  4:25pm ET,11,45.5,19,1,85%,25%,100.0,2,249.34,277.88,256.74
RB,CLC,Javonte Williams,DAL,@NYG,Sun  8:20pm ET,14,48.5,18,28,99%,80%,23.0,1,281.8,198.0,184.54
WR,CLC,Nico Collins,HOU,BUF,Sun  1:00pm ET,8,44.5,8,13,98%,90%,40.0,2,204.2,207.5,177.95
WR,CLC,DeVonta Smith,PHI,WAS,Sun  4:25pm ET,10,47.5,13,28,96%,69%,45.0,2,168.8,175.1,150.07
TE,CLC,Dalton Kincaid,BUF,@HOU,Sun  1:00pm ET,7,44.5,14,7,76%,26%,8.0,1,114.1,98.4,117.0
WR,CLC,Ricky Pearsall,SF,@LAR,Thu  8:35pm ET,8,48.5,---,24,68%,10%,5.0,1,80.0,78.6,0.0
WR,CLC,Jaylen Waddle,DEN,@KC,Mon  8:15pm ET,10,42.5,22,6,96%,59%,34.0,2,179.12,163.8,137.39
QB,CLC,Jacoby Brissett,ARI,@LAC,Sun  4:25pm ET,14,46.5,23,3,79%,38%,4.0,1,243.64,95.66,253.2
DST,CLC,Bills,BUF,@HOU,Sun  1:00pm ET,7,44.5,14,11,80%,52%,3.0,1,117.0,145.0,129.6
RB,CLC,Kaelon Black,SF,@LAR,Thu  8:35pm ET,8,48.5,---,10,3%,1%,3.0,3,0.0,0.0,101.92
RB,CLC,Jeremiyah Love,ARI,@LAC,Sun  4:25pm ET,14,46.5,16,8,8%,3%,50.0,3,0.0,0.0,188.36
WR,CLC,Zavion Thomas,CHI,@CAR,Sun  1:00pm ET,10,45.5,---,12,2%,1%,5.0,3,0.0,0.0,59.88
TE,CLC,Terrance Ferguson,LAR,SF,Thu  8:35pm ET,11,48.5,24,22,5%,1%,5.0,2,50.1,47.8,77.73
WR,CLC,Rome Odunze,CHI,@CAR,Sun  1:00pm ET,10,45.5,29,12,84%,12%,25.0,1,139.1,131.5,152.76
QB,CLC,Justin Fields,KC,DEN,Mon  8:15pm ET,5,42.5,---,13,15%,1%,5.0,2,168.66,182.8,13.05
WR,CLC,Ja'Lynn Polk,NO,@DET,Sun  1:00pm ET,8,49.5,---,30,1%,1%,3.0,1,0.0,9.4,0.0
QB,CLC,Cam Ward,TEN,NYJ,Sun  1:00pm ET,9,38.5,24,31,24%,5%,45.0,2,202.26,200.78,230.37
RB,CLC,Trevor Etienne,CAR,CHI,Sun  1:00pm ET,5,45.5,---,19,5%,1%,3.0,2,15.7,17.5,13.4
QB,CPC,Drake Maye,NE,@SEA,Wed  8:20pm ET,11,44.5,3,8,100%,76%,10.0,1,388.96,295.28,319.02
RB,CPC,James Cook,BUF,@HOU,Sun  1:00pm ET,7,44.5,5,5,100%,97%,116.0,1,348.2,300.4,228.35
RB,CPC,Quinshon Judkins,CLE,@JAC,Sun  1:00pm ET,11,40.5,19,1,90%,44%,15.0,2,201.4,197.2,165.91
WR,CPC,Ja'Marr Chase,CIN,TB,Sun  1:00pm ET,6,52.5,1,18,99%,97%,84.0,2,261.9,284.3,217.29
WR,CPC,Tee Higgins,CIN,TB,Sun  1:00pm ET,6,52.5,12,18,98%,68%,17.0,2,193.6,172.1,168.34
TE,CPC,Jake Tonges,SF,@LAR,Thu  8:35pm ET,8,48.5,---,14,18%,7%,1.0,1,80.3,35.7,16.64
WR,CPC,Ladd McConkey,LAC,ARI,Sun  4:25pm ET,7,46.5,18,17,96%,60%,5.0,1,149.9,176.0,135.71
WR,CPC,Jakobi Meyers,JAC,CLE,Sun  1:00pm ET,7,40.5,45,5,91%,62%,1.0,1,144.8,180.12,120.86
