Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2025,3yr Avg,Proj
QB,ABT,Caleb Williams,CHI,@CAR,Sun  1:00pm ET,10,45.5,10,7,92%,45%,50,1,346.58,318.40,295.62
RB,ABT,Saquon Barkley,PHI,WAS,Sun  4:25pm ET,10,47.5,12,29,99%,93%,132,1,254.50,308.70,222.06
RB,ABT,Chase Brown,CIN,TB,Sun  1:00pm ET,6,52.5,6,12,100%,97%,7,1,284.40,194.70,228.35
WR,ABT,Puka Nacua,LAR,SF,Thu  8:35pm ET,11,48.5,2,16,99%,99%,85,2,331.00,256.90,244.88
WR,ABT,Chris Olave,NO,@DET,Sun  1:00pm ET,8,49.5,14,30,97%,81%,42,2,221.30,161.30,182.70
TE,ABT,Colston Loveland,CHI,@CAR,Sun  1:00pm ET,10,45.5,3,24,80%,51%,10,2,142.30,141.40,148.54
WR,ABT,Josh Downs,IND,BAL,Sun  1:00pm ET,13,49.5,41,25,48%,11%,1,2,114.90,132.70,107.19
WR,ABT,Parker Washington,JAC,CLE,Sun  1:00pm ET,7,40.5,31,5,60%,20%,3,1,153.70,81.20,135.60
QB,ABT,Malik Willis,MIA,@LV,Sun  4:25pm ET,6,40.5,20,14,9%,3%,15,1,60.18,34.04,279.92
DST,ABT,Rams,LAR,SF,Thu  8:35pm ET,11,48.5,1,16,77%,49%,1,1,150.00,104.00,151.80
RB,ABT,Jonah Coleman,DEN,@KC,Mon  8:15pm ET,10,42.5,57,6,3%,1%,10,3,0.00,0.00,22.41
RB,ABT,Rachaad White,WAS,@PHI,Sun  4:25pm ET,7,47.5,38,26,71%,12%,13,1,150.00,202.80,126.73
WR,ABT,KC Concepcion,CLE,@JAC,Sun  1:00pm ET,11,40.5,51,15,4%,1%,15,3,0.00,0.00,76.89
WR,ABT,Elijah Sarratt,BAL,@IND,Sun  1:00pm ET,13,49.5,---,27,2%,1%,3,3,0.00,0.00,21.43
WR,ABT,Tre Tucker,LV,MIA,Sun  4:25pm ET,13,40.5,58,14,57%,15%,1,1,137.70,101.60,95.05
TE,ABT,Eli Stowers,PHI,WAS,Sun  4:25pm ET,10,47.5,---,30,3%,1%,5,3,0.00,0.00,40.67
RB,ABT,Tyler Allgeier,ARI,@LAC,Sun  4:25pm ET,14,46.5,48,8,67%,10%,1,1,148.60,146.30,83.10
RB,ABT,Jonathon Brooks,CAR,CHI,Sun  1:00pm ET,5,45.5,33,19,9%,1%,20,1,0.00,1.00,123.83
WR,ABT,DJ Moore,BUF,@HOU,Sun  1:00pm ET,7,44.5,24,7,92%,58%,44,1,157.58,204.82,138.35
RB,ABT,Keaton Mitchell,LAC,ARI,Sun  4:25pm ET,7,46.5,52,30,24%,4%,1,2,64.40,45.40,67.20
QB,CLC,Jordan Love,GB,@MIN,Sun  4:25pm ET,11,45.5,19,1,85%,25%,100,2,249.34,277.88,256.74
RB,CLC,Javonte Williams,DAL,@NYG,Sun  8:20pm ET,14,48.5,18,28,99%,80%,23,1,281.80,198.00,184.54
WR,CLC,Nico Collins,HOU,BUF,Sun  1:00pm ET,8,44.5,8,13,98%,90%,40,2,204.20,207.50,177.95
