League,Season,TRUFFLE,Pos,Player,NFL,Salary,Contract,Ring,BenchCup
TRUFFLE,2021,AFL,QB,Joe Burrow,CIN,45,2,0,0
TRUFFLE,2021,AFL,RB,Boston Scott,PHI,1,2,0,0
TRUFFLE,2021,AFL,RB,Joe Mixon,CIN,65,2,0,0
TRUFFLE,2021,AFL,WR,Tyler Boyd,CIN,17,1,0,0
TRUFFLE,2021,AFL,WR,Terry McLaurin,WAS,52,2,0,0
TRUFFLE,2021,AFL,WR,AJ Brown,TEN,47,3,0,0
TRUFFLE,2021,AFL,TE,George Kittle, SF,37,3,0,0
TRUFFLE,2021,AFL,WR,Nico Collins,HOU,3,3,0,0
TRUFFLE,2021,AFL,QB,Trey Lance,SF,45,3,0,0
TRUFFLE,2021,AFL,QB,Jimmy Garoppolo,SF,3,2,0,0
TRUFFLE,2021,AFL,QB,Drew Lock,DEN,44,2,0,0
TRUFFLE,2021,AFL,WR,Emmanuel Sanders,BUF,3,2,0,0
TRUFFLE,2021,AFL,WR,AJ Green,ARI,6,2,0,0
TRUFFLE,2021,AFL,WR,DeVante Parker,MIA,27,2,0,0
TRUFFLE,2021,AFL,TE,Logan Thomas,WAS,1,2,0,0
TRUFFLE,2021,AFL,TE,Ricky Seals-Jones,WAS,2,2,0,0
TRUFFLE,2021,AFL,WR,Kadarius Toney,NYG,4,3,0,0
TRUFFLE,2021,AFL,WR,Curtis Samuel,WAS,7,2,0,0
TRUFFLE,2021,CC,QB,Josh Allen,BUF,79,1,0,0
TRUFFLE,2021,CC,RB,Alvin Kamara,NO,78,1,0,0
TRUFFLE,2021,CC,RB,Jonathan Taylor,IND,35,2,0,0
TRUFFLE,2021,CC,WR,Marvin Jones,JAC,10,2,0,0
TRUFFLE,2021,CC,WR,Chase Claypool,PIT,4,2,0,0
TRUFFLE,2021,CC,WR,Donovan Peoples-Jones,CLE,3,2,0,0
TRUFFLE,2021,CC,TE,Mike Gesicki,MIA,8,2,0,0
TRUFFLE,2021,CC,RB,Chase Edmonds,ARI,11,2,0,0
TRUFFLE,2021,CC,QB,Kirk Cousins,MIN,20,2,0,0
TRUFFLE,2021,CC,QB,Geno Smith,SEA,6,2,0,0
TRUFFLE,2021,CC,RB,Kenneth Gainwell,PHI,3,3,0,0
TRUFFLE,2021,CC,WR,DeAndre Hopkins,ARI,58,1,0,0
