SznWkPlPos,SznPlPos,PlPos,SznLgTrf,LgTrf,Season,Week,Player,Pos,TrfLg,TrfTm,FPts
2026_1_MalikWillis_QB,2026_MalikWillis_QB,MalikWillis_QB,2026_KERFUFFLE_ABT,KERFUFFLE_ABT,2026.0,1.0,Malik Willis,QB,KERFUFFLE,ABT,0
2026_1_ChrisOlave_WR,2026_ChrisOlave_WR,ChrisOlave_WR,2026_KERFUFFLE_ABT,KERFUFFLE_ABT,2026.0,1.0,Chris Olave,WR,KERFUFFLE,ABT,0
2026_1_CalebWilliams_QB,2026_CalebWilliams_QB,CalebWilliams_QB,2026_KERFUFFLE_ABT,KERFUFFLE_ABT,2026.0,1.0,Caleb Williams,QB,KERFUFFLE,ABT,0
2026_1_EliStowers_TE,2026_EliStowers_TE,EliStowers_TE,2026_KERFUFFLE_ABT,KERFUFFLE_ABT,2026.0,1.0,Eli Stowers,TE,KERFUFFLE,ABT,0
2026_1_JoshDowns_WR,2026_JoshDowns_WR,JoshDowns_WR,2026_KERFUFFLE_ABT,KERFUFFLE_ABT,2026.0,1.0,Josh Downs,WR,KERFUFFLE,ABT,0
2026_1_TylerAllgeier_RB,2026_TylerAllgeier_RB,TylerAllgeier_RB,2026_KERFUFFLE_ABT,KERFUFFLE_ABT,2026.0,1.0,Tyler Allgeier,RB,KERFUFFLE,ABT,0
2026_1_JonahColeman_RB,2026_JonahColeman_RB,JonahColeman_RB,2026_KERFUFFLE_ABT,KERFUFFLE_ABT,2026.0,1.0,Jonah Coleman,RB,KERFUFFLE,ABT,0
2026_1_ChaseBrown_RB,2026_ChaseBrown_RB,ChaseBrown_RB,2026_KERFUFFLE_ABT,KERFUFFLE_ABT,2026.0,1.0,Chase Brown,RB,KERFUFFLE,ABT,0
2026_1_JonathonBrooks_RB,2026_JonathonBrooks_RB,JonathonBrooks_RB,2026_KERFUFFLE_ABT,KERFUFFLE_ABT,2026.0,1.0,Jonathon Brooks,RB,KERFUFFLE,ABT,0
2026_1_Rams_DST,2026_Rams_DST,Rams_DST,2026_KERFUFFLE_ABT,KERFUFFLE_ABT,2026.0,1.0,Rams,DST,KERFUFFLE,ABT,0
2026_1_TerranceFerguson_TE,2026_TerranceFerguson_TE,TerranceFerguson_TE,2026_KERFUFFLE_CLC,KERFUFFLE_CLC,2026.0,1.0,Terrance Ferguson,TE,KERFUFFLE,CLC,0
2026_1_DeVontaSmith_WR,2026_DeVontaSmith_WR,DeVontaSmith_WR,2026_KERFUFFLE_CLC,KERFUFFLE_CLC,2026.0,1.0,DeVonta Smith,WR,KERFUFFLE,CLC,0
2026_1_JacobyBrissett_QB,2026_JacobyBrissett_QB,JacobyBrissett_QB,2026_KERFUFFLE_CLC,KERFUFFLE_CLC,2026.0,1.0,Jacoby Brissett,QB,KERFUFFLE,CLC,0
2026_1_KaelonBlack_RB,2026_KaelonBlack_RB,KaelonBlack_RB,2026_KERFUFFLE_CLC,KERFUFFLE_CLC,2026.0,1.0,Kaelon Black,RB,KERFUFFLE,CLC,0
2026_1_TrevorEtienne_RB,2026_TrevorEtienne_RB,TrevorEtienne_RB,2026_KERFUFFLE_CLC,KERFUFFLE_CLC,2026.0,1.0,Trevor Etienne,RB,KERFUFFLE,CLC,0
2026_1_JustinFields_QB,2026_JustinFields_QB,JustinFields_QB,2026_KERFUFFLE_CLC,KERFUFFLE_CLC,2026.0,1.0,Justin Fields,QB,KERFUFFLE,CLC,0
2026_1_JavonteWilliams_RB,2026_JavonteWilliams_RB,JavonteWilliams_RB,2026_KERFUFFLE_CLC,KERFUFFLE_CLC,2026.0,1.0,Javonte Williams,RB,KERFUFFLE,CLC,0
2026_1_DaltonKincaid_TE,2026_DaltonKincaid_TE,DaltonKincaid_TE,2026_KERFUFFLE_CLC,KERFUFFLE_CLC,2026.0,1.0,Dalton Kincaid,TE,KERFUFFLE,CLC,0
2026_1_Ja'LynnPolk_WR,2026_Ja'LynnPolk_WR,Ja'LynnPolk_WR,2026_KERFUFFLE_CLC,KERFUFFLE_CLC,2026.0,1.0,Ja'Lynn Polk,WR,KERFUFFLE,CLC,0
2026_1_Bills_DST,2026_Bills_DST,Bills_DST,2026_KERFUFFLE_CLC,KERFUFFLE_CLC,2026.0,1.0,Bills,DST,KERFUFFLE,CLC,0
2026_1_JakobiMeyers_WR,2026_JakobiMeyers_WR,JakobiMeyers_WR,2026_KERFUFFLE_CPC,KERFUFFLE_CPC,2026.0,1.0,Jakobi Meyers,WR,KERFUFFLE,CPC,0
2026_1_TySimpson_QB,2026_TySimpson_QB,TySimpson_QB,2026_KERFUFFLE_CPC,KERFUFFLE_CPC,2026.0,1.0,Ty Simpson,QB,KERFUFFLE,CPC,0
2026_1_MaxKlare_TE,2026_MaxKlare_TE,MaxKlare_TE,2026_KERFUFFLE_CPC,KERFUFFLE_CPC,2026.0,1.0,Max Klare,TE,KERFUFFLE,CPC,0
2026_1_QuinshonJudkins_RB,2026_QuinshonJudkins_RB,QuinshonJudkins_RB,2026_KERFUFFLE_CPC,KERFUFFLE_CPC,2026.0,1.0,Quinshon Judkins,RB,KERFUFFLE,CPC,0
2026_1_GeorgeKittle_TE,2026_GeorgeKittle_TE,GeorgeKittle_TE,2026_KERFUFFLE_CPC,KERFUFFLE_CPC,2026.0,1.0,George Kittle,TE,KERFUFFLE,CPC,0
