SznWkPlPos,SznPlPos,PlPos,SznLgTrf,LgTrf,Season,Week,Player,Pos,NFL,TrfLg,TrfTm
2026_1_JaydenHiggins_WR,2026_JaydenHiggins_WR,JaydenHiggins_WR,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Jayden Higgins,WR,HOU,TRUFFLE,AFL
2026_1_DylanSampson_RB,2026_DylanSampson_RB,DylanSampson_RB,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Dylan Sampson,RB,CLE,TRUFFLE,AFL
2026_1_JeremiyahLove_RB,2026_JeremiyahLove_RB,JeremiyahLove_RB,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Jeremiyah Love,RB,ARI,TRUFFLE,AFL
2026_1_JaydenDaniels_QB,2026_JaydenDaniels_QB,JaydenDaniels_QB,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Jayden Daniels,QB,WAS,TRUFFLE,AFL
2026_1_BrockBowers_TE,2026_BrockBowers_TE,BrockBowers_TE,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Brock Bowers,TE,LV,TRUFFLE,AFL
2026_1_EmekaEgbuka_WR,2026_EmekaEgbuka_WR,EmekaEgbuka_WR,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Emeka Egbuka,WR,TB,TRUFFLE,AFL
2026_1_AdonaiMitchell_WR,2026_AdonaiMitchell_WR,AdonaiMitchell_WR,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Adonai Mitchell,WR,NYJ,TRUFFLE,AFL
2026_1_JahmyrGibbs_RB,2026_JahmyrGibbs_RB,JahmyrGibbs_RB,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Jahmyr Gibbs,RB,DET,TRUFFLE,AFL
2026_1_QuentinJohnston_WR,2026_QuentinJohnston_WR,QuentinJohnston_WR,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Quentin Johnston,WR,LAC,TRUFFLE,AFL
2026_1_MalachiFields_WR,2026_MalachiFields_WR,MalachiFields_WR,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Malachi Fields,WR,NYG,TRUFFLE,AFL
2026_1_GermieBernard_WR,2026_GermieBernard_WR,GermieBernard_WR,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Germie Bernard,WR,PIT,TRUFFLE,AFL
2026_1_Bears_DST,2026_Bears_DST,Bears_DST,2026_TRUFFLE_AFL,TRUFFLE_AFL,2026.0,1.0,Bears,DST,CHI,TRUFFLE,AFL
2026_1_JonathanTaylor_RB,2026_JonathanTaylor_RB,JonathanTaylor_RB,2026_TRUFFLE_CRB,TRUFFLE_CRB,2026.0,1.0,Jonathan Taylor,RB,IND,TRUFFLE,CRB
2026_1_SeanTucker_RB,2026_SeanTucker_RB,SeanTucker_RB,2026_TRUFFLE_CRB,TRUFFLE_CRB,2026.0,1.0,Sean Tucker,RB,TB,TRUFFLE,CRB
2026_1_TetairoaMcMillan_WR,2026_TetairoaMcMillan_WR,TetairoaMcMillan_WR,2026_TRUFFLE_CRB,TRUFFLE_CRB,2026.0,1.0,Tetairoa McMillan,WR,CAR,TRUFFLE,CRB
