Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 1,Avg,Proj
QB,ABT,Caleb Williams,CHI,TEN,Sun  1:00pm ET,7,43,18,10,97%,37%,50,3,8.22,8.22,16.66
RB,ABT,Saquon Barkley,PHI,GB,Fri  8:15pm ET,5,49.5,7,23,100%,100%,131,2,38.20,38.20,15.01
RB,ABT,Alvin Kamara,NO,CAR,Sun  1:00pm ET,12,41.5,17,28,100%,95%,40,1,22.00,22.00,10.70
WR,ABT,DJ Moore,CHI,TEN,Sun  1:00pm ET,7,43,22,24,100%,84%,44,3,8.00,8.00,8.51
WR,ABT,Puka Nacua,LAR,@DET,Sun  8:20pm ET,6,53.5,7,30,100%,99%,85,4,5.20,5.20,11.21
TE,ABT,Jake Ferguson,DAL,@CLE,Sun  4:25pm ET,7,42,8,5,93%,64%,2,2,1.50,1.50,5.11
WR,ABT,Keenan Allen,CHI,TEN,Sun  1:00pm ET,7,43,45,24,91%,17%,7,2,4.90,4.90,6.51
WR,ABT,Chris Olave,NO,CAR,Sun  1:00pm ET,12,41.5,12,3,100%,94%,42,4,2.10,2.10,8.71
QB,ABT,Dak Prescott,DAL,@CLE,Sun  4:25pm ET,7,42,15,4,100%,56%,77,3,12.46,12.46,14.97
DST,ABT,Seahawks,SEA,DEN,Sun  4:05pm ET,10,42.5,5,20,42%,35%,1,2,9.00,9.00,10.10
RB,ABT,Audric Estime,DEN,@SEA,Sun  4:05pm ET,14,42.5,---,31,19%,1%,1,2,2.40,2.40,4.60
RB,ABT,Kimani Vidal,LAC,LV,Sun  4:05pm ET,5,40.5,---,24,25%,1%,1,2,0.00,0.00,0.00
WR,ABT,Jermaine Burton,CIN,NE,Sun  1:00pm ET,12,41,---,14,17%,1%,5,3,0.00,0.00,4.41
WR,ABT,Josh Downs,IND,HOU,Sun  1:00pm ET,14,47.5,---,10,21%,1%,1,4,0.00,0.00,0.00
WR,ABT,Roman Wilson,PIT,@ATL,Sun  1:00pm ET,9,42.5,---,7,9%,1%,3,3,0.00,0.00,0.00
RB,ABT,Chase Brown,CIN,NE,Sun  1:00pm ET,12,41,32,15,94%,11%,7,3,2.30,2.30,7.10
RB,ABT,Kenneth Gainwell,PHI,GB,Fri  8:15pm ET,5,49.5,---,23,30%,1%,1,2,2.20,2.20,4.30
WR,ABT,Josh Reynolds,DEN,@SEA,Sun  4:05pm ET,14,42.5,---,22,4%,1%,1,2,7.50,7.50,5.61
RB,ABT,Keaton Mitchell,BAL,@KC,Thu  8:20pm ET,14,46,---,7,13%,1%,1,4,0.00,0.00,0.00
QB,CLC,Jordan Love,GB,@PHI,Fri  8:15pm ET,10,49.5,9,31,100%,81%,100,4,16.40,16.40,16.78
RB,CLC,Breece Hall,NYJ,@SF,Mon  8:15pm ET,12,43.5,2,4,100%,100%,145,2,0.00,0.00,12.81
RB,CLC,Zack Moss,CIN,NE,Sun  1:00pm ET,12,41,30,15,98%,26%,17,3,17.10,17.10,6.50
WR,CLC,DeVonta Smith,PHI,GB,Fri  8:15pm ET,5,49.5,19,17,100%,92%,45,4,13.40,13.40,9.51
WR,CLC,Jaylen Waddle,MIA,JAC,Sun  1:00pm ET,6,49.5,16,21,100%,87%,34,4,15.20,15.20,9.61
TE,CLC,Dalton Kincaid,BUF,ARI,Sun  1:00pm ET,12,46,5,15,98%,89%,50,2,2.10,2.10,7.51
WR,CLC,Nico Collins,HOU,@IND,Sun  1:00pm ET,14,47.5,10,12,100%,98%,40,4,17.70,17.70,10.52
