Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 1,Avg,Proj
QB,AFL,Kyler Murray,ARI,@BUF,Sun  1:00pm ET,11,46,7,6,98%,66%,92,2,17.18,17.18,15.98
RB,AFL,Jahmyr Gibbs,DET,LAR,Sun  8:20pm ET,5,53.5,6,1,100%,99%,45,2,18.40,18.40,12.20
RB,AFL,D'Andre Swift,CHI,TEN,Sun  1:00pm ET,7,43,24,12,100%,51%,60,1,6.00,6.00,7.50
WR,AFL,AJ Brown,PHI,GB,Fri  8:15pm ET,5,49.5,4,17,100%,100%,74,1,22.90,22.90,11.42
WR,AFL,Chris Olave,NO,CAR,Sun  1:00pm ET,12,41.5,12,3,100%,94%,45,1,2.10,2.10,8.71
TE,AFL,Travis Kelce,KC,BAL,Thu  8:20pm ET,6,46,1,12,100%,99%,48,1,5.40,5.40,8.11
TE,AFL,Brock Bowers,LV,@LAC,Sun  4:05pm ET,10,40.5,13,14,92%,41%,10,3,8.80,8.80,6.21
WR,AFL,Curtis Samuel,BUF,ARI,Sun  1:00pm ET,12,46,---,18,54%,9%,1,1,1.50,1.50,8.11
QB,AFL,Jayden Daniels,WAS,@TB,Sun  4:25pm ET,14,42,13,21,96%,38%,45,3,36.16,36.16,16.22
DST,AFL,Cowboys,DAL,@CLE,Sun  4:25pm ET,7,42,3,32,100%,92%,1,1,20.00,20.00,11.20
QB,AFL,Spencer Rattler,NO,CAR,Sun  1:00pm ET,12,41.5,---,1,2%,1%,3,3,0.00,0.00,0.00
QB,AFL,Russell Wilson,PIT,@ATL,Sun  1:00pm ET,9,42.5,---,22,16%,1%,3,1,0.00,0.00,0.00
RB,AFL,Jaleel McLaughlin,DEN,@SEA,Sun  4:05pm ET,14,42.5,41,31,70%,2%,2,2,2.80,2.80,6.00
RB,AFL,Dameon Pierce,HOU,@IND,Sun  1:00pm ET,14,47.5,---,27,13%,1%,5,1,2.60,2.60,3.90
WR,AFL,Jahan Dotson,PHI,GB,Fri  8:15pm ET,5,49.5,---,17,15%,1%,5,1,0.00,0.00,5.91
WR,AFL,Tee Higgins,CIN,NE,Sun  1:00pm ET,12,41,---,14,99%,10%,40,1,0.00,0.00,0.00
TE,AFL,Greg Dulcich,DEN,@SEA,Sun  4:05pm ET,14,42.5,---,16,9%,1%,1,1,1.20,1.20,5.21
WR,AFL,Zay Flowers,BAL,@KC,Thu  8:20pm ET,14,46,34,5,99%,49%,15,2,6.10,6.10,6.31
WR,AFL,Adonai Mitchell,IND,HOU,Sun  1:00pm ET,14,47.5,---,10,46%,3%,5,3,0.20,0.20,5.51
QB,CC,Brock Purdy,SF,NYJ,Mon  8:15pm ET,9,43.5,20,3,98%,31%,96,3,0.00,0.00,14.23
RB,CC,James Cook,BUF,ARI,Sun  1:00pm ET,12,46,10,32,100%,98%,10,1,14.30,14.30,11.31
RB,CC,David Montgomery,DET,LAR,Sun  8:20pm ET,5,53.5,19,1,100%,77%,71,2,21.30,21.30,9.40
WR,CC,Deebo Samuel,SF,NYJ,Mon  8:15pm ET,9,43.5,14,1,100%,90%,54,2,0.00,0.00,7.81
WR,CC,Amon-Ra St Brown,DET,LAR,Sun  8:20pm ET,5,53.5,2,26,100%,100%,40,2,1.30,1.30,12.52
TE,CC,Trey McBride,ARI,@BUF,Sun  1:00pm ET,11,46,4,8,98%,83%,2,1,5.00,5.00,5.21
WR,CC,DK Metcalf,SEA,DEN,Sun  4:05pm ET,10,42.5,15,15,100%,93%,53,3,4.90,4.90,9.82
WR,CC,George Pickens,PIT,@ATL,Sun  1:00pm ET,9,42.5,31,7,100%,73%,5,1,12.50,12.50,8.21
QB,CC,Daniel Jones,NYG,MIN,Sun  1:00pm ET,11,42,---,18,17%,2%,65,2,6.94,6.94,14.61
DST,CC,Browns,CLE,DAL,Sun  4:25pm ET,10,42,6,8,97%,79%,5,1,3.00,3.00,8.90
QB,CC,Drake Maye,NE,@CIN,Sun  1:00pm ET,14,41,---,23,14%,1%,30,3,0.00,0.00,0.28
RB,CC,Jonathon Brooks,CAR,@NO,Sun  1:00pm ET,11,41.5,---,8,89%,1%,10,3,0.00,0.00,0.00
