playerID,Player,Pos,NFL,TRUFFLE
3122473,Tyler Goodson,RB,GB,W (5/9)
2183625,Penny Hart,WR,SEA,W (5/9)
2139987,Jeremy McNichols,RB,TEN,W (5/9)
3117210,Gunner Olszewski,WR,PIT,W (5/9)
2130893,Dalvin Cook,RB,MIN,W (5/9)
2080283,Michael Dyer,RB,LV,W (5/9)
2239684,Jack Stoll,TE,PHI,W (5/9)
2179411,Ben DiNucci,QB,DAL,W (5/9)
2174118,CJ Uzomah,TE,NYJ,MWM
2185927,Jeff Smith,WR,NYJ,W (5/9)
2130689,Damien Williams,RB,ATL,W (5/9)
2133481,Trevion Thompson,WR,TEN,W (5/9)
1630777,Blaine Gabbert,QB,TB,W (5/9)
3116850,Darrius Shepherd,WR,PIT,W (5/9)
2975629,Dax Milne,WR,WAS,W (5/9)
1877247,Jacoby Brissett,QB,CLE,W (5/9)
2131633,Jalen Hurd,WR,SF,W (5/9)
1824909,Mike Evans,WR,TB,MAM
1130583,Colin Kaepernick,QB,SF,W (5/9)
3159069,Kirk Merritt,WR,NO,W (5/9)
3159167,Rysen John,TE,NYG,W (5/9)
2964236,Dameon Pierce,RB,HOU,W (5/9)
2132282,Richie James,WR,NYG,W (5/9)
2185868,Kenzel Doe,WR,PIT,W (5/9)
2010349,Mack Hollins,WR,LV,W (5/9)
2239576,Tre HarbisonI,RB,CLE,W (5/9)
3116703,Steven Sims,WR,PIT,W (5/9)
2001582,Amba Etta-Tawo,WR,HOU,W (5/9)
2185503,Cheyenne O'Grady,TE,CIN,W (5/9)
2131714,Darrel Williams,RB,KC,MCM
2179813,KJ Hill,WR,LAC,W (5/9)
2250916,Chris Rowland,WR,TEN,W (5/9)
1907522,Carson Wentz,QB,WAS,WLW
2804142,Trey Sermon,RB,SF,GF
2252503,Harvey Binford,WR,IND,W (5/9)
3157668,Darion Clark,TE,CHI,W (5/9)
2961962,Matt Corral,QB,CAR,W (5/9)
2179328,DJ Moore,WR,CAR,WLW
3117025,Jonathan Duhart,WR,DET,W (5/9)
2179406,Jerome Washington,TE,ARI,W (5/9)
2260702,Jequez Ezzard,WR,WAS,W (5/9)
3159214,John Hurst,WR,TB,W (5/9)
1999663,Paxton Lynch,QB,PIT,W (5/9)
1824823,Odell Beckham,WR,LAR,NN
2253371,Trishton Jackson,WR,MIN,W (5/9)
3125670,Marcus Simms,WR,JAC,W (5/9)
2194263,Case Cookus,QB,LV,W (5/9)
1865396,Eric Ebron,TE,PIT,W (5/9)
2251890,Mason Stokke,RB,CAR,W (5/9)
2818150,Chris Godwin,WR,TB,MAM
2079334,Boston Scott,RB,PHI,AFL
2130290,Keith Smith,RB,ATL,W (5/9)
2130981,Braxton Berrios,WR,NYJ,W (5/9)
2189091,Giovanni Ricci,TE,CAR,W (5/9)
2239544,Jake Funk,RB,LAR,W (5/9)
3116657,John Ursua,WR,SEA,W (5/9)
2252835,BJ Emmons,RB,JAC,W (5/9)
547043,Ryan Fitzpatrick,QB,WAS,W (5/9)
2865251,CeeDee Lamb,WR,DAL,WLW
2963569,Elijah Moore,WR,NYJ,FRR
2186674,Equanimeous St Brown,WR,CHI,W (5/9)
1983769,Maxx Williams,TE,ARI,W (5/9)
2967157,Dom Wood-Anderson,TE,SEA,W (5/9)
2815197,Jeremiah Haydel,WR,LAR,W (5/9)
2080023,Dylan Cantrell,WR,WAS,W (5/9)
2239997,Jordan Love,QB,GB,W (5/9)
565754,Chase Daniel,QB,LAC,W (5/9)
2181185,Jaylen Smith,WR,NE,W (5/9)
2186345,Dawson Knox,TE,BUF,W (5/9)
2818312,Alex Armah,RB,WAS,W (5/9)
3117071,Darnell Holland,RB,NO,W (5/9)
1691193,Logan Thomas,TE,WAS,AFL
2146188,James Washington,WR,DAL,W (5/9)
2221963,Hunter Kampmoyer,TE,LAC,W (5/9)
2804129,Grant Calcaterra,TE,PHI,W (5/9)
2185697,Jalen McCleskey,WR,NO,W (5/9)
2236987,Tim Brown,TE,TB,W (5/9)
3172327,Pete Guerriero,RB,PIT,W (5/9)
2964494,Tyler Badie,RB,BAL,W (5/9)
2179323,Ty Johnson,RB,NYJ,W (5/9)
2182851,Andy Isabella,WR,ARI,W (5/9)
2184011,Tony Pollard,RB,DAL,W (5/9)
2221960,Justin Herbert,QB,LAC,MCM
2260646,Nick Eubanks,TE,CIN,W (5/9)
1633122,Kyle Rudolph,TE,NYG,W (5/9)
3161110,Siaosi Mariner,WR,BAL,W (5/9)
3159112,Josh Love,QB,CAR,W (5/9)
2186356,Farrod Green,TE,IND,W (5/9)
420095,Matt Ryan,QB,IND,W (5/9)
2136527,Malik Turner,WR,SF,W (5/9)
2252411,D'Wayne Eskridge,WR,SEA,W (5/9)
2866341,Connor Wedington,WR,SF,W (5/9)
2240307,Shane Buechele,QB,KC,W (5/9)
2758265,Jordan Ta'amu-Perifanos,QB,CAR,W (5/9)
2258543,Antonio Nunn,WR,ATL,W (5/9)
2223222,Anthony Brown,QB,BAL,W (5/9)
2058361,Ryan Griffin,QB,TB,W (5/9)
1250697,Joe Flacco,QB,NYJ,W (5/9)
3159137,Tyler Huntley,QB,BAL,W (5/9)
2867341,Kennedy Brooks,RB,PHI,W (5/9)
2186057,Kelvin McKnight,WR,DEN,W (5/9)
559554,DeSean Jackson,WR,LV,W (5/9)
3161106,Eli Wolf,TE,IND,W (5/9)
2251305,Miles Sanders,RB,PHI,W (5/9)
2818264,Jamal Agnew,WR,JAC,MCM
2181108,Josiah Deguara,TE,GB,W (5/9)
1686045,Josh Gordon,WR,KC,W (5/9)
2251378,Aaron Fuller,WR,SEA,W (5/9)
2186656,Miles Boykin,WR,PIT,W (5/9)
2239232,Reece Horn,WR,CIN,W (5/9)
2962970,Darwin Thompson,RB,SEA,W (5/9)
2975698,James Cook,RB,BUF,W (5/9)
3159102,Andre Baccellia,WR,ARI,W (5/9)
2221967,Dillon Mitchell,WR,MIN,W (5/9)
2174795,DeAndre Carter,WR,LAC,W (5/9)
2174931,Matt LaCosse,TE,NE,W (5/9)
2924888,Ross Dwelley,TE,SF,W (5/9)
2061053,Jared Goff,QB,DET,FRR
2252275,TJ Vasher,WR,DAL,W (5/9)
2139449,Devonte Robinson,WR,GB,W (5/9)
2180558,Jared Pinkney,TE,DET,W (5/9)
3116706,Trinity Benson,WR,DET,W (5/9)
3117054,Chris Myarick,TE,NYG,W (5/9)
3153041,Tavonn Salter,WR,ATL,W (5/9)
2179226,Ray-Ray McCloud,WR,SF,W (5/9)
2139547,Papi White,WR,TEN,W (5/9)
2141655,Allen Lazard,WR,GB,W (5/9)
2180481,CJ Conrad,TE,NYG,W (5/9)
1893167,Davante Adams,WR,LV,VD
2240193,Demetric Felton,RB,CLE,W (5/9)
1737484,Sean Mannion,QB,MIN,W (5/9)
2867503,Whop Philyor,WR,MIN,W (5/9)
2251139,Scooter Harrington,TE,CHI,W (5/9)
2131252,Curtis Samuel,WR,WAS,AFL
3117391,Taj McGowan,RB,JAC,W (5/9)
2179863,Omar Bayless,WR,KC,W (5/9)
2866191,Montrell Washington,WR,DEN,W (5/9)
2962347,Pooka Williams,RB,CIN,W (5/9)
