Season,Pos,Player,G,PaCmp,PaAtt,PaYd,PaTD,PaInt,RuAtt,RuYd,RuTD,RuFD,Tar,Rec,ReYd,ReTD,ReFD,FL,Avg,FPts
2024,QB,Jalen Hurts,17,344,520,3966,31,16,147,600,13,0,0,0,0,0,0,4,22.4,380.87
2024,QB,Josh Allen,17,363,558,3997,32,15,129,687,10,0,0,0,0,0,0,4,22.28,378.77
2024,QB,Lamar Jackson,17,296,452,3608,29,11,154,920,5,0,0,0,0,0,0,6,20.52,348.84
2024,QB,Patrick Mahomes,17,415,609,4483,32,11,76,421,1,0,0,0,0,0,0,2,19.33,328.6
2024,QB,Jordan Love,17,348,525,3988,36,10,46,185,3,0,0,0,0,0,0,2,18.54,315.18
2024,QB,Dak Prescott,17,389,577,4233,34,13,56,232,2,0,0,0,0,0,0,2,18.26,310.43
2024,QB,Anthony Richardson,17,320,508,3590,24,10,153,629,6,0,0,0,0,0,0,6,18.06,307.1
2024,QB,Brock Purdy,17,321,470,4199,33,9,44,158,2,0,0,0,0,0,0,2,18.01,306.24
2024,QB,Jayden Daniels,17,345,550,3604,27,15,129,630,5,0,0,0,0,0,0,6,17.87,303.86
2024,QB,Kyler Murray,17,378,557,3649,28,14,83,436,5,0,0,0,0,0,0,0,17.81,302.84
2024,QB,Joe Burrow,17,404,592,4251,33,12,50,149,2,0,0,0,0,0,0,2,17.69,300.69
2024,QB,Caleb Williams,17,318,495,3482,28,13,116,566,5,0,0,0,0,0,0,6,17.63,299.66
2024,QB,Trevor Lawrence,17,382,562,3999,28,12,71,309,5,0,0,0,0,0,0,6,17.48,297.24
2024,QB,C.J. Stroud,17,346,528,4223,30,9,40,162,3,0,0,0,0,0,0,4,17.46,296.85
2024,RB,Christian McCaffrey,17,0,0,0,0,0,261,1266,11,0,89,71,612,7,0,2,17.13,291.21
2024,QB,Justin Herbert,17,374,575,3944,28,10,66,266,3,0,0,0,0,0,0,2,17.06,290.1
2024,QB,Jared Goff,17,398,574,4434,31,9,32,42,1,0,0,0,0,0,0,3,17.01,289.12
2024,QB,Kirk Cousins,17,341,515,4028,30,7,38,111,2,0,0,0,0,0,0,6,16.35,277.99
2024,QB,Deshaun Watson,17,354,603,4016,28,18,68,349,2,0,0,0,0,0,0,4,16.2,275.32
2024,RB,Saquon Barkley,17,0,0,0,0,0,282,1171,14,0,76,53,399,6,0,2,15.93,270.89
2024,QB,Baker Mayfield,17,360,570,3994,29,11,52,150,1,0,0,0,0,0,0,3,15.75,267.68
2024,QB,Tua Tagovailoa,17,366,527,4290,29,13,35,93,0,0,0,0,0,0,0,4,15.5,263.42
2024,QB,Derek Carr,17,366,546,3894,31,10,32,59,0,0,0,0,0,0,0,3,15.37,261.26
2024,QB,Geno Smith,17,347,523,3742,28,13,43,184,2,0,0,0,0,0,0,3,15.26,259.44
2024,QB,Matthew Stafford,17,352,556,4147,28,13,25,63,0,0,0,0,0,0,0,1,15.1,256.69
2024,RB,Breece Hall,17,0,0,0,0,0,218,933,9,0,95,75,646,8,0,1,15.1,256.65
2024,QB,Daniel Jones,17,310,480,3121,20,14,106,556,4,0,0,0,0,0,0,3,14.67,249.45
2024,RB,Bijan Robinson,17,0,0,0,0,0,228,1112,6,0,102,69,604,8,0,3,14.6,248.24
2024,RB,Jonathan Taylor,17,0,0,0,0,0,304,1386,12,0,43,34,271,2,0,1,14.43,245.27
2024,QB,Aaron Rodgers,17,356,550,3626,24,9,28,73,2,0,0,0,0,0,0,2,14.09,239.47
2024,QB,Russell Wilson,17,274,440,2995,20,9,74,312,5,0,0,0,0,0,0,4,13.82,234.87
2024,QB,Sam Darnold,17,381,577,4131,25,20,31,57,1,0,0,0,0,0,0,2,13.8,234.59
2024,WR,CeeDee Lamb,17,0,0,0,0,0,12,83,1,0,168,120,1590,10,0,1,13.55,230.3
2024,RB,Kyren Williams,17,0,0,0,0,0,262,1206,12,0,52,35,232,3,0,2,13.36,227.2
2024,RB,Derrick Henry,17,0,0,0,0,0,264,1299,12,0,32,25,228,0,0,1,13.02,221.31
2024,RB,James Cook,17,0,0,0,0,0,279,1289,6,0,53,43,390,4,0,2,13,221.01
2024,WR,Tyreek Hill,17,0,0,0,0,0,6,24,0,0,153,107,1526,11,0,1,12.94,219.92
2024,QB,Bo Nix,17,292,457,3075,24,11,60,253,1,0,0,0,0,0,0,4,12.88,218.93
2024,QB,Will Levis,17,288,438,3331,22,13,48,182,2,0,0,0,0,0,0,4,12.72,216.25
2024,WR,Amon-Ra St. Brown,17,0,0,0,0,0,5,35,0,0,156,112,1415,10,0,1,12.05,204.79
2024,RB,Joe Mixon,17,0,0,0,0,0,257,926,10,0,52,43,362,3,0,1,11.98,203.58
2024,RB,Josh Jacobs,17,0,0,0,0,0,275,1121,11,0,46,34,283,0,0,1,11.87,201.71
2024,RB,De'Von Achane,17,0,0,0,0,0,144,903,9,0,58,41,298,5,0,1,11.83,201.14
2024,QB,Bryce Young,17,309,514,3015,20,11,38,229,1,0,0,0,0,0,0,3,11.83,201.06
2024,RB,Travis Etienne,17,0,0,0,0,0,246,906,11,0,63,50,416,1,0,1,11.82,200.93
2024,RB,Isiah Pacheco,17,0,0,0,0,0,231,1018,11,0,47,43,257,2,0,2,11.76,199.85
2024,RB,Jahmyr Gibbs,17,0,0,0,0,0,197,956,10,0,86,63,422,1,0,2,11.65,198.03
2024,WR,Puka Nacua,17,0,0,0,0,0,11,73,0,0,148,100,1449,7,0,0,11.45,194.6
2024,RB,Rachaad White,17,0,0,0,0,0,223,865,8,0,61,54,446,3,0,2,11.25,191.29
2024,WR,A.J. Brown,17,0,0,0,0,0,0,1,0,0,140,92,1365,9,0,2,11.15,189.58
2024,QB,Gardner Minshew,17,287,464,3100,20,14,28,68,2,0,0,0,0,0,0,4,11.07,188.25
2024,WR,Ja'Marr Chase,17,0,0,0,0,0,4,4,0,0,145,98,1297,9,0,0,10.99,186.78
2024,WR,Justin Jefferson,17,0,0,0,0,0,3,-3,0,0,151,103,1518,6,0,1,10.91,185.49
2024,RB,Kenneth Walker III,17,0,0,0,0,0,220,855,12,0,36,29,242,1,0,1,10.87,184.83
2024,RB,James Conner,17,0,0,0,0,0,214,962,8,0,45,37,249,3,0,1,10.77,183.09
2024,WR,Deebo Samuel,17,0,0,0,0,0,43,224,4,0,101,66,983,6,0,1,10.42,177.19
