League,Rivalry,Season,Week,Team1,Team2,Team1Score,Team2Score,Thanksgiving,Championship
TRUFFLE,Granddaddy,2015,7,CRB,FRR,109.94,147.52,0,0
TRUFFLE,Granddaddy,2016,7,CRB,FRR,135.1,184.36,0,0
TRUFFLE,Granddaddy,2016,15,CRB,FRR,128.14,102.98,0,0
TRUFFLE,Granddaddy,2017,6,CRB,FRR,125.54,131.62,0,0
TRUFFLE,Granddaddy,2017,16,CRB,FRR,120.82,111.02,0,1
TRUFFLE,Granddaddy,2018,7,CRB,FRR,114.38,137.4,0,0
TRUFFLE,Granddaddy,2018,15,CRB,FRR,92.4,107.44,0,0
TRUFFLE,Granddaddy,2019,7,CRB,FRR,143.78,168.9,0,0
TRUFFLE,Granddaddy,2020,10,CRB,FRR,129.64,76.24,0,0
TRUFFLE,Granddaddy,2021,10,CRB,FRR,128.66,112.72,0,0
TRUFFLE,Granddaddy,2021,12,CRB,FRR,104.7,86.14,1,0
TRUFFLE,Granddaddy,2021,15,CRB,FRR,129.08,134.94,0,0
TRUFFLE,Fish-ti-cuffs,2021,7,MAM,WLW,162.5,145.3,0,0
TRUFFLE,Fish-ti-cuffs,2021,12,MAM,WLW,105.58,144.94,1,0
TRUFFLE,BirdBrawl,2020,8,ELP,GF,116.8,149.1,0,0
TRUFFLE,BirdBrawl,2021,8,ELP,GF,116.84,137.2,0,0
TRUFFLE,BirdBrawl,2021,12,ELP,GF,181.78,136.7,1,0
TRUFFLE,Leftovers,2020,7,AFL,CC,177.2,128.28,0,0
TRUFFLE,Leftovers,2021,7,AFL,CC,117.78,122.38,0,0
TRUFFLE,Leftovers,2021,12,AFL,CC,122.5,123.22,1,0
TRUFFLE,Canadienne,2020,12,MCM,NN,104.96,151.12,0,0
TRUFFLE,Canadienne,2020,14,MCM,NN,98.86,163.02,0,0
TRUFFLE,Canadienne,2021,1,MCM,NN,119.5,158.88,0,0
TRUFFLE,Canadienne,2021,12,MCM,NN,166.12,120.86,1,0
TRUFFLE,MonsterMash,2015,2,MWM,VD,95.76,146.64,0,0
TRUFFLE,MonsterMash,2016,12,MWM,VD,93.76,160.7,0,0
TRUFFLE,MonsterMash,2017,4,MWM,VD,113.88,116.62,0,0
TRUFFLE,MonsterMash,2017,8,MWM,VD,118.6,73.84,0,0
TRUFFLE,MonsterMash,2017,15,MWM,VD,88.48,94.14,0,0
TRUFFLE,MonsterMash,2018,4,MWM,VD,127.26,129.22,0,0
TRUFFLE,MonsterMash,2018,9,MWM,VD,103.82,100.3,0,0
TRUFFLE,MonsterMash,2019,4,MWM,VD,133.58,126.78,0,0
TRUFFLE,MonsterMash,2019,9,MWM,VD,132.14,116.5,0,0
TRUFFLE,MonsterMash,2020,1,MWM,VD,149.22,144.26,0,0
TRUFFLE,MonsterMash,2021,12,MWM,VD,114.9,120.12,1,0
TRUFFLE,MonsterMash,2021,14,MWM,VD,173.42,157,0,0
TRUFFLE,MonsterMash,2022,1,MWM,VD,99.86,101.46,0,0
TRUFFLE,Fish-ti-cuffs,2022,1,MAM,WLW,142.68,114.74,0,0
TRUFFLE,Granddaddy,2022,5,CRB,FRR,123.62,160.84,0,0
TRUFFLE,BirdBrawl,2022,5,ELP,GF,133.88,70.14,0,0
TRUFFLE,Leftovers,2022,8,AFL,CC,133.26,165.9,0,0
TRUFFLE,Canadienne,2022,8,MCM,NN,150.54,124.96,0,0
TRUFFLE,Granddaddy,2022,12,CRB,FRR,125.18,125,1,0
TRUFFLE,Leftovers,2022,12,AFL,CC,110.3,135.18,1,0
TRUFFLE,MonsterMash,2022,12,MWM,VD,130.12,51.38,1,0
TRUFFLE,BirdBrawl,2022,12,ELP,GF,142.44,133.28,1,0
TRUFFLE,Fish-ti-cuffs,2022,12,MAM,WLW,145.12,136.72,1,0
TRUFFLE,Canadienne,2022,12,MCM,NN,124.9,192.82,1,0
TRUFFLE,Granddaddy,2023,1,CRB,FRR,108.38,104.12,0,0
TRUFFLE,BirdBrawl,2023,1,ELP,GF,130.94,148.58,0,0
TRUFFLE,Fish-ti-cuffs,2023,5,MAM,WLW,215.6,107.58,0,0
TRUFFLE,MonsterMash,2023,5,MWM,VD,116,115.44,0,0
TRUFFLE,Leftovers,2023,8,AFL,CC,154.28,79.2,0,0
TRUFFLE,Canadienne,2023,8,MCM,NN,155.88,128.8,0,0
TRUFFLE,Granddaddy,2023,12,CRB,FRR,166.06,180.18,1,0
TRUFFLE,MonsterMash,2023,12,MWM,VD,132.64,96.72,1,0
TRUFFLE,Canadienne,2023,12,MCM,NN,125.94,107.16,1,0
TRUFFLE,BirdBrawl,2023,12,ELP,GF,161.9,124.82,1,0
TRUFFLE,Fish-ti-cuffs,2023,12,MAM,WLW,105.6,213.66,1,0
TRUFFLE,Leftovers,2023,12,AFL,CC,130.94,81.74,1,0
TRUFFLE,Granddaddy,2023,16,CRB,FRR,124.4,128.24,0,0
TRUFFLE,Leftovers,2024,2,AFL,CC,96.88,160.68,0,0
TRUFFLE,Canadienne,2024,2,MCM,NN,88.02,142.24,0,0
TRUFFLE,Granddaddy,2024,5,CRB,FRR,91.14,161.7,0,0
TRUFFLE,BirdBrawl,2024,5,ELP,GF,115.4,111.8,0,0
TRUFFLE,MonsterMash,2024,10,MWM,VD,120.46,117.18,0,0
TRUFFLE,Fish-ti-cuffs,2024,10,MAM,WLW,103.08,144.6,0,0
KERFUFFLE,Almanac,2024,8,LBC,SBS,158.68,138.3,0,0
KERFUFFLE,Derby,2024,11,ABT,DDD,178.24,159.38,0,0
KERFUFFLE,Bonus,2024,6,CPC,PCP,140.92,115.62,0,0
KERFUFFLE,Rodgers,2024,3,CLC,LC,151.78,93.22,0,0
KERFUFFLE,Neckbeard,2024,3,PP,RR,130.28,112.12,0,0
KERFUFFLE,Habibi,2024,2,MB,NBB,127.18,110.06,0,0
TRUFFLE,Leftovers,2024,13,AFL,CC,151.54,149.58,1,0
TRUFFLE,Canadienne,2024,13,MCM,NN,128.54,98.06,1,0
TRUFFLE,Granddaddy,2024,13,CRB,FRR,174.68,139.74,1,0
TRUFFLE,BirdBrawl,2024,13,ELP,GF,133.92,75.56,1,0
TRUFFLE,MonsterMash,2024,13,MWM,VD,114.82,145.96,1,0
TRUFFLE,Fish-ti-cuffs,2024,13,MAM,WLW,162.64,162.02,1,0
KERFUFFLE,Almanac,2024,14,LBC,SBS,114.84,96.62,0,0
KERFUFFLE,Derby,2024,14,ABT,DDD,153.5,128.8,0,0
KERFUFFLE,Bonus,2024,14,CPC,PCP,170.44,148.58,0,0
KERFUFFLE,Rodgers,2024,14,CLC,LC,84.14,168.72,0,0
KERFUFFLE,Neckbeard,2024,14,PP,RR,134.52,204.04,0,0
KERFUFFLE,Habibi,2024,14,MB,NBB,150.18,140.74,0,0
