League,Player,Pos
TRUFFLE,Bijan Robinson,RB
TRUFFLE,Jahmyr Gibbs,RB
TRUFFLE,Anthony Richardson,QB
TRUFFLE,Bryce Young,QB
TRUFFLE,CJ Stroud,QB
TRUFFLE,Jaxon Smith-Njigba,WR
TRUFFLE,Jordan Addison,WR
TRUFFLE,Zay Flowers,WR
TRUFFLE,Zach Charbonnet,RB
TRUFFLE,DeVon Achane,RB
TRUFFLE,Dalton Kincaid,TE
TRUFFLE,Sam LaPorta,TE
TRUFFLE,Tank Bigsby,RB
TRUFFLE,Jayden Reed,WR
TRUFFLE,Tyjae Spears,RB
TRUFFLE,Rashee Rice,WR
TRUFFLE,Chase Brown,RB
TRUFFLE,Michael Wilson,WR
TRUFFLE,Caleb Williams,QB
TRUFFLE,Jayden Daniels,QB
TRUFFLE,Marvin Harrison,WR
TRUFFLE,JJ McCarthy,QB
TRUFFLE,Drake Maye,QB
TRUFFLE,Malik Nabers,WR
TRUFFLE,Rome Odunze,WR
TRUFFLE,Xavier Worthy,WR
TRUFFLE,Bo Nix,QB
TRUFFLE,Brian Thomas,WR
TRUFFLE,Brock Bowers,TE
TRUFFLE,Trey Benson,RB
TRUFFLE,Keon Coleman,WR
TRUFFLE,Ladd McConkey,WR
TRUFFLE,Blake Corum,RB
TRUFFLE,Xavier Legette,WR
TRUFFLE,Ricky Pearsall,WR
TRUFFLE,Adonai Mitchell,WR
TRUFFLE,MarShawn Lloyd,RB
TRUFFLE,Ray Davis,RB
TRUFFLE,Jaylen Wright,RB
TRUFFLE,Roman Wilson,WR
TRUFFLE,Michael Penix,QB
TRUFFLE,Bucky Irving,RB
TRUFFLE,Braelon Allen,RB
TRUFFLE,Jalen McMillan,WR
KERFUFFLE,Caleb Williams,QB
KERFUFFLE,Marvin Harrison,WR
KERFUFFLE,Jayden Daniels,QB
KERFUFFLE,JJ McCarthy,QB
KERFUFFLE,Malik Nabers,WR
KERFUFFLE,Rome Odunze,WR
KERFUFFLE,Jonathon Brooks,RB
KERFUFFLE,Xavier Worthy,WR
KERFUFFLE,Brock Bowers,TE
KERFUFFLE,Keon Coleman,WR
KERFUFFLE,Drake Maye,QB
KERFUFFLE,Brian Thomas,WR
KERFUFFLE,Blake Corum,RB
KERFUFFLE,Ladd McConkey,WR
KERFUFFLE,Trey Benson,RB
KERFUFFLE,Bo Nix,QB
KERFUFFLE,Xavier Legette,WR
KERFUFFLE,Michael Penix,QB
KERFUFFLE,Ricky Pearsall,WR
KERFUFFLE,Adonai Mitchell,WR
KERFUFFLE,MarShawn Lloyd,RB
KERFUFFLE,Jaylen Wright,RB
KERFUFFLE,Javon Baker,WR
KERFUFFLE,Jermaine Burton,WR
KERFUFFLE,Roman Wilson,WR
KERFUFFLE,Isaac Guerendo,RB
KERFUFFLE,Troy Franklin,WR
KERFUFFLE,JaLynn Polk,WR
KERFUFFLE,Bucky Irving,RB
KERFUFFLE,Malachi Corley,WR
KERFUFFLE,Jalen McMillan,WR
KERFUFFLE,Ben Sinnott,TE
KERFUFFLE,Devontez Walker,WR
