League,Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2025,3yr Avg,Proj
TRUFFLE,QB,AFL,Jayden Daniels,WAS,@PHI,Sun  4:25pm ET,7,45.5,5,11,85%,54%,45,1,128.28,260.82,315.88
TRUFFLE,RB,AFL,Jahmyr Gibbs,DET,NO,Sun  1:00pm ET,6,50.5,1,20,100%,100%,70,1,373.90,341.40,313.65
TRUFFLE,RB,AFL,Jeremiyah Love,ARI,@LAC,Sun  4:25pm ET,14,47.5,17,8,64%,52%,50,3,0.00,0.00,178.96
TRUFFLE,WR,AFL,Emeka Egbuka,TB,@CIN,Sun  1:00pm ET,10,50.5,22,9,96%,78%,5,2,166.70,168.80,162.03
TRUFFLE,WR,AFL,Justin Jefferson,MIN,GB,Sun  4:25pm ET,6,45.5,6,21,96%,89%,80,2,164.50,211.60,165.29
TRUFFLE,TE,AFL,Brock Bowers,LV,MIA,Sun  4:25pm ET,13,40.5,1,29,98%,85%,10,1,148.60,179.50,154.46
TRUFFLE,RB,AFL,Tony Pollard,TEN,NYJ,Sun  1:00pm ET,9,39,27,32,89%,40%,35,1,211.80,220.20,149.01
TRUFFLE,WR,AFL,DeVonta Smith,PHI,WAS,Sun  4:25pm ET,10,45.5,15,28,95%,81%,61,2,168.80,175.10,151.78
TRUFFLE,QB,AFL,Sam Darnold,SEA,NE,Wed  8:20pm ET,11,44.5,25,5,66%,18%,66,2,245.72,202.08,267.21
TRUFFLE,DST,AFL,Bears,CHI,@CAR,Sun  1:00pm ET,10,47.5,24,22,36%,20%,1,1,148.00,136.00,143.70
TRUFFLE,QB,AFL,Bryce Young,CAR,CHI,Sun  1:00pm ET,5,47.5,29,26,26%,6%,38,2,234.24,203.08,258.63
TRUFFLE,WR,AFL,Rashod Bateman,BAL,@IND,Sun  1:00pm ET,13,47.5,---,27,16%,1%,1,2,48.40,91.00,106.04
TRUFFLE,WR,AFL,Germie Bernard,PIT,ATL,Sun  1:00pm ET,9,42.5,---,22,7%,1%,5,3,0.00,0.00,70.38
