Player,TRUFFLE,Pos,NFL,Opp,GameTime,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Last,Avg,Proj
49ers,ELP,DST,SF,TBA,NA,NA,NA,3,NA,0.94,0.91,1,1,107,114,165.4
AJ Brown,AFL,WR,PHI,TBA,NA,NA,NA,10,NA,0.95,0.53,47,2,163.9,197.1,164.43
AJ Dillon,ELP,RB,GB,TBA,NA,NA,NA,30,NA,0.9,0.38,5,1,216.6,136.9,121.64
AJ Green,AFL,WR,ARI,TBA,NA,NA,NA,NA,NA,0.68,0.18,6,1,139.8,81.7,90.89
Aaron Jones,MWM,RB,GB,TBA,NA,NA,NA,13,NA,0.93,0.7,96,1,236,288.3,177.74
Aaron Rodgers,ELP,QB,GB,TBA,NA,NA,NA,14,NA,0.98,0.93,68,1,342.7,340.96,298.08
Adam Thielen,MWM,WR,MIN,TBA,NA,NA,NA,28,NA,0.9,0.35,59,1,169.8,165.8,160.36
Allen Robinson,CC,WR,LAR,TBA,NA,NA,NA,26,NA,0.7,0.3,1,1,71,174.6,137.87
Alvin Kamara,CC,RB,NO,TBA,NA,NA,NA,5,NA,0.93,0.85,96,1,249.7,289.36,188.45
Amari Cooper,NN,WR,CLE,TBA,NA,NA,NA,20,NA,0.95,0.78,49,1,179.5,199.3,156.63
Amari Rodgers,GF,WR,GB,TBA,NA,NA,NA,NA,NA,0.23,0,4,2,8.6,8.6,76.28
Amon-Ra St Brown,CRB,WR,DET,TBA,NA,NA,NA,51,NA,0.73,0.48,5,2,187.3,187.3,124.05
Antonio Gibson,CRB,RB,WAS,TBA,NA,NA,NA,15,NA,0.98,0.63,5,1,264.1,240.6,174.78
Austin Ekeler,VD,RB,LAC,TBA,NA,NA,NA,4,NA,0.95,0.78,55,1,357.8,264.7,265.43
Bills,MAM,DST,BUF,TBA,NA,NA,NA,2,NA,0.94,0.84,2,1,124,112,182.5
Boston Scott,AFL,RB,PHI,TBA,NA,NA,NA,NA,NA,0.58,0.13,1,1,112.6,97.7,31.6
Buccaneers,MCM,DST,TB,TBA,NA,NA,NA,5,NA,0.91,0.81,2,0,132,135,166.6
CJ Uzomah,MWM,TE,NYJ,TBA,NA,NA,NA,31,NA,0.43,0.18,1,1,103.3,59.4,66.61
Calvin Ridley,NN,WR,ATL,TBA,NA,NA,NA,NA,NA,0.6,0.13,54,2,56.1,167.2,0
Cam Akers,NN,RB,LAR,TBA,NA,NA,NA,19,NA,0.68,0.2,15,1,1.3,59,163.72
