Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
AJ Brown ,WR,PHI,87,88,80,85,74,-,-,-,-,-,-,-,-,-,-,-,-,-,311,83
AJ Green ,WR,ARI,74,85,34,0,72,-,-,-,-,-,-,-,-,-,-,-,-,-,200,66
AJ Dillon ,RB,GB,51,57,53,58,32,-,-,-,-,-,-,-,-,-,-,-,-,-,165,50
Aaron Jones ,RB,GB,61,59,63,62,73,-,-,-,-,-,-,-,-,-,-,-,-,-,207,63
Aaron Rodgers ,QB,GB,92,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,322,98
Adam Prentice ,RB,NO,0,15,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,10,15
Adam Thielen ,WR,MIN,95,97,97,97,96,-,-,-,-,-,-,-,-,-,-,-,-,-,334,97
Adam Trautman ,TE,NO,0,0,64,65,65,-,-,-,-,-,-,-,-,-,-,-,-,-,133,65
Albert Okwuegbunam ,TE,DEN,67,53,32,0,21,-,-,-,-,-,-,-,-,-,-,-,-,-,121,42
Alec Ingold ,RB,MIA,37,37,28,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,60,34
Alec Pierce ,WR,IND,51,0,45,44,59,-,-,-,-,-,-,-,-,-,-,-,-,-,155,50
Alexander Mattison ,RB,MIN,23,31,39,38,43,-,-,-,-,-,-,-,-,-,-,-,-,-,122,35
Allen Lazard ,WR,GB,0,81,90,96,94,-,-,-,-,-,-,-,-,-,-,-,-,-,240,90
Allen Robinson ,WR,LAR,97,90,92,99,83,-,-,-,-,-,-,-,-,-,-,-,-,-,293,94
Alvin Kamara ,RB,NO,62,0,70,0,73,-,-,-,-,-,-,-,-,-,-,-,-,-,142,69
Amari Cooper ,WR,CLE,83,81,82,85,90,-,-,-,-,-,-,-,-,-,-,-,-,-,301,84
Amari Rodgers ,WR,GB,0,1,5,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3
Ameer Abdullah ,RB,LV,12,21,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,22,11
Amon-Ra St Brown ,WR,DET,88,85,73,0,32,-,-,-,-,-,-,-,-,-,-,-,-,-,191,70
Andre Baccellia ,WR,ARI,0,22,31,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,45,26
Andrew Beck ,TE,DEN,15,29,0,23,26,-,-,-,-,-,-,-,-,-,-,-,-,-,62,23
Andy Dalton ,QB,NO,0,0,0,95,88,-,-,-,-,-,-,-,-,-,-,-,-,-,125,91
Andy Isabella ,WR,ARI,32,0,39,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,53,36
Anthony Firkser ,TE,ATL,4,0,16,0,23,-,-,-,-,-,-,-,-,-,-,-,-,-,27,14
Anthony Schwartz ,WR,CLE,29,0,0,0,12,-,-,-,-,-,-,-,-,-,-,-,-,-,31,21
Antonio Gibson ,RB,WAS,64,54,44,41,32,-,-,-,-,-,-,-,-,-,-,-,-,-,173,47
Armani Rogers ,TE,WAS,5,0,18,0,8,-,-,-,-,-,-,-,-,-,-,-,-,-,23,11
Ashton Dulin ,WR,IND,35,64,25,29,15,-,-,-,-,-,-,-,-,-,-,-,-,-,113,32
Austin Ekeler ,RB,LAC,49,63,56,59,59,-,-,-,-,-,-,-,-,-,-,-,-,-,197,57
Austin Hooper ,TE,TEN,62,50,41,37,53,-,-,-,-,-,-,-,-,-,-,-,-,-,146,49
Avery Williams ,RB,ATL,31,25,7,13,26,-,-,-,-,-,-,-,-,-,-,-,-,-,66,21
Bailey Zappe ,QB,NE,0,0,0,74,100,-,-,-,-,-,-,-,-,-,-,-,-,-,103,87
Baker Mayfield ,QB,CAR,100,100,100,100,87,-,-,-,-,-,-,-,-,-,-,-,-,-,284,97
Ben Ellefson ,TE,MIN,27,0,18,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,30,22
Ben Skowronek ,WR,LAR,88,86,85,88,88,-,-,-,-,-,-,-,-,-,-,-,-,-,276,88
Boston Scott ,RB,PHI,18,21,10,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,36,16
Brandin Cooks ,WR,HOU,91,87,86,81,78,-,-,-,-,-,-,-,-,-,-,-,-,-,261,85
Brandon Aiyuk ,WR,SF,99,88,89,92,87,-,-,-,-,-,-,-,-,-,-,-,-,-,288,90
Brandon Bolden ,RB,LV,28,0,36,7,16,-,-,-,-,-,-,-,-,-,-,-,-,-,56,21
Brandon Powell ,WR,LAR,4,10,13,8,17,-,-,-,-,-,-,-,-,-,-,-,-,-,32,10
Braxton Berrios ,WR,NYJ,46,23,31,11,22,-,-,-,-,-,-,-,-,-,-,-,-,-,100,28
Breece Hall ,RB,NYJ,45,27,51,66,69,-,-,-,-,-,-,-,-,-,-,-,-,-,184,51
Breshad Perriman ,WR,TB,42,75,72,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,123,63
Brevin Jordan ,TE,HOU,60,37,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,65,49
Brian Hoyer ,QB,NE,0,0,0,26,0,-,-,-,-,-,-,-,-,-,-,-,-,-,15,26
Brian Robinson ,RB,WAS,0,0,0,0,29,-,-,-,-,-,-,-,-,-,-,-,-,-,18,29
Brock Purdy ,QB,SF,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
Brock Wright ,TE,DET,0,36,0,32,0,-,-,-,-,-,-,-,-,-,-,-,-,-,46,34
Bryan Edwards ,WR,ATL,47,26,0,0,21,-,-,-,-,-,-,-,-,-,-,-,-,-,65,32
Byron Pringle ,WR,CHI,17,34,3,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,26,16
CJ Beathard ,QB,JAC,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
CJ Ham ,RB,MIN,23,0,18,13,0,-,-,-,-,-,-,-,-,-,-,-,-,-,36,17
CJ Uzomah ,TE,NYJ,0,0,35,44,69,-,-,-,-,-,-,-,-,-,-,-,-,-,99,48
Cade Otton ,TE,TB,48,49,0,67,94,-,-,-,-,-,-,-,-,-,-,-,-,-,180,66
Caleb Huntley ,RB,ATL,0,5,0,22,24,-,-,-,-,-,-,-,-,-,-,-,-,-,31,17
Cam Akers ,RB,LAR,18,43,50,38,31,-,-,-,-,-,-,-,-,-,-,-,-,-,111,35
Cam Sims ,WR,WAS,10,11,0,0,59,-,-,-,-,-,-,-,-,-,-,-,-,-,53,25
Cameron Brate ,TE,TB,68,57,89,34,0,-,-,-,-,-,-,-,-,-,-,-,-,-,160,62
Carson Wentz ,QB,WAS,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,365,100
Case Keenum ,QB,BUF,0,24,0,0,14,-,-,-,-,-,-,-,-,-,-,-,-,-,24,19
Cedrick Wilson ,WR,MIA,47,31,0,0,24,-,-,-,-,-,-,-,-,-,-,-,-,-,66,33
CeeDee Lamb ,WR,DAL,97,95,95,95,93,-,-,-,-,-,-,-,-,-,-,-,-,-,295,95
Chad Henne ,QB,KC,7,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,5,7
Charlie Woerner ,TE,SF,0,0,0,38,36,-,-,-,-,-,-,-,-,-,-,-,-,-,43,36
Chase Claypool ,WR,PIT,92,92,93,73,91,-,-,-,-,-,-,-,-,-,-,-,-,-,282,88
Chase Edmonds ,RB,MIA,63,51,44,28,15,-,-,-,-,-,-,-,-,-,-,-,-,-,121,40
Chigoziem Okonkwo ,TE,TEN,15,29,0,24,20,-,-,-,-,-,-,-,-,-,-,-,-,-,52,22
Chris Conley ,WR,HOU,14,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,10,14
Chris Evans ,RB,CIN,0,0,3,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4
Chris Godwin ,WR,TB,31,0,0,83,52,-,-,-,-,-,-,-,-,-,-,-,-,-,113,55
Chris Manhertz ,TE,JAC,0,0,0,30,35,-,-,-,-,-,-,-,-,-,-,-,-,-,40,33
Chris Moore ,WR,HOU,49,65,53,56,0,-,-,-,-,-,-,-,-,-,-,-,-,-,138,55
Chris Myarick ,TE,NYG,23,32,29,0,44,-,-,-,-,-,-,-,-,-,-,-,-,-,85,32
Chris Olave ,WR,NO,74,75,77,68,40,-,-,-,-,-,-,-,-,-,-,-,-,-,221,66
Christian Kirk ,WR,JAC,91,90,92,94,96,-,-,-,-,-,-,-,-,-,-,-,-,-,314,92
Christian McCaffrey ,RB,CAR,81,91,80,87,86,-,-,-,-,-,-,-,-,-,-,-,-,-,249,85
Christian Watson ,WR,GB,66,32,0,25,29,-,-,-,-,-,-,-,-,-,-,-,-,-,98,37
Chuba Hubbard ,RB,CAR,6,3,11,6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,15,7
Clyde Edwards-Helaire ,RB,KC,39,44,40,56,43,-,-,-,-,-,-,-,-,-,-,-,-,-,153,45
Cody Hollister ,WR,TEN,12,0,0,0,31,-,-,-,-,-,-,-,-,-,-,-,-,-,28,22
Colby Parkinson ,TE,SEA,36,0,37,36,0,-,-,-,-,-,-,-,-,-,-,-,-,-,71,36
Cole Beasley ,WR,TB,0,0,14,6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,13,10
Cole Kmet ,TE,CHI,83,85,92,98,90,-,-,-,-,-,-,-,-,-,-,-,-,-,247,90
Cole Turner ,TE,WAS,0,0,0,0,51,-,-,-,-,-,-,-,-,-,-,-,-,-,32,51
Connor Heyward ,TE,PIT,2,7,0,0,13,-,-,-,-,-,-,-,-,-,-,-,-,-,15,8
Cooper Kupp ,WR,LAR,100,98,100,100,98,-,-,-,-,-,-,-,-,-,-,-,-,-,315,101
Cooper Rush ,QB,DAL,23,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,257,83
Cordarrelle Patterson ,RB,ATL,65,59,61,29,0,-,-,-,-,-,-,-,-,-,-,-,-,-,136,55
Corey Davis ,WR,NYJ,68,79,87,74,76,-,-,-,-,-,-,-,-,-,-,-,-,-,277,77
Courtland Sutton ,WR,DEN,95,92,86,94,93,-,-,-,-,-,-,-,-,-,-,-,-,-,311,92
Craig Reynolds ,RB,DET,0,15,17,32,47,-,-,-,-,-,-,-,-,-,-,-,-,-,77,28
Curtis Samuel ,WR,WAS,71,89,83,78,90,-,-,-,-,-,-,-,-,-,-,-,-,-,300,82
D'Andre Swift ,RB,DET,67,51,41,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,109,52
D'Ernest Johnson ,RB,CLE,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
D'Onta Foreman ,RB,CAR,13,5,0,8,4,-,-,-,-,-,-,-,-,-,-,-,-,-,17,7
DJ Chark ,WR,DET,81,66,79,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,158,76
DJ Moore ,WR,CAR,100,97,98,96,93,-,-,-,-,-,-,-,-,-,-,-,-,-,283,97
DK Metcalf ,WR,SEA,82,92,93,76,96,-,-,-,-,-,-,-,-,-,-,-,-,-,259,87
Dak Prescott ,QB,DAL,77,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,53,77
Dallas Goedert ,TE,PHI,92,84,64,90,96,-,-,-,-,-,-,-,-,-,-,-,-,-,321,86
Dalton Schultz ,TE,DAL,100,90,0,90,18,-,-,-,-,-,-,-,-,-,-,-,-,-,189,77
Dalvin Cook ,RB,MIN,77,69,61,63,57,-,-,-,-,-,-,-,-,-,-,-,-,-,224,65
Dameon Pierce ,RB,HOU,29,62,59,68,79,-,-,-,-,-,-,-,-,-,-,-,-,-,179,58
