SznWkPlPos,SznPlPos,PlPos,Season,Week,sunDate,Player,Pos,NFL,Opp,OpRk,PaCmp,PaAtt,PaYd,PaTD,PaInt,RuAtt,RuYd,RuTD,RuFD,Tar,Rec,ReYd,ReTD,ReFD,FL,FPts,PosRk,PPFD,PPR,hPPR,STD,Pa20,Pa40,Ru20,Re20,Re40,TmTar,TotYd,ScrimYd,PaRuYd
2026_1_MacHippenhammer_WR,2026_MacHippenhammer_WR,MacHippenhammer_WR,2026,1,2026-09-13,Mac Hippenhammer,WR,CIN,TB,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_RaheimSanders_RB,2026_RaheimSanders_RB,RaheimSanders_RB,2026,1,2026-09-13,Raheim Sanders,RB,CLE,@JAC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_TravisKoontz_TE,2026_TravisKoontz_TE,TravisKoontz_TE,2026,1,2026-09-13,Travis Koontz,TE,LV,MIA,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_JalenBrooks_WR,2026_JalenBrooks_WR,JalenBrooks_WR,2026,1,2026-09-13,Jalen Brooks,WR,ARI,@LAC,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_FelixHarper_QB,2026_FelixHarper_QB,FelixHarper_QB,2026,1,2026-09-13,Felix Harper,QB,CLE,@JAC,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_JoeFlacco_QB,2026_JoeFlacco_QB,JoeFlacco_QB,2026,1,2026-09-13,Joe Flacco,QB,CIN,TB,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_JeffWeimer_WR,2026_JeffWeimer_WR,JeffWeimer_WR,2026,1,2026-09-13,Jeff Weimer,WR,KC,DEN,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_JuJuSmith-Schuster_WR,2026_JuJuSmith-Schuster_WR,JuJuSmith-Schuster_WR,2026,1,2026-09-13,JuJu Smith-Schuster,WR,NYG,DAL,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_BaileyGaither_WR,2026_BaileyGaither_WR,BaileyGaither_WR,2026,1,2026-09-13,Bailey Gaither,WR,BAL,@IND,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026_1_MooseMuhammad_WR,2026_MooseMuhammad_WR,MooseMuhammad_WR,2026,1,2026-09-13,Moose Muhammad,WR,CAR,CHI,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
