League,Logo,Season,Award,Image,Winner,Pos,TRUFFLE
TRUFFLE,www/graphics/awardlogos/RFS.png,2023,TRUFFLE Champion,www/graphics/teamlogos/WLW.png,White Lake Whales,3-Nov,WLW
TRUFFLE,www/graphics/awardlogos/BenchCup.png,2023,Bench Cup Champion,www/graphics/teamlogos/ELP.png,East Lansing Puffins,6-Aug,ELP
TRUFFLE,www/graphics/awardlogos/Award.png,2023,Consolation Winner,www/graphics/teamlogos/MAM.png,Madison Muskellunge,7-Jul,MAM
TRUFFLE,www/graphics/awardlogos/Exec.png,2023,Executive of the Year,www/graphics/execs/tyler.png,Tyler Fuelling,GM,WLW
TRUFFLE,www/graphics/awardlogos/MVP.png,2023,Most Valuable Player,www/graphics/players/cmccaffrey.png,Christian McCaffrey,RB,FRR
TRUFFLE,www/graphics/awardlogos/ROY.png,2023,Rookie of the Year,www/graphics/players/pnacua.png,Puka Nacua,WR,MCM
TRUFFLE,www/graphics/awardlogos/PlayoffsMVP.png,2023,Playoff MVP,www/graphics/players/ljackson.png,Lamar Jackson,QB,WLW
TRUFFLE,www/graphics/awardlogos/BenchCupMVP.png,2023,Bench Cup MVP,www/graphics/players/jreed.png,Jayden Reed,WR,ELP
TRUFFLE,www/graphics/awardlogos/LVP.png,2023,Least Valuable Player,www/graphics/players/arodgers.png,Aaron Rodgers ($130),QB,CC
TRUFFLE,www/graphics/awardlogos/Waiver.png,2023,Waiver Wire Pickup,www/graphics/players/kwilliams.png,Kyren Williams ($18),RB,WLW
TRUFFLE,www/graphics/awardlogos/FreeAgent.png,2023,Best Free Agent Auction Signing,www/graphics/players/pnacua.png,Puka Nacua ($1),WR,MCM
TRUFFLE,,2023,1stTm,,Josh Allen,QB,MCM
TRUFFLE,,2023,1stTm,,Christian McCaffrey *,RB,FRR
TRUFFLE,,2023,1stTm,,Kyren Williams,RB,WLW
TRUFFLE,,2023,1stTm,,CeeDee Lamb,WR,WLW
TRUFFLE,,2023,1stTm,,Tyreek Hill,WR,ELP
TRUFFLE,,2023,1stTm,,Amon-Ra St Brown,WR,CC
TRUFFLE,,2023,1stTm,,Sam LaPorta,TE,WLW
TRUFFLE,,2023,1stTm,,Puka Nacua,FL,MCM
TRUFFLE,,2023,1stTm,,Lamar Jackson,SF,WLW
TRUFFLE,,2023,2ndTm,,Jalen Hurts,QB,CRB
TRUFFLE,,2023,2ndTm,,Raheem Mostert,RB,WLW
TRUFFLE,,2023,2ndTm,,Derrick Henry,RB,NN
TRUFFLE,,2023,2ndTm,,AJ Brown,WR,AFL
TRUFFLE,,2023,2ndTm,,Mike Evans,WR,WLW
TRUFFLE,,2023,2ndTm,,Keenan Allen,WR,ELP
TRUFFLE,,2023,2ndTm,,Travis Kelce,TE,FRR
TRUFFLE,,2023,2ndTm,,Travis Etienne,FL,MCM
TRUFFLE,,2023,2ndTm,,Dak Prescott,SF,ELP
TRUFFLE,www/graphics/awardlogos/RFS.png,2022,TRUFFLE Champion,www/graphics/teamlogos/ELP.png,East Lansing Puffins,3-Nov,ELP
TRUFFLE,www/graphics/awardlogos/BenchCup.png,2022,Bench Cup Champion,www/graphics/teamlogos/MCM.png,McLean Marauders,5-Sep,MCM
TRUFFLE,www/graphics/awardlogos/Award.png,2022,Consolation Winner,www/graphics/teamlogos/VD.png,Virginia Dragons,10-Apr,VD
TRUFFLE,www/graphics/awardlogos/Exec.png,2022,Executive of the Year,www/graphics/execs/dreeric.png,Andreas Frame & Eric Smith,GMs,ELP
TRUFFLE,www/graphics/awardlogos/MVP.png,2022,Most Valuable Player,www/graphics/players/jhurts.png,Jalen Hurts,QB,CRB
TRUFFLE,www/graphics/awardlogos/ROY.png,2022,Rookie of the Year,www/graphics/players/kwalker.png,Kenneth Walker,RB,ELP
TRUFFLE,www/graphics/awardlogos/PlayoffsMVP.png,2022,Playoff MVP,www/graphics/players/djones.png,Daniel Jones,QB,ELP
TRUFFLE,www/graphics/awardlogos/BenchCupMVP.png,2022,Bench Cup MVP,www/graphics/players/aekeler.png,Austin Ekeler,RB,MCM
TRUFFLE,www/graphics/awardlogos/LVP.png,2022,Least Valuable Player,www/graphics/players/mstafford.png,Matthew Stafford ($93),QB,FRR
TRUFFLE,www/graphics/awardlogos/Waiver.png,2022,Waiver Wire Pickup,www/graphics/players/gsmith.png,Geno Smith ($25),QB,MWM
TRUFFLE,www/graphics/awardlogos/FreeAgent.png,2022,Best Free Agent Auction Signing,www/graphics/players/jjacobs.png,Josh Jacobs ($59),RB,NN
TRUFFLE,,2022,1stTm,,Jalen Hurts,QB,CRB
TRUFFLE,,2022,1stTm,,Josh Jacobs *,RB,NN
TRUFFLE,,2022,1stTm,,Christian McCaffrey,RB,FRR
TRUFFLE,,2022,1stTm,,Justin Jefferson *,WR,NN
TRUFFLE,,2022,1stTm,,Tyreek Hill,WR,ELP
TRUFFLE,,2022,1stTm,,Davante Adams,WR,MCM
TRUFFLE,,2022,1stTm,,Travis Kelce *,TE,FRR
TRUFFLE,,2022,1stTm,,Stefon Diggs,FL,MCM
TRUFFLE,,2022,1stTm,,Patrick Mahomes,SF,FRR
TRUFFLE,,2022,2ndTm,,Josh Allen,QB,CC
TRUFFLE,,2022,2ndTm,,Austin Ekeler,RB,MCM
TRUFFLE,,2022,2ndTm,,Derrick Henry,RB,ELP
TRUFFLE,,2022,2ndTm,,AJ Brown,WR,AFL
TRUFFLE,,2022,2ndTm,,Amon-Ra St Brown,WR,CRB
TRUFFLE,,2022,2ndTm,,CeeDee Lamb,WR,WLW
TRUFFLE,,2022,2ndTm,,George Kittle,TE,MAM
TRUFFLE,,2022,2ndTm,,Jaylen Waddle,FL,FRR
TRUFFLE,,2022,2ndTm,,Justin Fields,SF,MAM
TRUFFLE,www/graphics/awardlogos/RFS.png,2021,TRUFFLE Champion,www/graphics/teamlogos/WLW.png,White Lake Whales,5-Sep,WLW
TRUFFLE,www/graphics/awardlogos/BenchCup.png,2021,Bench Cup Champion,www/graphics/teamlogos/FRR.png,Frankfurt Roadrunners,10-Apr,FRR
TRUFFLE,www/graphics/awardlogos/Award.png,2021,Consolation Winner,www/graphics/teamlogos/ELP.png,East Lansing Puffins,12-Feb,ELP
TRUFFLE,www/graphics/awardlogos/Exec.png,2021,Executive of the Year,www/graphics/execs/tyler.png,Tyler Fuelling,GM,WLW
TRUFFLE,www/graphics/awardlogos/MVP.png,2021,Most Valuable Player,www/graphics/players/jtaylor.png,Jonathan Taylor,RB,CC
TRUFFLE,www/graphics/awardlogos/ROY.png,2021,Rookie of the Year,www/graphics/players/jchase.png,Ja'Marr Chase,WR,FRR
TRUFFLE,www/graphics/awardlogos/PlayoffsMVP.png,2021,Playoff MVP,www/graphics/players/nharris.png,Najee Harris,RB,WLW
TRUFFLE,www/graphics/awardlogos/BenchCupMVP.png,2021,Bench Cup MVP,www/graphics/players/rpenny.png,Rashaad Penny,RB,FRR
TRUFFLE,www/graphics/awardlogos/LVP.png,2021,Least Valuable Player,www/graphics/players/sbarkley.png,Saquon Barkley ($97),RB,ELP
TRUFFLE,www/graphics/awardlogos/Waiver.png,2021,Waiver Wire Pickup,www/graphics/players/cpatterson.png,Cordarelle Patterson ($15),WR,MCM
TRUFFLE,www/graphics/awardlogos/FreeAgent.png,2021,Best Free Agent Auction Signing,www/graphics/players/dsamuel.png,Deebo Samuel ($36),WR,ELP
TRUFFLE,,2021,1stTm,,Josh Allen,QB,CC
TRUFFLE,,2021,1stTm,,Jonathan Taylor,RB,CC
TRUFFLE,,2021,1stTm,,Austin Ekeler,RB,VD
TRUFFLE,,2021,1stTm,,Cooper Kupp *,WR,MWM
TRUFFLE,,2021,1stTm,,Davante Adams,WR,VD
TRUFFLE,,2021,1stTm,,Deebo Samuel,WR,ELP
TRUFFLE,,2021,1stTm,,Mark Andrews,TE,ELP
TRUFFLE,,2021,1stTm,,Najee Harris,FL,WLW
TRUFFLE,,2021,1stTm,,Justin Herbert,SF,MCM
TRUFFLE,,2021,2ndTm,,Aaron Rodgers,QB,ELP
TRUFFLE,,2021,2ndTm,,Joe Mixon,RB,AFL
TRUFFLE,,2021,2ndTm,,Leonard Fournette,RB,ELP
TRUFFLE,,2021,2ndTm,,Ja'Marr Chase,WR,FRR
TRUFFLE,,2021,2ndTm,,Justin Jefferson,WR,NN
TRUFFLE,,2021,2ndTm,,Tyreek Hill,WR,ELP
TRUFFLE,,2021,2ndTm,,Travis Kelce,TE,CRB
TRUFFLE,,2021,2ndTm,,Cordarelle Patterson,FL,MCM
TRUFFLE,,2021,2ndTm,,Tom Brady,SF,MWM
TRUFFLE,www/graphics/awardlogos/RFS.png,2020,TRUFFLE Champion,www/graphics/teamlogos/CC.png,Clarkston Chuckers,5-Aug,CC
TRUFFLE,www/graphics/awardlogos/BenchCup.png,2020,Bench Cup Champion,www/graphics/teamlogos/GF.png,Grandville Flamingos,6-Jul,GF
TRUFFLE,www/graphics/awardlogos/Award.png,2020,Consolation Winner,www/graphics/teamlogos/NN.png,Naples Nordiques,6-Jul,NN
