Season,Week,TRUFFLE,Pos,Player,NFL,Opp,OpRk,PaCmp,PaAtt,PaYd,PaTD,PaInt,RuAtt,RuYd,RuTD,RuFD,Tar,Rec,ReYd,ReTD,ReFD,FL,Avg,FPts
2023,17,AFL,QB,Kyler Murray,ARI,@PHI,31,25,31,232,3,1,5,24,0,2,0,0,0,0,0,0,25.68,25.68
2023,17,AFL,TE,David Njoku,CLE,NYJ,26,0,0,0,0,0,0,0,0,0,8,6,134,0,3,1,14.40,14.40
2023,17,AFL,RB,D'Andre Swift,PHI,ARI,32,0,0,0,0,0,13,61,0,3,1,1,5,0,0,0,9.60,9.60
2023,17,AFL,WR,Drake London,ATL,@CHI,9,0,0,0,0,0,0,0,0,0,10,4,56,0,2,0,7.60,7.60
2023,17,AFL,RB,Miles Sanders,CAR,@JAC,10,0,0,0,0,0,2,10,0,0,2,2,12,0,1,0,3.20,3.20
2023,17,AFL,WR,Tee Higgins,CIN,@KC,4,0,0,0,0,0,0,0,0,0,2,1,19,0,1,0,2.90,2.90
2023,17,AFL,RB,Dameon Pierce,HOU,TEN,14,0,0,0,0,0,8,16,0,0,1,1,5,0,0,0,2.10,2.10
2023,17,AFL,WR,John Metchie,HOU,TEN,23,0,0,0,0,0,1,4,0,0,3,1,8,0,0,0,1.20,1.20
2023,17,AFL,WR,Kadarius Toney,KC,CIN,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2023,17,AFL,DST,Jaguars,JAC,CAR,27,,,,,,,,,,,,,,,,19.00,19.00
2023,17,CC,WR,Amon-Ra St Brown,DET,@DAL,6,0,0,0,0,0,1,11,0,1,8,6,90,1,5,0,22.10,22.10
2023,17,CC,WR,George Pickens,PIT,@SEA,22,0,0,0,0,0,0,0,0,0,9,7,131,0,5,0,18.10,18.10
2023,17,CC,WR,Brandin Cooks,DAL,DET,29,0,0,0,0,0,0,0,0,0,8,5,60,1,4,0,16.00,16.00
2023,17,CC,TE,Darren Waller,NYG,LAR,29,0,0,0,0,0,0,0,0,0,6,5,51,0,2,0,7.10,7.10
2023,17,CC,TE,Trey McBride,ARI,@PHI,21,0,0,0,0,0,0,0,0,0,7,6,48,0,2,0,6.80,6.80
2023,17,CC,RB,James Cook,BUF,NE,13,0,0,0,0,0,16,48,0,1,3,1,-4,0,0,0,5.80,5.80
2023,17,CC,RB,Antonio Gibson,WAS,SF,5,0,0,0,0,0,4,19,0,1,4,2,17,0,1,0,5.60,5.60
2023,17,CC,RB,Kenneth Gainwell,PHI,ARI,32,1,1,17,0,0,2,5,0,0,4,4,15,0,1,0,3.68,3.68
2023,17,CC,QB,Tommy DeVito,NYG,LAR,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2023,17,CC,DST,Lions,DET,@DAL,1,,,,,,,,,,,,,,,,7.00,7.00
2023,17,CRB,WR,Davante Adams,LV,@IND,12,0,0,0,0,0,0,0,0,0,21,13,126,2,9,0,33.60,33.60
2023,17,CRB,RB,De'Von Achane,MIA,@BAL,9,0,0,0,0,0,14,107,0,5,5,4,30,1,2,0,26.70,26.70
2023,17,CRB,RB,Jonathan Taylor,IND,LV,24,0,0,0,0,0,21,96,1,7,1,1,8,0,0,0,23.40,23.40
2023,17,CRB,QB,Jalen Hurts,PHI,ARI,29,18,23,167,3,1,8,25,0,2,0,0,0,0,0,0,21.18,21.18
2023,17,CRB,QB,Derek Carr,NO,@TB,26,24,32,197,2,0,3,-3,0,0,0,0,0,0,0,0,15.88,15.88
2023,17,CRB,RB,Zamir White,LV,@IND,28,0,0,0,0,0,20,71,0,2,6,5,35,0,1,0,13.60,13.60
2023,17,CRB,WR,DeAndre Hopkins,TEN,@HOU,15,0,0,0,0,0,0,0,0,0,7,7,72,0,3,0,10.20,10.20
2023,17,CRB,WR,DeVonta Smith,PHI,ARI,20,0,0,0,0,0,0,0,0,0,5,3,30,0,1,0,4.00,4.00
2023,17,CRB,TE,Dalton Schultz,HOU,TEN,1,0,0,0,0,0,0,0,0,0,4,2,19,0,2,0,3.90,3.90
2023,17,CRB,DST,Texans,HOU,TEN,25,,,,,,,,,,,,,,,,21.00,21.00
2023,17,ELP,RB,Jerome Ford,CLE,NYJ,25,0,0,0,0,0,12,64,0,4,3,2,57,2,2,0,30.10,30.10
2023,17,ELP,WR,Jayden Reed,GB,@MIN,24,0,0,0,0,0,0,0,0,0,8,6,89,2,3,0,23.90,23.90
2023,17,ELP,QB,Jarrett Stidham,DEN,LAC,28,20,32,224,1,0,6,6,0,1,0,0,0,0,0,0,14.56,14.56
2023,17,ELP,RB,Brian Robinson,WAS,SF,5,0,0,0,0,0,9,44,0,4,4,4,32,0,1,0,12.60,12.60
2023,17,ELP,TE,Taysom Hill,NO,@TB,31,1,2,11,0,0,2,1,0,0,2,2,30,1,1,0,10.54,10.54
2023,17,ELP,WR,Odell Beckham,BAL,MIA,14,0,0,0,0,0,0,0,0,0,1,1,33,0,1,0,4.30,4.30
2023,17,ELP,WR,Noah Brown,HOU,TEN,23,0,0,0,0,0,0,0,0,0,2,1,8,0,1,0,1.80,1.80
2023,17,ELP,WR,Marvin Mims,DEN,LAC,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2023,17,ELP,WR,Keenan Allen,LAC,@DEN,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2023,17,ELP,DST,49ers,SF,@WAS,32,,,,,,,,,,,,,,,,11.00,11.00
2023,17,FRR,QB,Jordan Love,GB,@MIN,18,24,33,256,3,0,2,2,1,1,0,0,0,0,0,0,29.44,29.44
2023,17,FRR,RB,Christian McCaffrey,SF,@WAS,27,0,0,0,0,0,14,64,0,5,5,4,27,0,3,0,17.10,17.10
2023,17,FRR,WR,DK Metcalf,SEA,PIT,19,0,0,0,0,0,0,0,0,0,8,5,106,0,4,0,14.60,14.60
2023,17,FRR,QB,Patrick Mahomes,KC,CIN,24,21,29,245,1,0,4,2,0,1,0,0,0,0,0,1,13.00,13.00
2023,17,FRR,WR,Demarcus Robinson,LAR,@NYG,28,0,0,0,0,0,0,0,0,0,10,6,92,0,3,1,10.20,10.20
2023,17,FRR,RB,Tony Pollard,DAL,DET,2,0,0,0,0,0,16,49,0,4,3,1,0,0,0,0,8.90,8.90
2023,17,FRR,WR,Ja'Marr Chase,CIN,@KC,4,0,0,0,0,0,0,0,0,0,7,3,41,0,2,0,6.10,6.10
2023,17,FRR,RB,Rachaad White,TB,NO,7,0,0,0,0,0,11,42,0,0,4,4,24,0,0,1,4.60,4.60
2023,17,FRR,TE,Travis Kelce,KC,CIN,30,0,0,0,0,0,0,0,0,0,4,3,16,0,1,0,2.60,2.60
2023,17,FRR,DST,Browns,CLE,NYJ,31,,,,,,,,,,,,,,,,14.00,14.00
2023,17,GF,WR,Robert Woods,HOU,TEN,23,0,0,0,0,0,0,0,0,0,4,4,58,0,3,0,8.80,8.80
2023,17,GF,WR,Jameson Williams,DET,@DAL,6,0,0,0,0,0,1,6,0,0,3,2,69,0,1,0,8.50,8.50
2023,17,GF,RB,Joshua Kelley,LAC,@DEN,31,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.20,0.20
2023,17,GF,QB,Russell Wilson,DEN,LAC,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2023,17,GF,RB,Clyde Edwards-Helaire,KC,CIN,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2023,17,GF,WR,Donovan Peoples-Jones,DET,@DAL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
2023,17,GF,TE,Michael Mayer,LV,@IND,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2023,17,GF,TE,Hunter Henry,NE,@BUF,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2023,17,GF,RB,Rico Dowdle,DAL,DET,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2023,17,GF,DST,Packers,GB,@MIN,26,,,,,,,,,,,,,,,,13.00,13.00
2023,17,MAM,QB,Justin Fields,CHI,ATL,21,20,32,268,1,0,11,45,1,4,0,0,0,0,0,0,29.22,29.22
2023,17,MAM,WR,DJ Moore,CHI,ATL,3,0,0,0,0,0,0,0,0,0,13,9,159,1,7,0,28.90,28.90
2023,17,MAM,RB,Joe Mixon,CIN,@KC,12,0,0,0,0,0,21,65,0,2,4,4,22,1,2,0,18.70,18.70
2023,17,MAM,WR,Rashee Rice,KC,CIN,25,0,0,0,0,0,0,0,0,0,6,5,127,0,4,0,16.70,16.70
2023,17,MAM,QB,Baker Mayfield,TB,NO,8,22,33,309,2,2,1,-1,0,0,0,0,0,0,0,0,16.36,16.36
2023,17,MAM,RB,David Montgomery,DET,@DAL,16,0,0,0,0,0,14,65,1,3,1,0,0,0,0,0,15.50,15.50
2023,17,MAM,RB,Saquon Barkley,NYG,LAR,1,0,0,0,0,0,12,39,0,4,6,3,19,0,0,0,9.80,9.80
2023,17,MAM,WR,Adam Thielen,CAR,@JAC,21,0,0,0,0,0,0,0,0,0,6,6,38,0,1,0,4.80,4.80
2023,17,MAM,TE,George Kittle,SF,@WAS,7,0,0,0,0,0,0,0,0,0,4,3,29,0,1,0,3.90,3.90
2023,17,MAM,DST,Broncos,DEN,LAC,17,,,,,,,,,,,,,,,,7.00,7.00
2023,17,MCM,QB,Josh Allen,BUF,NE,16,15,30,169,0,1,11,44,2,7,0,0,0,0,0,0,28.16,28.16
2023,17,MCM,RB,Travis Etienne,JAC,CAR,30,0,0,0,0,0,16,102,2,3,2,2,16,0,1,0,27.80,27.80
2023,17,MCM,WR,Puka Nacua,LAR,@NYG,28,0,0,0,0,0,2,19,0,1,8,5,118,0,4,0,18.70,18.70
2023,17,MCM,QB,Bailey Zappe,NE,@BUF,7,16,26,209,0,3,5,37,1,3,0,0,0,0,0,0,15.06,15.06
2023,17,MCM,TE,Tucker Kraft,GB,@MIN,10,0,0,0,0,0,0,0,0,0,6,6,48,0,3,0,7.80,7.80
2023,17,MCM,RB,Austin Ekeler,LAC,@DEN,31,0,0,0,0,0,13,46,0,4,2,1,4,0,0,1,7.00,7.00
2023,17,MCM,WR,Stefon Diggs,BUF,NE,16,0,0,0,0,0,1,5,0,1,7,4,26,0,1,0,5.10,5.10
2023,17,MCM,WR,Jordan Addison,MIN,GB,17,0,0,0,0,0,0,0,0,0,5,3,28,0,1,0,3.80,3.80
2023,17,MCM,RB,Zack Moss,IND,LV,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2023,17,MCM,DST,Eagles,PHI,ARI,21,,,,,,,,,,,,,,,,9.00,9.00
2023,17,MWM,RB,Najee Harris,PIT,@SEA,29,0,0,0,0,0,27,122,2,7,0,0,0,0,0,0,31.20,31.20
2023,17,MWM,QB,Jake Browning,CIN,@KC,13,19,33,197,1,0,7,32,1,5,0,0,0,0,0,0,26.08,26.08
2023,17,MWM,WR,Chris Godwin,TB,NO,13,0,0,0,0,0,0,0,0,0,5,3,81,1,3,0,17.10,17.10
2023,17,MWM,RB,Gus Edwards,BAL,MIA,18,0,0,0,0,0,16,68,1,4,0,0,0,0,0,1,14.80,14.80
2023,17,MWM,RB,Bijan Robinson,ATL,@CHI,19,0,0,0,0,0,15,75,0,4,4,3,11,0,1,0,13.60,13.60
2023,17,MWM,QB,Matthew Stafford,LAR,@NYG,14,24,34,317,1,2,1,-1,0,0,0,0,0,0,0,0,12.68,12.68
2023,17,MWM,WR,Gabe Davis,BUF,NE,16,0,0,0,0,0,0,0,0,0,3,2,21,0,1,0,3.10,3.10
2023,17,MWM,WR,Courtland Sutton,DEN,LAC,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2023,17,MWM,TE,Cole Kmet,CHI,ATL,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
2023,17,MWM,DST,Jets,NYJ,@CLE,30,,,,,,,,,,,,,,,,10.00,10.00
2023,17,NN,QB,Joe Flacco,CLE,NYJ,4,19,29,309,3,1,2,3,0,1,0,0,0,0,0,0,23.66,23.66
2023,17,NN,RB,Breece Hall,NYJ,@CLE,4,0,0,0,0,0,13,84,0,4,9,9,42,1,1,0,23.60,23.60
2023,17,NN,WR,Darius Slayton,NYG,LAR,26,0,0,0,0,0,0,0,0,0,6,4,106,1,1,0,17.60,17.60
2023,17,NN,WR,Elijah Moore,CLE,NYJ,1,0,0,0,0,0,0,0,0,0,6,5,61,1,3,0,15.10,15.10
2023,17,NN,WR,Justin Jefferson,MIN,GB,17,0,0,0,0,0,0,0,0,0,10,5,59,0,4,0,9.90,9.90
2023,17,NN,RB,Ty Chandler,MIN,GB,23,0,0,0,0,0,10,40,0,1,3,3,24,0,2,0,9.40,9.40
2023,17,NN,RB,Derrick Henry,TEN,@HOU,15,0,0,0,0,0,12,42,0,2,1,0,0,0,0,0,6.20,6.20
2023,17,NN,TE,Chigoziem Okonkwo,TEN,@HOU,22,0,0,0,0,0,0,0,0,0,4,3,34,0,1,0,4.40,4.40
2023,17,NN,QB,Will Levis,TEN,@HOU,23,2,6,16,0,0,0,0,0,0,0,0,0,0,0,1,-1.36,-1.36
2023,17,NN,DST,Rams,LAR,@NYG,29,,,,,,,,,,,,,,,,9.00,9.00
2023,17,VD,RB,James Conner,ARI,@PHI,8,0,0,0,0,0,26,128,1,9,1,1,5,1,1,0,35.30,35.30
2023,17,VD,WR,Brandon Aiyuk,SF,@WAS,31,0,0,0,0,0,0,0,0,0,8,7,114,1,5,0,22.40,22.40
2023,17,VD,QB,Aidan O'Connell,LV,@IND,12,30,47,299,2,0,2,3,0,1,0,0,0,0,0,0,21.26,21.26
2023,17,VD,WR,Terry McLaurin,WAS,SF,18,0,0,0,0,0,0,0,0,0,6,4,61,1,3,0,15.10,15.10
2023,17,VD,RB,Javonte Williams,DEN,LAC,21,0,0,0,0,0,15,41,0,4,3,3,17,0,0,0,9.80,9.80
2023,17,VD,WR,Jakobi Meyers,LV,@IND,12,0,0,0,0,0,0,0,0,0,10,6,56,0,4,0,9.60,9.60
2023,17,VD,QB,Sam Howell,WAS,SF,5,17,28,169,1,2,1,-1,0,0,0,0,0,0,0,0,6.76,6.76
2023,17,VD,WR,Josh Downs,IND,LV,11,0,0,0,0,0,0,0,0,0,2,2,53,0,1,0,6.30,6.30
2023,17,VD,TE,Kyle Pitts,ATL,@CHI,24,0,0,0,0,0,0,0,0,0,5,1,5,0,0,0,0.50,0.50
2023,17,VD,DST,Steelers,PIT,@SEA,5,,,,,,,,,,,,,,,,3.00,3.00
2023,17,WLW,QB,Lamar Jackson,BAL,MIA,20,18,21,321,5,0,6,35,0,1,0,0,0,0,0,0,37.34,37.34
2023,17,WLW,WR,CeeDee Lamb,DAL,DET,29,0,0,0,0,0,1,5,0,0,17,13,227,1,7,1,34.20,34.20
2023,17,WLW,RB,Kyren Williams,LAR,@NYG,26,0,0,0,0,0,20,87,3,6,2,2,14,0,0,0,34.10,34.10
2023,17,WLW,RB,Isiah Pacheco,KC,CIN,20,0,0,0,0,0,18,130,0,3,7,7,35,1,2,0,27.50,27.50
2023,17,WLW,WR,Nico Collins,HOU,TEN,23,0,0,0,0,0,1,7,0,0,8,7,80,0,5,0,13.70,13.70
2023,17,WLW,TE,Sam LaPorta,DET,@DAL,12,0,0,0,0,0,0,0,0,0,12,7,84,0,5,0,13.40,13.40
2023,17,WLW,QB,CJ Stroud,HOU,TEN,11,24,32,213,1,0,1,4,0,0,0,0,0,0,0,0,12.92,12.92
2023,17,WLW,WR,Cooper Kupp,LAR,@NYG,28,0,0,0,0,0,0,0,0,0,6,4,27,1,2,0,10.70,10.70
2023,17,WLW,WR,Mike Evans,TB,NO,13,0,0,0,0,0,0,0,0,0,4,3,70,0,2,0,9.00,9.00
2023,17,WLW,DST,Bills,BUF,NE,28,,,,,,,,,,,,,,,,20.00,20.00
