Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 18,Avg,Proj
QB,AFL,Kyler Murray,ARI,BYE,,14,,19,,86%,27%,92,3,18.78,17.82,0.0
RB,AFL,Dameon Pierce,HOU,CLE,Sat  4:30pm ET,7,44.5,12,7.0,66%,11%,5,2,0.0,5.78,2.5
RB,AFL,D'Andre Swift,PHI,@TB,Mon  8:00pm ET,10,44.0,32,3.0,100%,76%,60,2,0.0,13.64,9.3
WR,AFL,Tee Higgins,CIN,BYE,,7,,13,,97%,54%,40,2,0.0,10.72,0.0
WR,AFL,Drake London,ATL,BYE,,11,,24,,91%,40%,35,2,5.1,9.08,0.0
WR,AFL,Kadarius Toney,KC,MIA,Sat  8:00pm ET,10,44.0,50,18.0,14%,1%,4,1,0.0,3.15,2.8
TE,AFL,David Njoku,CLE,@HOU,Sat  4:30pm ET,5,44.5,9,22.0,94%,69%,2,1,0.0,9.7,8.21
RB,AFL,Miles Sanders,CAR,BYE,,7,,16,,52%,8%,71,1,2.8,5.64,0.0
WR,AFL,John Metchie,HOU,CLE,Sat  4:30pm ET,7,44.5,---,3.0,3%,1%,5,2,0.5,1.42,2.0
DST,AFL,Jaguars,JAC,BYE,,9,,18,,64%,38%,1,1,4.0,7.71,0.0
QB,AFL,Davis Mills,HOU,CLE,Sat  4:30pm ET,7,44.5,---,4.0,1%,1%,1,2,0.0,2.97,0.72
WR,AFL,AJ Brown,PHI,@TB,Mon  8:00pm ET,10,44.0,5,23.0,100%,99%,47,1,-1.1,14.98,10.41
WR,AFL,Curtis Samuel,WAS,BYE,,14,,---,,57%,14%,1,2,4.0,7.58,0.0
TE,AFL,Tyler Higbee,LAR,@DET,Sun  8:00pm ET,10,51.5,12,26.0,40%,8%,1,1,0.0,5.83,4.81
WR,AFL,Zay Flowers,BAL,BYE,,13,,37,,94%,53%,15,3,0.0,10.75,0.0
QB,AFL,Joshua Dobbs,MIN,BYE,,13,,---,,43%,8%,2,2,0.0,17.84,0.0
RB,AFL,Jahmyr Gibbs,DET,LAR,Sun  8:00pm ET,9,51.5,17,2.0,100%,93%,45,3,11.0,16.11,11.7
QB,AFL,Taylor Heinicke,ATL,BYE,,11,,---,,14%,3%,16,1,0.0,14.2,0.0
WR,AFL,Chris Olave,NO,BYE,,11,,11,,99%,73%,45,2,14.6,11.67,0.0
TE,AFL,Greg Dulcich,DEN,BYE,,9,,17,,8%,1%,1,2,0.0,2.25,0.0
QB,CC,Tommy DeVito,NYG,BYE,,13,,---,,11%,3%,11,2,0.56,11.11,0.0
RB,CC,James Cook,BUF,PIT,Sun  1:00pm ET,13,35.5,24,19.0,100%,85%,10,2,7.2,14.78,13.71
RB,CC,Antonio Gibson,WAS,BYE,,14,,38,,72%,19%,20,3,6.6,6.55,0.0
WR,CC,Brandin Cooks,DAL,GB,Sun  4:30pm ET,7,50.5,42,17.0,90%,46%,34,2,15.2,8.94,7.11
