player,position,team,birthday
Justin Jefferson,WR,MIN,6/16/99
CeeDee Lamb,WR,DAL,4/8/99
Christian McCaffrey,RB,SF,6/7/96
Tyreek Hill,WR,MIA,3/1/94
Ja'Marr Chase,WR,CIN,3/1/00
Amon-Ra St. Brown,WR,DET,10/24/99
Breece Hall,RB,NYJ,5/31/01
A.J. Brown,WR,PHI,6/30/97
DJ Moore,WR,CHI,4/14/97
Puka Nacua,WR,LAR,5/29/01
Sam LaPorta,TE,DET,1/12/01
Davante Adams,WR,LV,12/24/92
Michael Pittman Jr.,WR,IND,10/5/97
Brandon Aiyuk,WR,SF,3/17/98
Josh Allen,QB,BUF,5/21/96
Deebo Samuel,WR,SF,1/15/96
Travis Kelce,TE,KC,10/5/89
Jalen Hurts,QB,PHI,8/7/98
Keenan Allen,WR,LAC,4/27/92
Nico Collins,WR,HOU,3/19/99
Stefon Diggs,WR,BUF,11/29/93
Lamar Jackson,QB,BAL,1/7/97
Patrick Mahomes II,QB,KC,9/17/95
Bijan Robinson,RB,ATL,1/30/02
Cooper Kupp,WR,LAR,6/15/93
Garrett Wilson,WR,NYJ,7/22/00
Mark Andrews,TE,BAL,9/6/95
Jahmyr Gibbs,RB,DET,3/20/02
Trey McBride,TE,ARI,11/22/99
Jonathan Taylor,RB,IND,1/19/99
Kyren Williams,RB,LAR,8/26/00
Travis Etienne Jr.,RB,JAC,1/26/99
Chris Olave,WR,NO,6/27/00
Dak Prescott,QB,DAL,7/29/93
Rachaad White,RB,TB,1/12/99
Saquon Barkley,RB,NYG,2/9/97
Anthony Richardson,QB,IND,5/22/02
C.J. Stroud,QB,HOU,10/3/01
Justin Fields,QB,CHI,3/5/99
Isiah Pacheco,RB,KC,3/2/00
Mike Evans,WR,TB,8/21/93
De'Von Achane,RB,MIA,10/13/01
DK Metcalf,WR,SEA,12/14/97
Jaylen Waddle,WR,MIA,11/25/98
Evan Engram,TE,JAC,9/2/94
Rashee Rice,WR,KC,4/22/00
David Njoku,TE,CLE,7/10/96
James Cook,RB,BUF,9/25/99
DeVonta Smith,WR,PHI,11/14/98
Kenneth Walker III,RB,SEA,10/20/00
Amari Cooper,WR,CLE,6/17/94
Alvin Kamara,RB,NO,7/25/95
Joe Burrow,QB,CIN,12/10/96
Tank Dell,WR,HOU,10/29/99
George Kittle,TE,SF,10/9/93
Tee Higgins,WR,CIN,1/18/99
Rhamondre Stevenson,RB,NE,2/23/98
Drake London,WR,ATL,7/24/01
Zay Flowers,WR,BAL,9/11/00
Josh Jacobs,RB,LV,2/11/98
Christian Kirk,WR,JAC,11/18/96
Calvin Ridley,WR,JAC,12/20/94
Terry McLaurin,WR,WAS,9/15/95
Jayden Reed,WR,GB,4/28/00
James Conner,RB,ARI,5/5/95
Joe Mixon,RB,CIN,7/24/96
Jaxon Smith-Njigba,WR,SEA,2/14/02
Tony Pollard,RB,DAL,4/30/97
Chris Godwin,WR,TB,2/27/96
Tyjae Spears,RB,TEN,6/15/01
Jordan Addison,WR,MIN,1/27/02
DeAndre Hopkins,WR,TEN,6/6/92
Justin Herbert,QB,LAC,3/10/98
George Pickens,WR,PIT,3/4/01
Brock Purdy,QB,SF,12/27/99
