League,Season,Round,#,TRF,Player,Pos,Salary,Extension
TRUFFLE,2020,1,1,MAM,Tua Tagovailoa,QB,50,70
TRUFFLE,2020,1,2,AFL,Joe Burrow,QB,45,70
TRUFFLE,2020,1,3,FRR,Clyde Edwards-Helaire,RB,40,70
TRUFFLE,2020,1,4,CC,Jonathan Taylor,RB,35,70
TRUFFLE,2020,1,5,MCM,Justin Herbert,QB,30,70
TRUFFLE,2020,1,6,MWM,Jerry Jeudy,WR,25,60
TRUFFLE,2020,1,7,WLW,CeeDee Lamb,WR,20,50
TRUFFLE,2020,1,8,CRB,JK Dobbins,RB,15,60
TRUFFLE,2020,1,9,VD,D'Andre Swift,RB,15,60
TRUFFLE,2020,1,10,NN,Cam Akers,RB,10,60
TRUFFLE,2020,1,11,ELP,Jalen Reagor,WR,10,50
TRUFFLE,2020,1,12,GF,Ke'Shawn Vaughn,RB,10,60
TRUFFLE,2020,2,13,GF,Henry Ruggs,WR,5,40
TRUFFLE,2020,2,14,ELP,AJ Dillon,RB,5,50
TRUFFLE,2020,2,15,NN,Justin Jefferson,WR,5,40
TRUFFLE,2020,2,16,VD,Michael Pittman,WR,5,40
TRUFFLE,2020,2,17,CRB,Antonio Gibson,RB,5,50
TRUFFLE,2020,2,18,WLW,Tee Higgins,WR,5,40
TRUFFLE,2020,2,19,VD,Laviska Shenault,WR,4,40
TRUFFLE,2020,2,20,MCM,Brandon Aiyuk,WR,4,40
TRUFFLE,2020,2,21,CC,Chase Claypool,WR,4,40
TRUFFLE,2020,2,22,MWM,Cole Kmet,TE,4,10
TRUFFLE,2020,2,23,AFL,Denzel Mims,WR,4,40
TRUFFLE,2020,2,24,MAM,KJ Hamler,WR,4,40
TRUFFLE,2020,3,25,MAM,Lynn Bowden,WR,3,30
TRUFFLE,2020,3,26,AFL,Anthony McFarland,RB,3,30
TRUFFLE,2020,3,27,MWM,Van Jefferson,WR,3,30
TRUFFLE,2020,3,28,CC,Donovan Peoples-Jones,WR,3,30
TRUFFLE,2020,3,29,MCM,Eno Benjamin,RB,3,30
TRUFFLE,2020,3,30,FRR,Jordan Love,QB,3,30
TRUFFLE,2020,3,31,WLW,Zack Moss,RB,3,30
TRUFFLE,2020,3,32,CRB,Jalen Hurts,QB,3,30
TRUFFLE,2020,3,33,MWM,Jacob Eason,QB,3,30
TRUFFLE,2020,3,34,NN,Joshua Kelley,RB,3,30
TRUFFLE,2020,3,35,ELP,KJ Hill,WR,3,30
TRUFFLE,2020,3,36,GF,Devin Duvernay,WR,3,30
TRUFFLE,2021,1,1,NN,Trevor Lawrence,QB,50,70
TRUFFLE,2021,1,2,AFL,Trey Lance,QB,45,70
TRUFFLE,2021,1,3,VD,Ja'Marr Chase,WR,40,60
TRUFFLE,2021,1,4,MCM,Kyle Pitts,TE,35,30
TRUFFLE,2021,1,5,MAM,Justin Fields,QB,30,70
TRUFFLE,2021,1,6,WLW,Najee Harris,RB,25,70
TRUFFLE,2021,1,7,VD,Zach Wilson,QB,20,60
TRUFFLE,2021,1,8,CRB,DeVonta Smith,WR,15,50
TRUFFLE,2021,1,9,ELP,Mac Jones,QB,15,60
TRUFFLE,2021,1,10,MWM,Jaylen Waddle,WR,10,50
TRUFFLE,2021,1,11,MWM,Travis Etienne,RB,10,60
TRUFFLE,2021,1,12,CC,Rondale Moore,WR,10,50
TRUFFLE,2021,2,13,MCM,Trey Sermon,RB,5,50
TRUFFLE,2021,2,14,FRR,Javonte Williams,RB,5,50
TRUFFLE,2021,2,15,FRR,Elijah Moore,WR,5,40
TRUFFLE,2021,2,16,GF,Michael Carter,RB,5,50
TRUFFLE,2021,2,17,CRB,Amon-Ra St Brown,WR,5,40
TRUFFLE,2021,2,18,WLW,Rashod Bateman,WR,5,40
TRUFFLE,2021,2,19,WLW,Terrace Marshall,WR,4,40
TRUFFLE,2021,2,20,MAM,Chuba Hubbard,RB,4,50
TRUFFLE,2021,2,21,MCM,D'Wayne Eskridge,WR,4,40
TRUFFLE,2021,2,22,GF,Amari Rodgers,WR,4,40
TRUFFLE,2021,2,23,AFL,Kadarius Toney,WR,4,40
TRUFFLE,2021,2,24,NN,Kyle Trask,QB,4,40
TRUFFLE,2021,3,25,NN,Pat Freiermuth,TE,3,5
TRUFFLE,2021,3,26,AFL,Nico Collins,WR,3,30
TRUFFLE,2021,3,27,FRR,Kellen Mond,QB,3,30
TRUFFLE,2021,3,28,MCM,Ian Book,QB,3,30
TRUFFLE,2021,3,29,MAM,Dyami Brown,WR,3,30
TRUFFLE,2021,3,30,VD,Davis Mills,QB,3,30
TRUFFLE,2021,3,31,NN,Tutu Atwell,WR,3,30
TRUFFLE,2021,3,32,CRB,Josh Palmer,WR,3,30
TRUFFLE,2021,3,33,GF,Javian Hawkins,WR,3,30
TRUFFLE,2021,3,34,WLW,Anthony Schwartz,WR,3,30
TRUFFLE,2021,3,35,MWM,Rhamondre Stevenson,RB,3,30
TRUFFLE,2021,3,36,CC,Kenneth Gainwell,RB,3,30
TRUFFLE,2022,1,1,CRB,Breece Hall,RB,50,70
TRUFFLE,2022,1,2,AFL,Chris Olave,WR,45,60
TRUFFLE,2022,1,3,GF,Jameson Williams,WR,40,60
TRUFFLE,2022,1,4,FRR,Drake London,WR,35,60
TRUFFLE,2022,1,5,ELP,Kenneth Walker,RB,30,70
TRUFFLE,2022,1,6,MAM,Garrett Wilson,WR,25,60
TRUFFLE,2022,1,7,NN,Treylon Burks,WR,20,50
TRUFFLE,2022,1,8,GF,Christian Watson,WR,15,50
TRUFFLE,2022,1,9,CC,James Cook,RB,15,60
TRUFFLE,2022,1,10,FRR,Kenny Pickett,QB,10,60
TRUFFLE,2022,1,11,ELP,Skyy Moore,WR,10,50
TRUFFLE,2022,1,12,WLW,Isaiah Spiller,RB,10,60
TRUFFLE,2022,2,13,WLW,Malik Willis,QB,5,50
TRUFFLE,2022,2,14,MAM,Rachaad White,RB,5,50
TRUFFLE,2022,2,15,FRR,Dameon Pierce,RB,5,50
TRUFFLE,2022,2,16,CC,George Pickens,WR,5,40
TRUFFLE,2022,2,17,CRB,Desmond Ridder,QB,5,50
TRUFFLE,2022,2,18,NN,Tyler Allgeier,RB,5,50
TRUFFLE,2022,2,19,MAM,Matt Corrall,QB,5,50
TRUFFLE,2022,2,20,MCM,Zamir White,RB,5,50
TRUFFLE,2022,2,21,MCM,Jahan Dotson,WR,5,40
TRUFFLE,2022,2,22,GF,David Bell,WR,5,40
TRUFFLE,2022,2,23,AFL,John Metchie,WR,5,40
TRUFFLE,2022,2,24,ELP,Brian Robinson,RB,5,50
TRUFFLE,2022,3,25,ELP,Sam Howell,QB,3,30
