Season,Player,NFL,Pos,xFP,ActualPts,xTD,TD,Looks,Diff,In5,EZ
2022,Patrick Mahomes,KC,QB,334,402,2.7,4,59,1.3,3,0
2022,Josh Allen,BUF,QB,334,374,6.4,7,115,0.6,11,0
2022,Jalen Hurts,PHI,QB,314,370,14.5,13,156,1.5,20,0
2022,Tom Brady,TB,QB,312,264,1.5,1,30,0.5,2,0
2022,Justin Herbert,LAC,QB,310,262,1.6,0,54,1.6,1,0
2022,Joe Burrow,CIN,QB,298,339,5.1,5,72,0.1,7,0
2022,Kirk Cousins,MIN,QB,286,279,2.4,2,31,0.4,3,0
2022,Trevor Lawrence,JAC,QB,285,285,5.3,5,58,0.3,6,0
2022,Geno Smith,SEA,QB,268,290,1.1,1,64,0.1,0,0
2022,Justin Fields,CHI,QB,252,296,7.5,8,160,0.5,10,0
2022,Jared Goff,DET,QB,248,275,,,,,,
2022,Daniel Jones,NYG,QB,241,289,5.9,7,120,1.1,7,0
2022,Aaron Rodgers,GB,QB,236,228,,,,,,
2022,Lamar Jackson,BAL,QB,235,236,5,3,112,2,4,0
2022,Russell Wilson,DEN,QB,217,203,1.2,3,48,1.8,2,0
2022,Kyler Murray,ARI,QB,204,201,3.1,3,68,0.1,4,0
2022,Marcus Mariota,ATL,QB,194,197,3.8,4,85,0.2,4,0
2022,Davis Mills,HOU,QB,192,159,1.3,2,31,0.7,1,0
2022,Kenny Pickett,PIT,QB,188,136,3.2,3,52,0.2,5,0
2022,Jacoby Brissett,CLE,QB,185,169,1.6,2,49,0.4,2,0
2022,Dak Prescott,DAL,QB,177,190,1.1,1,40,0.1,0,0
2022,Tua Tagovailoa,MIA,QB,177,231,,,,,,
2022,Mac Jones,NE,QB,172,154,,,,,,
2022,Andy Dalton,NO,QB,150,163,1.1,0,29,1.1,2,0
2022,Jimmy Garoppolo,SF,QB,148,165,2.3,2,24,0.3,4,0
2022,Carson Wentz,WAS,QB,131,113,1.8,1,22,0.8,2,0
2022,Taylor Heinicke,WAS,QB,129,116,1.3,1,28,0.3,1,0
2022,Baker Mayfield,CAR,QB,78,74,,,,,,
2022,Baker Mayfield,LAR,QB,46,42,,,,,,
2022,Zach Wilson,NYJ,QB,118,99,3.1,2,29,1.1,2,1
2022,Mitchell Trubisky,PIT,QB,85,74,2.1,2,19,0.1,3,0
2022,Tyler Huntley,BAL,QB,74,50,2,1,43,1,1,0
2022,Mike White,NYJ,QB,74,57,1.3,1,6,0.3,1,0
2022,Deshaun Watson,CLE,QB,72,68,,,,,,
2022,Sam Darnold,CAR,QB,72,85,1.4,2,20,0.6,2,0
2022,Brock Purdy,SF,QB,67,86,,,,,,
2022,Cooper Rush,DAL,QB,60,57,,,,,,
2022,Jameis Winston,NO,QB,53,44,,,,,,
2022,Desmond Ridder,ATL,QB,43,23,,,,,,
2022,Phillip Walker,CAR,QB,41,39,,,,,,
2022,Brett Rypien,DEN,QB,41,18,,,,,,
2022,Teddy Bridgewater,MIA,QB,37,38,,,,,,
2022,Bailey Zappe,NE,QB,34,40,,,,,,
2022,Malik Willis,TEN,QB,34,19,,,,,,
2022,Kyle Allen,HOU,QB,33,16,,,,,,
2022,Sam Ehlinger,IND,QB,33,21,,,,,,
2022,Gardner Minshew,PHI,QB,33,37,,,,,,
2022,Jarrett Stidham,LV,QB,30,29,,,,,,
2022,Skylar Thompson,MIA,QB,27,11,,,,,,
2022,Trace McSorley,ARI,QB,26,8,,,,,,
2022,John Wolford,LAR,QB,26,15,,,,,,
2022,Bryce Perkins,LAR,QB,22,15,,,,,,
2022,Jeff Driskel,HOU,QB,21,16,,,,,,
2022,Trey Lance,SF,QB,21,12,,,,,,
2022,David Blough,ARI,QB,18,14,,,,,,
2022,Nick Foles,IND,QB,16,2,,,,,,
2022,Joshua Dobbs,TEN,QB,15,10,,,,,,
2022,Trevor Siemian,CHI,QB,15,10,,,,,,
