RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,AGE,SOS SEASON,ECR VS. ADP
1,1,Patrick Mahomes II,KC,QB1,10,28,5 out of 5 stars,-
2,1,Josh Allen,BUF,QB2,13,27,3 out of 5 stars,-
3,1,Jalen Hurts,PHI,QB3,10,25,2 out of 5 stars,-
4,2,Justin Herbert,LAC,QB4,5,25,3 out of 5 stars,-
5,2,Justin Jefferson,MIN,WR1,13,24,3 out of 5 stars,-
6,2,Joe Burrow,CIN,QB5,7,26,1 out of 5 stars,-
7,2,Ja'Marr Chase,CIN,WR2,7,23,3 out of 5 stars,-
8,2,Bijan Robinson,ATL,RB1,11,21,3 out of 5 stars,-
9,3,Breece Hall,NYJ,RB2,7,22,5 out of 5 stars,-
10,3,Christian McCaffrey,SF,RB3,9,27,2 out of 5 stars,-
11,3,C.J. Stroud,HOU,QB6,7,22,2 out of 5 stars,-
12,3,A.J. Brown,PHI,WR3,10,26,4 out of 5 stars,-
13,3,CeeDee Lamb,DAL,WR4,7,24,4 out of 5 stars,-
14,3,Jahmyr Gibbs,DET,RB4,9,21,4 out of 5 stars,-
15,3,Lamar Jackson,BAL,QB7,13,26,3 out of 5 stars,-
16,3,Jonathan Taylor,IND,RB5,11,24,3 out of 5 stars,-
17,3,Travis Etienne Jr.,JAC,RB6,9,24,3 out of 5 stars,-
18,3,Amon-Ra St. Brown,DET,WR5,9,24,3 out of 5 stars,-
19,4,Trevor Lawrence,JAC,QB8,9,24,2 out of 5 stars,-
20,4,Tyreek Hill,MIA,WR6,10,29,3 out of 5 stars,-
21,4,Garrett Wilson,NYJ,WR7,7,23,4 out of 5 stars,-
22,4,Saquon Barkley,NYG,RB7,13,26,4 out of 5 stars,-
23,4,Justin Fields,CHI,QB9,13,24,4 out of 5 stars,-
24,4,Tua Tagovailoa,MIA,QB10,10,25,2 out of 5 stars,-
25,4,Anthony Richardson,IND,QB11,11,21,2 out of 5 stars,-
26,5,De'Von Achane,MIA,RB8,10,22,4 out of 5 stars,-
27,5,Kenneth Walker III,SEA,RB9,5,23,2 out of 5 stars,-
28,5,Chris Olave,NO,WR8,11,23,4 out of 5 stars,-
29,5,T.J. Hockenson,MIN,TE1,13,26,3 out of 5 stars,-
30,5,D'Andre Swift,PHI,RB10,10,24,3 out of 5 stars,-
31,5,Sam LaPorta,DET,TE2,9,22,3 out of 5 stars,-
32,5,Jaylen Waddle,MIA,WR9,10,25,3 out of 5 stars,-
33,5,Stefon Diggs,BUF,WR10,13,30,2 out of 5 stars,-
34,5,Austin Ekeler,LAC,RB11,5,28,5 out of 5 stars,-
35,5,Kyler Murray,ARI,QB12,14,26,2 out of 5 stars,-
36,5,Josh Jacobs,LV,RB12,13,25,3 out of 5 stars,-
37,5,DeVonta Smith,PHI,WR11,10,25,4 out of 5 stars,-
38,5,Dak Prescott,DAL,QB13,7,30,5 out of 5 stars,-
39,5,DK Metcalf,SEA,WR12,5,25,2 out of 5 stars,-
40,6,Tee Higgins,CIN,WR13,7,24,3 out of 5 stars,-
41,6,Cooper Kupp,LAR,WR14,10,30,3 out of 5 stars,-
42,6,Travis Kelce,KC,TE3,10,34,4 out of 5 stars,-
43,6,Brandon Aiyuk,SF,WR15,9,25,3 out of 5 stars,-
44,6,Puka Nacua,LAR,WR16,10,22,3 out of 5 stars,-
45,6,Tony Pollard,DAL,RB13,7,26,3 out of 5 stars,-
46,6,Jordan Addison,MIN,WR17,13,21,3 out of 5 stars,-
47,6,Jaxon Smith-Njigba,SEA,WR18,5,21,2 out of 5 stars,-
48,6,Drake London,ATL,WR19,11,22,4 out of 5 stars,-
49,6,Bryce Young,CAR,QB14,7,22,4 out of 5 stars,-
50,6,Zay Flowers,BAL,WR20,13,23,2 out of 5 stars,-
51,6,Davante Adams,LV,WR21,13,30,4 out of 5 stars,-
52,6,Rachaad White,TB,RB14,5,24,2 out of 5 stars,-
53,6,Mark Andrews,BAL,TE4,13,28,3 out of 5 stars,-
54,6,DJ Moore,CHI,WR22,13,26,4 out of 5 stars,-
55,6,Rhamondre Stevenson,NE,RB15,11,25,5 out of 5 stars,-
56,7,Michael Pittman Jr.,IND,WR23,11,26,2 out of 5 stars,-
57,7,Javonte Williams,DEN,RB16,9,23,3 out of 5 stars,-
58,7,Brock Purdy,SF,QB15,9,23,3 out of 5 stars,-
59,7,Deshaun Watson,CLE,QB16,5,28,2 out of 5 stars,-
60,7,Isiah Pacheco,KC,RB17,10,24,4 out of 5 stars,-
61,7,Alvin Kamara,NO,RB18,11,28,3 out of 5 stars,-
62,7,Jared Goff,DET,QB17,9,29,3 out of 5 stars,-
63,7,Deebo Samuel,SF,WR24,9,27,3 out of 5 stars,-
64,7,George Pickens,PIT,WR25,6,22,1 out of 5 stars,-
65,7,Sam Howell,WAS,QB18,14,23,4 out of 5 stars,-
66,7,David Montgomery,DET,RB19,9,26,4 out of 5 stars,-
67,7,Chris Godwin,TB,WR26,5,27,4 out of 5 stars,-
68,7,Christian Watson,GB,WR27,6,24,4 out of 5 stars,-
69,7,James Cook,BUF,RB20,13,24,3 out of 5 stars,-
70,7,Joe Mixon,CIN,RB21,7,27,2 out of 5 stars,-
71,7,Najee Harris,PIT,RB22,6,25,4 out of 5 stars,-
