Season,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
2022,AJ Brown ,WR,PHI,87,88,80,85,74,86,bye,68,86,78,88,96,82,85,89,92,100,79,1004,85
2022,AJ Green ,WR,ARI,74,85,34,0,72,69,0,47,0,44,77,53,bye,60,57,0,16,63,533,58
2022,AJ Dillon ,RB,GB,51,57,53,58,32,49,30,42,66,38,48,43,68,bye,37,58,46,52,537,49
2022,Aaron Jones ,RB,GB,61,59,63,62,73,56,74,67,41,70,66,71,38,bye,56,38,40,55,630,58
2022,Aaron Rodgers ,QB,GB,92,100,100,100,100,95,100,100,100,100,100,80,100,bye,100,100,89,100,1068,98
2022,Adam Prentice ,RB,NO,0,15,0,0,0,0,0,0,0,0,0,14,5,bye,9,33,36,0,69,19
2022,Adam Thielen ,WR,MIN,95,97,97,97,96,87,bye,87,94,94,77,93,87,94,90,92,84,52,1042,89
2022,Adam Trautman ,TE,NO,0,0,64,65,65,22,0,0,35,40,70,61,80,bye,65,74,68,53,463,59
2022,Albert Okwuegbunam ,TE,DEN,67,53,32,0,21,0,0,0,bye,0,0,0,0,0,0,0,53,45,187,45
2022,Alec Ingold ,RB,MIA,37,37,28,0,0,33,0,40,0,61,bye,45,54,39,54,54,15,0,304,41
2022,Alec Pierce ,WR,IND,51,0,45,44,59,65,97,57,71,65,71,70,71,bye,77,73,83,64,725,66
2022,Alexander Mattison ,RB,MIN,23,31,39,38,43,13,bye,24,14,16,28,14,25,15,14,21,40,35,297,25
2022,Allen Lazard ,WR,GB,0,81,90,96,94,97,59,0,88,98,92,100,94,bye,94,89,71,90,863,89
2022,Allen Robinson ,WR,LAR,97,90,92,99,83,86,bye,93,89,92,83,0,0,0,0,0,0,0,562,90
2022,Alvin Kamara ,RB,NO,62,0,70,0,73,69,72,72,88,79,70,67,59,bye,62,70,58,75,642,69
2022,Amari Cooper ,WR,CLE,83,81,82,85,90,76,95,79,bye,87,84,92,81,86,73,89,61,91,978,83
2022,Amari Rodgers ,WR,Multi,0,1,5,0,2,33,30,42,26,9,0,0,0,55,51,21,44,62,251,29
2022,Ameer Abdullah ,RB,LV,12,21,0,1,0,bye,12,34,24,21,17,18,20,13,22,19,0,26,166,18
2022,Amon-Ra St Brown ,WR,DET,88,85,73,0,32,bye,17,95,97,81,90,87,87,87,84,83,70,85,832,78
2022,Andre Baccellia ,WR,ARI,0,22,31,0,0,0,0,0,0,0,0,2,bye,0,0,0,47,21,92,25
2022,Andrew Beck ,TE,DEN,15,29,0,23,26,28,25,0,bye,0,0,0,0,0,30,0,19,35,155,26
2022,Andy Dalton ,QB,NO,0,0,0,95,88,88,99,84,90,91,70,86,88,bye,85,72,81,85,736,86
2022,Andy Isabella ,WR,Multi,32,0,39,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,59,23
2022,Anthony Brown ,QB,BAL,0,0,0,0,0,0,0,0,0,bye,0,0,0,38,0,0,0,100,101,73
2022,Anthony Firkser ,TE,ATL,4,0,16,0,23,0,0,0,0,0,0,39,26,bye,31,21,0,24,117,22
2022,Anthony McFarland ,RB,PIT,0,0,0,0,0,0,0,0,bye,0,0,30,0,0,0,0,0,0,21,30
2022,Anthony Schwartz ,WR,CLE,29,0,0,0,12,17,0,0,bye,18,11,14,8,0,0,0,0,0,79,16
2022,Antonio Gibson ,RB,WAS,64,54,44,41,32,26,39,36,58,48,68,42,49,bye,60,29,0,0,489,46
2022,Armani Rogers ,TE,WAS,5,0,18,0,8,32,51,36,20,25,0,0,0,bye,0,0,0,17,146,23
2022,Ashton Dulin ,WR,IND,35,64,25,29,15,0,0,0,0,0,20,34,28,bye,23,17,0,0,195,28
2022,Austin Ekeler ,RB,LAC,49,63,56,59,59,66,77,bye,68,69,69,70,60,59,69,60,44,49,734,62
2022,Austin Hooper ,TE,TEN,62,50,41,37,53,bye,44,47,61,61,45,67,49,54,48,49,49,45,525,51
2022,Austin Trammell ,WR,LAR,0,0,0,0,0,0,bye,0,0,0,0,0,16,19,0,0,0,0,22,17
2022,Avery Williams ,RB,ATL,31,25,7,13,26,12,15,7,5,14,0,12,0,bye,14,17,16,7,141,15
2022,Bailey Zappe ,QB,NE,0,0,0,74,100,100,65,0,0,bye,0,0,0,0,0,0,0,0,207,86
2022,Baker Mayfield ,QB,Multi,100,100,100,100,87,0,0,0,63,0,100,0,0,95,100,94,100,100,649,95
2022,Ben Ellefson ,TE,MIN,27,0,18,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,30,22
2022,Ben Skowronek ,WR,LAR,88,86,85,88,88,68,bye,62,65,98,84,63,97,100,67,0,0,0,696,82
2022,Benny Snell ,RB,PIT,0,0,0,0,0,0,0,0,bye,0,0,41,14,4,0,0,0,0,39,21
2022,Binjimen Victor ,WR,BAL,0,0,0,0,0,0,0,0,6,bye,0,0,0,0,0,0,0,0,4,6
2022,Blaine Gabbert ,QB,TB,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,25,14,25
2022,Blake Bell ,TE,KC,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,13,31,26,22
2022,Boston Scott ,RB,PHI,18,21,10,0,0,14,bye,23,8,10,19,12,23,18,5,4,33,33,170,17
2022,Brandin Cooks ,WR,HOU,91,87,86,81,78,bye,89,81,0,64,80,74,0,0,0,76,77,91,658,81
