League,Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2023,3yr Avg,Proj
TRUFFLE,QB,AFL,Kyler Murray,ARI,TBA,,-,,8,---,66%,23%,92,2,161.36,230.78,273.19
TRUFFLE,RB,AFL,Jahmyr Gibbs,DET,TBA,,-,,5,---,100%,78%,45,2,252.7,250.2,195.24
TRUFFLE,RB,AFL,D'Andre Swift,CHI,TBA,,-,,22,---,99%,56%,60,1,218.3,191.6,127.25
TRUFFLE,WR,AFL,AJ Brown,PHI,TBA,,-,,5,---,100%,94%,74,1,253.6,233.7,184.47
TRUFFLE,WR,AFL,Chris Olave,NO,TBA,,-,,14,---,97%,59%,45,1,201.3,183.2,161.2
TRUFFLE,TE,AFL,Travis Kelce,KC,TBA,,-,,3,---,100%,94%,48,1,176.4,232.9,165.15
TRUFFLE,WR,AFL,Zay Flowers,BAL,TBA,,-,,30,---,66%,38%,15,2,172,171.1,147.99
TRUFFLE,WR,AFL,Tee Higgins,CIN,TBA,,-,,19,---,97%,50%,40,1,128.6,172.8,167.39
TRUFFLE,QB,AFL,Russell Wilson,PIT,TBA,,-,,25,---,70%,20%,3,1,294.9,263.68,221.7
TRUFFLE,DST,AFL,Cowboys,DAL,TBA,,-,,2,---,84%,57%,1,1,177,173,162.8
TRUFFLE,RB,AFL,Dameon Pierce,HOU,TBA,,-,,---,---,81%,30%,5,1,80.9,131.6,41.61
TRUFFLE,WR,AFL,Jahan Dotson,WAS,TBA,,-,,51,---,57%,7%,5,1,102.8,112.1,90.59
TRUFFLE,WR,AFL,John Metchie,HOU,TBA,,-,,---,---,7%,1%,5,1,23.2,24.7,45.96
TRUFFLE,WR,AFL,Curtis Samuel,BUF,TBA,,-,,59,---,42%,10%,1,1,125.2,97.7,100.14
TRUFFLE,TE,AFL,Brock Bowers,LV,TBA,,-,,9,---,3%,1%,10,3,0,0,81.33
TRUFFLE,QB,AFL,Jayden Daniels,WAS,TBA,,-,,13,---,3%,1%,45,3,0,0,302.5
TRUFFLE,TE,AFL,Greg Dulcich,DEN,TBA,,-,,---,---,27%,3%,1,1,4.5,34.4,57.97
TRUFFLE,WR,AFL,Adonai Mitchell,IND,TBA,,-,,---,---,2%,1%,5,3,0,0,96.52
TRUFFLE,QB,AFL,Spencer Rattler,NO,TBA,,-,,---,---,2%,1%,3,3,0,0,13.53
TRUFFLE,QB,CC,Daniel Jones,NYG,TBA,,-,,29,---,24%,3%,65,2,71.96,192.26,248.13
TRUFFLE,RB,CC,James Cook,BUF,TBA,,-,,11,---,97%,60%,10,1,258.5,178.5,181.8
TRUFFLE,RB,CC,Antonio Gibson,NE,TBA,,-,,43,---,74%,15%,20,2,111.4,179.4,114.47
TRUFFLE,WR,CC,George Pickens,PIT,TBA,,-,,23,---,95%,47%,5,1,189,167.2,144.81
TRUFFLE,WR,CC,Amon-Ra St Brown,DET,TBA,,-,,6,---,100%,87%,40,2,288.9,234.7,213.3
TRUFFLE,TE,CC,Trey McBride,ARI,TBA,,-,,4,---,68%,47%,2,1,142.5,93.4,95.51
TRUFFLE,RB,CC,Roschon Johnson,CHI,TBA,,-,,60,---,61%,6%,5,2,90.1,86.2,72.41
TRUFFLE,WR,CC,Quentin Johnston,LAC,TBA,,-,,---,---,31%,7%,20,2,76,77.8,86.91
TRUFFLE,TE,CC,Luke Musgrave,GB,TBA,,-,,17,---,23%,3%,3,2,55.2,52.2,75.12
TRUFFLE,DST,CC,Lions,DET,TBA,,-,,13,---,42%,25%,1,1,120,107,145.7
TRUFFLE,WR,CC,Michael Gallup,LV,TBA,,-,,---,---,15%,2%,2,1,72.8,80.7,51.15
TRUFFLE,WR,CC,Javon Baker,NE,TBA,,-,,---,---,2%,1%,3,3,0,0,52.45
TRUFFLE,RB,CC,Jonathon Brooks,CAR,TBA,,-,,24,---,2%,1%,10,3,0,0,89.12
TRUFFLE,WR,CC,Malachi Corley,NYJ,TBA,,-,,---,---,2%,1%,3,3,0,0,62.67
TRUFFLE,QB,CC,Drake Maye,NE,TBA,,-,,30,---,2%,1%,30,23,0,0,118.93
TRUFFLE,WR,CC,Ricky Pearsall,SF,TBA,,-,,---,---,2%,1%,5,3,0,0,73.5
TRUFFLE,WR,CC,Ja'Lynn Polk,NE,TBA,,-,,---,---,2%,1%,3,3,0,0,66.07
TRUFFLE,WR,CC,Brian Thomas,JAC,TBA,,-,,46,---,2%,1%,10,3,0,0,121.26
TRUFFLE,DST,CC,Browns,CLE,TBA,,-,,4,---,78%,66%,5,1,150,118,157.9
TRUFFLE,QB,CRB,Jalen Hurts,PHI,TBA,,-,,2,---,100%,95%,101,1,424.82,413.12,363.68
TRUFFLE,RB,CRB,Josh Jacobs,GB,TBA,,-,,10,---,98%,51%,107,1,193.3,267.7,201.71
TRUFFLE,RB,CRB,Jonathan Taylor,IND,TBA,,-,,4,---,100%,75%,70,1,184.4,261.5,229.07
TRUFFLE,WR,CRB,Davante Adams,LV,TBA,,-,,13,---,100%,87%,75,2,221.4,274.4,150.23
TRUFFLE,WR,CRB,DeVonta Smith,PHI,TBA,,-,,20,---,99%,68%,50,2,193.6,188.4,155.04
TRUFFLE,TE,CRB,Ben Sinnott,WAS,TBA,,-,,22,---,2%,1%,5,3,0,0,73.12
TRUFFLE,RB,CRB,De'Von Achane,MIA,TBA,,-,,20,---,90%,55%,10,2,203.7,195.9,217.34
TRUFFLE,RB,CRB,Zamir White,LV,TBA,,-,,16,---,50%,30%,11,1,82.1,45.9,132.21
TRUFFLE,WR,CRB,Romeo Doubs,GB,TBA,,-,,54,---,62%,28%,3,1,156.4,121.5,124.65
TRUFFLE,DST,CRB,Texans,HOU,TBA,,-,,12,---,56%,39%,1,1,139,126,158.4
TRUFFLE,WR,CRB,DJ Chark,LAC,TBA,,-,,---,---,20%,5%,3,1,102.5,71.8,100.63
TRUFFLE,WR,CRB,Jalen McMillan,TB,TBA,,-,,---,---,2%,1%,3,3,0,0,45.65
TRUFFLE,QB,CRB,Bo Nix,DEN,TBA,,-,,32,---,2%,1%,15,3,0,0,195.81
TRUFFLE,DST,CRB,Dolphins,MIA,TBA,,-,,10,---,56%,31%,3,1,165,137,151.2
TRUFFLE,QB,ELP,Kirk Cousins,ATL,TBA,,-,,17,---,43%,14%,2,1,156.34,252.26,278.66
TRUFFLE,RB,ELP,Alvin Kamara,NO,TBA,,-,,18,---,98%,61%,63,1,224.1,228.6,197.47
TRUFFLE,RB,ELP,Kenneth Walker,SEA,TBA,,-,,13,---,100%,58%,30,1,225.6,220.7,175.43
TRUFFLE,WR,ELP,Keenan Allen,CHI,TBA,,-,,43,---,90%,19%,51,1,227.86,192.86,152.31
TRUFFLE,WR,ELP,Tyreek Hill,MIA,TBA,,-,,2,---,100%,89%,74,1,342.8,302.5,221.62
TRUFFLE,TE,ELP,Mark Andrews,BAL,TBA,,-,,2,---,75%,35%,37,1,117.4,186.1,159.74
TRUFFLE,WR,ELP,Jayden Reed,GB,TBA,,-,,32,---,62%,35%,5,2,191.4,189.8,149.94
TRUFFLE,RB,ELP,Brian Robinson,WAS,TBA,,-,,33,---,95%,20%,5,1,223.1,184.4,175.24
