League,Season,DivAbbrev,Team,W,L,T,PCT,GB,Streak,Div,Wks,PF,Back,PA
TRUFFLE,2023,MI,MAM,10,7,0,0.588,0,W4,3/1/00,3,2371.3,253.2,2124.1
TRUFFLE,2023,MI,ELP,8,7,0,0.533,2,L2,3/1/00,3,2436.3,188.1,2030.8
TRUFFLE,2023,MI,CC,1,14,0,0.067,9,L5,0-4-0,0,1629.7,994.8,2154.1
TRUFFLE,2023,CH+,WLW,13,3,0,0.812,0,W9,4-0-0,4,2624.5,0,1848
TRUFFLE,2023,CH+,NN,8,9,0,0.471,5,L1,1/3/00,1,2084.3,540.2,2106.8
TRUFFLE,2023,CH+,GF,3,12,0,0.2,10,L6,1/3/00,1,1448.5,1176,1870
TRUFFLE,2023,GOB,FRR,13,3,0,0.812,0,L1,4-0-0,2,2546.8,77.7,1953.4
TRUFFLE,2023,GOB,AFL,6,9,0,0.4,7,L1,2/2/00,1,2038,586.5,1851.6
TRUFFLE,2023,GOB,VD,3,12,0,0.2,10,L7,0-4-0,0,1780.8,843.6,2093.5
TRUFFLE,2023,OT,CRB,11,6,0,0.647,0,W1,4/1/00,2,2292.2,332.3,2040.2
TRUFFLE,2023,OT,MCM,11,6,0,0.647,0,L2,2/4/00,0,2278.6,345.8,2154.5
TRUFFLE,2023,OT,MWM,8,7,0,0.533,3,L1,2/3/00,0,2004.9,619.6,1793.1
