playerID,Avail,Player,Pos,Opp,NFL,OVP,Pct,20+,40+,Avg,20+,Tar,TarPct,Avg,20+,40+,1Std Pct,Total,Avg,Total
,WLW,Lamar Jackson,QB,@NE,BAL,4,64.4,6,2,9.1,1.0,0,0.0,0.0,0,0,0.0,667,33.92,67.84
,CRB,Jalen Hurts,QB,@WAS,PHI,19,69.8,6,2,5.2,1.0,0,0.0,0.0,0,0,0.0,723,33.37,66.74
,CC,Josh Allen,QB,@MIA,BUF,29,75.4,7,3,6.0,0.0,0,0.0,0.0,0,0,0.0,680,33.08,66.16
,MCM,Stefon Diggs,WR,@MIA,BUF,10,0.0,0,0,0.0,0.0,24,33.8,13.5,3,2,55.0,270,31.00,62.00
,CRB,Carson Wentz,QB,PHI,WAS,5,65.5,10,2,4.4,0.0,0,0.0,0.0,0,0,0.0,685,28.75,57.50
,GF,Nick Chubb,RB,PIT,CLE,20,0.0,0,0,5.8,3.0,4,6.6,7.0,0,0,25.0,256,27.80,55.60
,FRR,Jaylen Waddle,WR,BUF,MIA,4,0.0,0,0,8.0,0.0,24,28.9,16.0,3,2,80.0,248,27.40,54.80
,MAM,Tua Tagovailoa,QB,BUF,MIA,1,71.1,8,4,0.3,0.0,0,0.0,0.0,0,0,0.0,740,27.33,54.66
,MWM,Cooper Kupp,WR,@ARI,LAR,14,0.0,0,0,0.0,0.0,29,37.7,9.8,4,0,58.3,236,26.80,53.60
,FRR,Patrick Mahomes,QB,@IND,KC,16,73.0,8,1,0.8,0.0,0,0.0,0.0,0,0,0.0,599,26.65,53.30
,CRB,Amon-Ra St Brown,WR,@MIN,DET,19,0.0,0,0,34.0,1.0,24,33.8,10.6,2,1,47.1,248,25.90,51.80
,NN,Kyler Murray,QB,LAR,ARI,27,63.9,6,0,5.7,1.0,0,0.0,0.0,0,0,0.0,527,25.75,51.50
,MWM,Aaron Jones,RB,@TB,GB,2,0.0,0,0,9.1,2.0,8,12.5,10.8,1,0,66.7,246,25.30,50.60
,MCM,Justin Herbert,QB,JAC,LAC,11,72.0,8,1,0.3,0.0,0,0.0,0.0,0,0,0.0,615,23.86,47.72
,FRR,D'Andre Swift,RB,@MIN,DET,22,0.0,0,0,10.0,2.0,8,11.3,12.4,2,0,60.0,262,23.60,47.20
,NN,Justin Jefferson,WR,DET,MIN,25,0.0,0,0,0.0,0.0,23,29.5,15.5,5,1,73.3,232,23.10,46.20
,MAM,Saquon Barkley,RB,DAL,NYG,8,0.0,0,0,6.0,2.0,11,20.0,5.1,0,0,0.0,282,23.10,46.20
,FRR,Jared Goff,QB,@MIN,DET,23,57.7,8,1,1.8,0.0,0,0.0,0.0,0,0,0.0,478,21.37,42.74
,WLW,James Robinson,RB,@LAC,JAC,16,0.0,0,0,3.8,2.0,4,5.6,5.7,0,0,66.7,147,21.35,42.70
,VD,Joe Flacco,QB,CIN,NYJ,6,61.2,3,1,2.0,0.0,0,0.0,0.0,0,0,0.0,622,21.12,42.24
,CC,Jonathan Taylor,RB,KC,IND,23,0.0,0,0,5.4,2.0,8,10.0,4.6,0,0,0.0,238,20.90,41.80
