,Player,NFL,Pos,xFP,ActualPts,Looks,TD,xTD,Diff,In5,EZ
0,Joe Burrow,CIN,QB,55,35,10,0,0.4,-0.4,1,0
1,Joe Flacco,NYJ,QB,50,41,3,0,0.0,0.0,0,0
2,Kyler Murray,ARI,QB,50,47,10,1,0.6,0.4,1,0
3,Justin Herbert,LAC,QB,47,47,6,0,0.4,-0.4,0,0
4,Jalen Hurts,PHI,QB,46,58,28,3,2.3,0.7,3,0
5,Lamar Jackson,BAL,QB,45,63,15,1,1.5,-0.5,2,0
6,Carson Wentz,WAS,QB,45,56,8,0,0.3,-0.3,0,0
7,Josh Allen,BUF,QB,41,61,11,1,0.8,0.2,1,0
8,Marcus Mariota,ATL,QB,40,33,18,1,0.9,0.1,1,0
9,Trevor Lawrence,JAC,QB,37,32,5,0,0.5,-0.5,0,0
10,Jared Goff,DET,QB,37,42,4,0,0.0,0.0,0,0
11,Jacoby Brissett,CLE,QB,33,26,10,0,0.1,-0.1,0,0
12,Justin Fields,CHI,QB,31,22,19,1,1.8,-0.8,2,0
13,Daniel Jones,NYG,QB,31,29,16,0,0.9,-0.9,1,0
14,Mac Jones,NE,QB,26,21,9,0,0.1,-0.1,0,0
15,Baker Mayfield,CAR,QB,26,31,11,1,0.4,0.6,0,0
16,Ryan Tannehill,TEN,QB,24,20,3,0,0.0,0.0,0,0
17,Trey Lance,SF,QB,21,12,16,0,0.6,-0.6,0,0
18,Geno Smith,SEA,QB,20,23,8,0,0.3,-0.3,0,0
19,Jimmy Garoppolo,SF,QB,17,17,4,1,1.4,-0.4,3,0
20,Joe Mixon,CIN,RB,51,33,60,0,2.0,-2.0,3,1
21,Antonio Gibson,WAS,RB,44,32,41,1,2.3,-1.3,4,0
22,Saquon Barkley,NYG,RB,42,45,50,1,1.6,-0.6,2,1
23,Javonte Williams,DEN,RB,42,29,38,0,1.8,-1.8,1,1
24,Austin Ekeler,LAC,RB,36,30,42,0,0.7,-0.7,0,0
25,AJ Dillon,GB,RB,36,28,38,1,1.5,-0.5,2,0
26,Jonathan Taylor,IND,RB,36,35,48,1,1.0,0.0,1,0
27,Leonard Fournette,TB,RB,32,25,51,0,0.7,-0.7,0,0
28,Najee Harris,PIT,RB,31,25,33,1,1.6,-0.6,2,0
29,Nick Chubb,CLE,RB,31,48,43,3,1.3,1.7,2,0
30,Michael Carter,NYJ,RB,31,27,31,0,0.5,-0.5,0,0
31,Christian McCaffrey,CAR,RB,30,33,35,1,0.8,0.2,1,0
32,Miles Sanders,PHI,RB,29,30,35,1,1.3,-0.3,2,0
33,James Robinson,JAC,RB,29,36,38,3,1.3,1.7,1,0
34,Dalvin Cook,MIN,RB,28,21,36,0,0.3,-0.3,0,0
35,Jeff Wilson Jr.,SF,RB,27,17,31,0,1.6,-1.6,2,0
36,Breece Hall,NYJ,RB,27,23,24,1,0.9,0.1,0,0
37,Cordarrelle Patterson,ATL,RB,26,27,38,1,0.6,0.4,0,0
38,Aaron Jones,GB,RB,25,43,28,2,0.8,1.2,0,0
39,David Montgomery,CHI,RB,25,24,38,0,0.4,-0.4,0,0
40,D'Andre Swift,DET,RB,25,43,28,2,0.7,1.3,0,1
41,Jamaal Williams,DET,RB,25,23,26,2,2.0,0.0,3,0
42,James Conner,ARI,RB,24,24,26,1,0.6,0.4,1,0
43,Derrick Henry,TEN,RB,24,17,35,1,1.3,-0.3,1,0
44,Kareem Hunt,CLE,RB,24,32,30,2,0.9,1.1,0,1
45,Travis Etienne Jr.,JAC,RB,24,17,20,0,1.1,-1.1,0,1
46,Josh Jacobs,LV,RB,23,17,31,0,1.3,-1.3,2,0
47,Nyheim Hines,IND,RB,23,19,15,0,0.8,-0.8,1,0
48,Clyde Edwards-Helaire,KC,RB,23,38,22,2,1.1,0.9,0,0
49,Tony Pollard,DAL,RB,23,24,24,1,0.7,0.3,1,0
50,Rex Burkhead,HOU,RB,22,15,25,0,0.3,-0.3,0,0
51,Damien Harris,NE,RB,22,25,29,1,1.1,-0.1,1,0
52,Melvin Gordon III,DEN,RB,21,14,25,0,1.1,-1.1,2,0
53,Darrell Henderson Jr.,LAR,RB,21,23,28,1,0.5,0.5,0,0
54,Eno Benjamin,ARI,RB,20,17,20,0,0.4,-0.4,0,0
55,Dameon Pierce,HOU,RB,18,14,29,0,0.4,-0.4,1,0
56,Chase Edmonds,MIA,RB,18,16,24,0,0.1,-0.1,0,0
57,J.D. McKissic,WAS,RB,18,21,16,0,0.1,-0.1,0,0
58,Jerick McKinnon,KC,RB,17,18,14,1,0.8,0.2,1,0
59,Ezekiel Elliott,DAL,RB,17,12,29,0,0.1,-0.1,0,0
60,Kenneth Gainwell,PHI,RB,17,14,13,1,0.9,0.1,1,0
61,Cam Akers,LAR,RB,16,8,21,0,0.6,-0.6,0,1
62,Devin Singletary,BUF,RB,15,12,21,0,0.2,-0.2,0,0
63,Alexander Mattison,MIN,RB,14,8,15,0,0.4,-0.4,0,0
64,Raheem Mostert,MIA,RB,14,15,20,0,0.1,-0.1,0,0
65,Rhamondre Stevenson,NE,RB,14,11,21,0,0.1,-0.1,0,0
66,Darrel Williams,ARI,RB,14,14,11,1,0.9,0.1,1,0
67,Zack Moss,BUF,RB,13,9,15,0,0.1,-0.1,0,0
68,Khalil Herbert,CHI,RB,13,16,15,1,0.7,0.3,2,0
69,Rashaad Penny,SEA,RB,13,10,21,0,0.2,-0.2,0,0
70,Samaje Perine,CIN,RB,11,9,8,0,0.3,-0.3,0,0
71,Kyle Juszczyk,SF,RB,11,6,5,1,1.1,-0.1,2,0
72,Mark Ingram II,NO,RB,11,8,17,0,0.1,-0.1,0,0
73,Zander Horvath,LAC,RB,11,16,4,2,1.0,1.0,0,2
74,Tyrion Davis-Price,SF,RB,10,3,14,0,0.8,-0.8,1,0
75,Sony Michel,LAC,RB,10,4,12,0,0.6,-0.6,1,0
76,Alvin Kamara,NO,RB,10,8,13,0,0.1,-0.1,0,0
77,Dontrell Hilliard,TEN,RB,10,22,6,2,0.5,1.5,0,1
78,Isiah Pacheco,KC,RB,10,13,14,1,0.7,0.3,1,0
79,Kenyan Drake,BAL,RB,9,6,18,0,0.2,-0.2,0,0
80,Rachaad White,TB,RB,9,4,12,0,0.1,-0.1,0,0
81,Joshua Kelley,LAC,RB,8,9,11,0,0.1,-0.1,0,0
82,Ken Walker III,SEA,RB,8,4,7,0,0.1,-0.1,0,0
83,James Cook,BUF,RB,8,4,13,0,0.2,-0.2,0,0
84,Boston Scott,PHI,RB,8,10,9,1,0.6,0.4,1,0
85,Mike Davis,BAL,RB,8,2,7,0,1.0,-1.0,2,0
86,Travis Homer,SEA,RB,7,8,7,0,0.0,0.0,0,0
87,Brandon Bolden,LV,RB,7,11,5,1,0.4,0.6,0,0
88,Alec Ingold,MIA,RB,7,6,6,0,0.0,0.0,0,0
89,Jaylen Warren,PIT,RB,6,3,9,0,0.1,-0.1,0,0
90,Hassan Haskins,TEN,RB,6,5,10,0,0.0,0.0,0,0
91,Reggie Gilliam,BUF,RB,6,10,3,1,0.2,0.8,0,0
92,Tyler Allgeier,ATL,RB,5,3,10,0,0.2,-0.2,0,0
93,Justice Hill,BAL,RB,5,5,7,0,0.0,0.0,0,0
94,Ty Johnson,NYJ,RB,5,1,3,0,0.0,0.0,0,0
95,Chris Myarick,NYG,RB,4,7,1,1,0.5,0.5,0,1
96,Avery Williams,ATL,RB,4,4,4,0,0.0,0.0,0,0
97,Demetric Felton,CLE,RB,4,1,3,0,0.0,0.0,0,0
98,Matt Breida,NYG,RB,4,2,7,0,0.1,-0.1,0,0
99,Tony Jones Jr.,NO,RB,4,4,4,0,0.0,0.0,0,0
100,Ameer Abdullah,LV,RB,3,3,2,0,0.0,0.0,0,0
101,Elijah Mitchell,SF,RB,3,4,6,0,0.1,-0.1,0,0
102,Craig Reynolds,DET,RB,3,4,4,0,0.0,0.0,0,0
103,Mike Boone,DEN,RB,2,1,1,0,0.1,-0.1,0,0
104,Dwayne Washington,NO,RB,2,2,4,0,0.0,0.0,0,0
105,Zamir White,LV,RB,1,0,1,0,0.0,0.0,0,0
106,Garrett Wilson,NYJ,WR,54,39,23,2,3.5,-1.5,0,5
107,Ja'Marr Chase,CIN,WR,52,40,26,1,2.6,-1.6,0,5
108,Cooper Kupp,LAR,WR,52,64,29,3,1.7,1.3,0,3
109,Davante Adams,LV,WR,48,39,24,2,2.5,-0.5,0,4
110,Stefon Diggs,BUF,WR,46,71,23,4,2.1,1.9,0,4
111,Amon-Ra St. Brown,DET,WR,45,60,26,3,1.7,1.3,0,3
112,Justin Jefferson,MIN,WR,45,50,22,2,2.1,-0.1,0,3
113,Jaylen Waddle,MIA,WR,44,58,25,3,1.3,1.7,0,2
114,Tyreek Hill,MIA,WR,40,60,26,2,0.4,1.6,0,0
115,Brandin Cooks,HOU,WR,40,25,24,0,1.0,-1.0,0,2
116,Courtland Sutton,DEN,WR,39,31,19,0,2.0,-2.0,0,4
117,Marquise Brown,ARI,WR,35,27,17,1,1.8,-0.8,0,2
118,Curtis Samuel,WAS,WR,34,42,24,2,0.9,1.1,0,0
119,Michael Thomas,NO,WR,33,41,17,3,1.4,1.6,0,3
120,Michael Thomas,NO,WR,33,41,4,0,0.8,-0.8,0,1
121,Michael Thomas,CIN,WR,11,4,17,3,1.4,1.6,0,3
122,Michael Thomas,CIN,WR,11,4,4,0,0.8,-0.8,0,1
123,Deebo Samuel,SF,WR,32,27,25,1,0.9,0.1,1,0
124,Drake London,ATL,WR,31,37,19,1,0.7,0.3,0,0
125,CeeDee Lamb,DAL,WR,30,20,22,0,0.3,-0.3,0,0
126,Diontae Johnson,PIT,WR,30,26,20,0,0.4,-0.4,0,0
127,A.J. Brown,PHI,WR,30,37,21,0,0.2,-0.2,0,1
128,Chris Olave,NO,WR,29,20,16,0,0.7,-0.7,0,0
129,Jakobi Meyers,NE,WR,28,29,19,0,0.1,-0.1,0,0
130,Amari Cooper,CLE,WR,27,30,16,1,0.6,0.4,0,1
131,Christian Kirk,JAC,WR,26,44,18,2,0.7,1.3,0,0
132,Chase Claypool,PIT,WR,26,16,19,0,1.0,-1.0,1,0
133,Zay Jones,JAC,WR,26,18,13,0,1.2,-1.2,0,3
134,DJ Chark Jr.,DET,WR,25,15,12,1,1.3,-0.3,0,3
135,Mike Williams,LAC,WR,25,28,14,1,0.8,0.2,0,1
136,Jahan Dotson,WAS,WR,25,36,12,3,1.3,1.7,0,3
137,Noah Brown,DAL,WR,25,32,15,1,0.5,0.5,0,1
138,Josh Palmer,LAC,WR,25,17,13,1,1.2,-0.2,0,2
139,Corey Davis,NYJ,WR,24,30,13,1,0.6,0.4,0,1
140,Ashton Dulin,IND,WR,24,21,14,0,0.7,-0.7,0,1
141,Hunter Renfrow,LV,WR,24,16,16,0,0.3,-0.3,0,0
142,Mecole Hardman,KC,WR,23,18,11,1,1.2,-0.2,0,1
143,Tyler Lockett,SEA,WR,23,26,15,0,0.1,-0.1,0,0
144,Michael Pittman Jr.,IND,WR,22,27,13,1,0.6,0.4,0,1
145,Greg Dortch,ARI,WR,22,29,13,1,0.5,0.5,0,1
146,Jarvis Landry,NO,WR,22,25,14,0,0.3,-0.3,0,0
147,Donovan Peoples-Jones,CLE,WR,21,12,12,0,0.8,-0.8,0,2
148,DK Metcalf,SEA,WR,21,16,13,0,0.5,-0.5,0,1
149,Rashod Bateman,BAL,WR,21,35,12,2,0.4,1.6,0,1
150,Mike Evans,TB,WR,21,27,11,1,0.7,0.3,0,1
