Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
AJ Brown ,WR,PHI,87,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,131,87
AJ Green ,WR,ARI,74,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122,80
AJ Dillon ,RB,GB,51,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,54
Aaron Jones ,RB,GB,61,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,60
Aaron Rodgers ,QB,GB,92,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124,96
Adam Prentice ,RB,NO,0,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,15
Adam Thielen ,WR,MIN,95,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118,96
Albert Okwuegbunam ,TE,DEN,67,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,59
Alec Ingold ,RB,MIA,37,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,37
Alec Pierce ,WR,IND,51,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,51
Alexander Mattison ,RB,MIN,23,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,27
Allen Lazard ,WR,GB,0,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,81
Allen Robinson ,WR,LAR,97,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122,97
Alvin Kamara ,RB,NO,62,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,62
Amari Cooper ,WR,CLE,83,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120,82
Amari Rodgers ,WR,GB,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
Ameer Abdullah ,RB,LV,12,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,17
Amon-Ra St Brown ,WR,DET,88,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113,87
Andre Baccellia ,WR,ARI,0,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,22
Andrew Beck ,TE,DEN,15,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,22
Andy Isabella ,WR,ARI,32,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,32
Anthony Firkser ,TE,ATL,4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4
Anthony Schwartz ,WR,CLE,29,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,29
Antonio Gibson ,RB,WAS,64,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,59
Armani Rogers ,TE,WAS,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,5
Ashton Dulin ,WR,IND,35,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,45
Austin Ekeler ,RB,LAC,49,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,56
Austin Hooper ,TE,TEN,62,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,56
Avery Williams ,RB,ATL,31,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,28
Baker Mayfield ,QB,CAR,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111,100
Ben Ellefson ,TE,MIN,27,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,27
Ben Skowronek ,WR,LAR,88,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113,90
Boston Scott ,RB,PHI,18,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,19
Brandin Cooks ,WR,HOU,91,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119,89
Brandon Aiyuk ,WR,SF,99,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,134,93
Brandon Bolden ,RB,LV,28,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,28
Brandon Powell ,WR,LAR,4,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,7
Braxton Berrios ,WR,NYJ,46,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,36
Breece Hall ,RB,NYJ,45,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,37
Breshad Perriman ,WR,TB,42,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,59
Brevin Jordan ,TE,HOU,60,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,49
Brock Wright ,TE,DET,0,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,36
Bryan Edwards ,WR,ATL,47,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,38
Byron Pringle ,WR,CHI,17,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,24
CJ Ham ,RB,MIN,23,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,23
Cade Otton ,TE,TB,48,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,49
Caleb Huntley ,RB,ATL,0,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,5
Cam Akers ,RB,LAR,18,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,31
Cam Sims ,WR,WAS,10,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,11
Cameron Brate ,TE,TB,68,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,62
Carson Wentz ,QB,WAS,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,151,100
Case Keenum ,QB,BUF,0,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,24
Cedrick Wilson ,WR,MIA,47,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,38
CeeDee Lamb ,WR,DAL,97,95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125,96
Chad Henne ,QB,KC,7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,7
Chase Claypool ,WR,PIT,92,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,112,92
Chase Edmonds ,RB,MIA,63,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,56
Chigoziem Okonkwo ,TE,TEN,15,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,21
Chris Conley ,WR,HOU,14,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,14
Chris Godwin ,WR,TB,31,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,31
Chris Moore ,WR,HOU,49,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75,56
Chris Myarick ,TE,NYG,23,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,28
Chris Olave ,WR,NO,74,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96,74
Christian Kirk ,WR,JAC,91,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,128,91
Christian McCaffrey ,RB,CAR,81,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96,86
Christian Watson ,WR,GB,66,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,48
Chuba Hubbard ,RB,CAR,6,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5
Clyde Edwards-Helaire ,RB,KC,39,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,41
Cody Hollister ,WR,TEN,12,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,12
Colby Parkinson ,TE,SEA,36,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,36
Cole Kmet ,TE,CHI,83,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,84
Connor Heyward ,TE,PIT,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4
Cooper Kupp ,WR,LAR,100,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,129,102
Cooper Rush ,QB,DAL,23,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,59
Cordarrelle Patterson ,RB,ATL,65,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,63
Corey Davis ,WR,NYJ,68,79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,112,73
Courtland Sutton ,WR,DEN,95,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,129,93
Craig Reynolds ,RB,DET,0,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,15
Curtis Samuel ,WR,WAS,71,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,121,80
D'Andre Swift ,RB,DET,67,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,59
D'Onta Foreman ,RB,CAR,13,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,9
DJ Chark ,WR,DET,81,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96,74
DJ Moore ,WR,CAR,100,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,109,98
DK Metcalf ,WR,SEA,82,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,87
Dak Prescott ,QB,DAL,77,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,77
Dallas Goedert ,TE,PHI,92,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132,88
Dalton Schultz ,TE,DAL,100,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124,95
Dalvin Cook ,RB,MIN,77,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,73
Dameon Pierce ,RB,HOU,29,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,44
Damien Harris ,RB,NE,39,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,39
Damien Williams ,RB,ATL,13,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,13
Dan Arnold ,TE,JAC,0,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,23
Daniel Bellinger ,TE,NYG,0,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,58
Daniel Jones ,QB,NYG,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,133,100
Danny Gray ,WR,SF,0,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,9
Dante Pettis ,WR,CHI,40,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,46
Dare Ogunbowale ,RB,HOU,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2
Darnell Mooney ,WR,CHI,90,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,90
Darrel Williams ,RB,ARI,0,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,46
Darrell Henderson ,RB,LAR,82,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,71
Darren Waller ,TE,LV,84,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,69
Davante Adams ,WR,LV,95,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120,96
David Bell ,WR,CLE,0,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,30
David Montgomery ,RB,CHI,66,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,72
David Njoku ,TE,CLE,89,94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,134,91
David Sills V ,WR,NYG,0,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67,92
Davis Mills ,QB,HOU,97,95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,128,96
Dawson Knox ,TE,BUF,86,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98,77
Dax Milne ,WR,WAS,8,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,5
DeAndre Carter ,WR,LAC,37,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,52
DeVante Parker ,WR,NE,100,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,109,87
DeVonta Smith ,WR,PHI,96,99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,146,97
Dee Eskridge ,WR,SEA,9,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11
DeeJay Dallas ,RB,SEA,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5
Deebo Samuel ,WR,SF,82,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115,80
