Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2023,3yr Avg,Proj
QB,ABT,Caleb Williams,CHI,TEN,Sun  1:00pm ET,7,43,12,10,13%,5%,50,3,0.00,0.00,299.66
RB,ABT,Saquon Barkley,PHI,GB,Fri  8:15pm ET,5,48.5,6,23,97%,87%,131,2,249.70,227.40,275.99
RB,ABT,Alvin Kamara,NO,CAR,Sun  1:00pm ET,12,40.5,21,28,95%,81%,40,2,224.10,228.60,168.47
WR,ABT,DJ Moore,CHI,TEN,Sun  1:00pm ET,7,43,23,24,96%,84%,44,2,255.50,210.60,161.16
WR,ABT,Puka Nacua,LAR,@DET,Sun  8:20pm ET,6,51,8,30,99%,88%,85,2,266.50,266.10,194.60
TE,ABT,Jake Ferguson,DAL,@CLE,Sun  4:25pm ET,7,44,9,5,88%,63%,2,2,146.10,93.90,117.01
WR,ABT,Keenan Allen,CHI,TEN,Sun  1:00pm ET,7,43,46,24,86%,18%,7,2,227.86,192.86,120.77
WR,ABT,Chris Olave,NO,CAR,Sun  1:00pm ET,12,40.5,11,3,97%,74%,42,2,201.30,183.20,159.50
QB,ABT,Dak Prescott,DAL,@CLE,Sun  4:25pm ET,7,44,9,4,97%,83%,77,2,363.94,297.38,309.75
DST,ABT,Seahawks,SEA,DEN,Sun  4:05pm ET,10,42,10,20,41%,20%,1,2,120.00,98.00,123.60
WR,ABT,Jermaine Burton,CIN,NE,Sun  1:00pm ET,12,42.5,---,14,5%,1%,5,3,0.00,0.00,88.02
WR,ABT,Roman Wilson,PIT,@ATL,Sun  1:00pm ET,9,43,---,7,4%,1%,3,3,0.00,0.00,73.78
RB,ABT,Chase Brown,CIN,NE,Sun  1:00pm ET,12,42.5,32,15,44%,7%,7,2,49.80,43.00,134.39
WR,ABT,Josh Downs,IND,HOU,Sun  1:00pm ET,14,48.5,---,10,58%,12%,1,2,119.10,118.50,82.69
RB,ABT,Kenneth Gainwell,PHI,GB,Fri  8:15pm ET,5,48.5,---,23,34%,4%,1,2,97.78,103.92,86.31
RB,ABT,Elijah Mitchell,SF,NYJ,Mon  8:15pm ET,9,44.5,51,25,37%,3%,1,2,58.20,95.00,77.91
RB,ABT,Keaton Mitchell,BAL,@KC,Thu  8:20pm ET,14,46.5,60,7,53%,11%,1,2,85.30,77.40,82.81
RB,ABT,Cordarrelle Patterson,PIT,@ATL,Sun  1:00pm ET,9,43,---,6,13%,3%,1,2,39.10,147.20,24.01
WR,ABT,Josh Reynolds,DEN,@SEA,Sun  4:05pm ET,14,42,---,22,28%,4%,1,2,120.80,91.40,84.26
QB,CLC,Jordan Love,GB,@PHI,Fri  8:15pm ET,10,48.5,11,31,97%,64%,100,2,335.36,116.14,315.19
RB,CLC,Breece Hall,NYJ,@SF,Mon  8:15pm ET,12,44.5,2,4,100%,89%,145,2,282.50,190.20,256.65
RB,CLC,Zack Moss,CIN,NE,Sun  1:00pm ET,12,42.5,30,15,83%,30%,17,2,195.60,119.90,152.40
WR,CLC,DeVonta Smith,PHI,GB,Fri  8:15pm ET,5,48.5,25,17,96%,79%,45,2,193.60,188.40,164.46
WR,CLC,Jaylen Waddle,MIA,JAC,Sun  1:00pm ET,6,49,18,21,92%,50%,34,2,174.80,205.30,147.57
TE,CLC,Dalton Kincaid,BUF,ARI,Sun  1:00pm ET,12,48,5,15,87%,50%,50,2,106.30,106.20,119.18
WR,CLC,Nico Collins,HOU,@IND,Sun  1:00pm ET,14,48.5,14,12,98%,71%,40,2,233.40,129.00,179.95
RB,CLC,Javonte Williams,DEN,@SEA,Sun  4:05pm ET,14,42,26,31,90%,39%,23,2,184.40,142.40,134.36
WR,CLC,Rome Odunze,CHI,TEN,Sun  1:00pm ET,7,43,41,24,12%,2%,25,3,0.00,0.00,111.06
DST,CLC,Bears,CHI,TEN,Sun  1:00pm ET,7,43,16,24,35%,22%,1,2,129.00,92.00,114.60
WR,CLC,Ja'Lynn Polk,NE,@CIN,Sun  1:00pm ET,14,42.5,57,25,6%,1%,3,3,0.00,0.00,90.50
QB,CLC,Justin Fields,PIT,@ATL,Sun  1:00pm ET,9,43,31,22,83%,55%,5,2,273.18,254.32,46.43
RB,CLC,Justice Hill,BAL,@KC,Thu  8:20pm ET,14,46.5,---,7,22%,3%,1,2,107.30,75.90,72.21
RB,CLC,Roschon Johnson,CHI,TEN,Sun  1:00pm ET,7,43,---,12,46%,6%,1,2,90.10,86.20,75.51
RB,CLC,MarShawn Lloyd,GB,@PHI,Fri  8:15pm ET,10,48.5,53,10,9%,1%,5,3,0.00,0.00,109.63
RB,CLC,Jordan Mason,SF,NYJ,Mon  8:15pm ET,9,44.5,---,25,12%,3%,1,2,55.70,49.40,30.60
WR,CLC,Darnell Mooney,ATL,PIT,Sun  1:00pm ET,12,43,59,16,18%,2%,1,2,67.90,109.00,96.20
TE,CLC,Chigoziem Okonkwo,TEN,@CHI,Sun  1:00pm ET,5,43,26,20,24%,8%,1,2,85.40,86.90,68.98
WR,CLC,Curtis Samuel,BUF,ARI,Sun  1:00pm ET,12,48,55,18,53%,12%,1,2,125.20,97.70,110.85
QB,CPC,Derek Carr,NO,CAR,Sun  1:00pm ET,12,40.5,27,1,59%,18%,3,2,246.42,247.26,261.26
RB,CPC,James Cook,BUF,ARI,Sun  1:00pm ET,12,48,11,32,97%,85%,70,2,258.50,178.50,221.01
RB,CPC,Derrick Henry,BAL,@KC,Thu  8:20pm ET,14,46.5,10,7,96%,88%,85,2,289.06,284.64,221.31
WR,CPC,Tyreek Hill,MIA,JAC,Sun  1:00pm ET,6,49,2,21,100%,90%,105,2,342.80,302.50,219.92
WR,CPC,Ladd McConkey,LAC,LV,Sun  4:05pm ET,5,42.5,47,11,12%,3%,5,3,0.00,0.00,119.25
TE,CPC,George Kittle,SF,NYJ,Mon  8:15pm ET,9,44.5,6,19,95%,81%,25,2,181.20,176.00,135.61
