Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2021,3yr Avg,Proj
QB,AFL,Joe Burrow,CIN,PIT,Sun  1:00pm,10,44.5,10,26,95%,40%,45,1,328.24,255.00,291.44
RB,AFL,Joe Mixon,CIN,PIT,Sun  1:00pm,10,44.5,6,27,98%,83%,65,1,316.90,223.90,225.98
WR,AFL,AJ Brown,PHI,@DET,Sun  1:00pm,7,46.5,10,18,96%,63%,47,2,163.90,197.10,164.43
WR,AFL,Terry McLaurin,WAS,JAC,Sun  1:00pm,14,44,19,24,96%,55%,52,1,184.50,182.40,142.87
WR,AFL,Chris Olave,NO,@ATL,Sun  1:00pm,14,41.5,46,26,3%,0%,45,3,0.00,0.00,101.15
TE,AFL,George Kittle,SF,@CHI,Sun  1:00pm,9,42,5,5,99%,96%,37,2,169.00,155.60,136.16
WR,AFL,Nico Collins,HOU,IND,Sun  1:00pm,6,44,---,17,5%,0%,3,2,72.60,72.60,76.37
QB,AFL,Trey Lance,SF,@CHI,Sun  1:00pm,9,42,13,16,41%,12%,45,2,72.92,72.92,273.45
DST,AFL,Dolphins,MIA,NE,Sun  1:00pm,11,44.5,18,19,77%,45%,1,1,146.00,106.00,138.80
QB,AFL,Jimmy Garoppolo,SF,@CHI,Sun  1:00pm,9,42,30,16,59%,14%,3,1,242.50,187.04,27.70
TE,AFL,Logan Thomas,WAS,JAC,Sun  1:00pm,14,44,19,15,17%,2%,1,1,45.60,73.16,90.17
WR,AFL,Kadarius Toney,NYG,@TEN,Sun  4:25pm,9,44,38,30,28%,1%,4,2,64.36,64.36,104.89
RB,AFL,Hassan Haskins,TEN,NYG,Sun  4:25pm,6,44,---,26,2%,0%,3,3,0.00,0.00,73.12
WR,AFL,John Metchie,HOU,IND,Sun  1:00pm,6,44,---,17,2%,0%,5,3,0.00,0.00,0.00
WR,AFL,Curtis Samuel,WAS,JAC,Sun  1:00pm,14,44,---,24,10%,0%,7,1,7.80,117.60,75.18
QB,CC,Josh Allen,BUF,@LAR,Thu  8:20pm,7,52,1,2,99%,95%,80,1,455.58,407.42,395.44
RB,CC,Alvin Kamara,NO,@ATL,Sun  1:00pm,14,41.5,8,25,98%,94%,96,1,249.70,289.36,220.86
RB,CC,Jonathan Taylor,IND,@HOU,Sun  1:00pm,14,44,1,28,99%,93%,35,1,452.10,374.00,309.97
WR,CC,Chase Claypool,PIT,@CIN,Sun  1:00pm,9,44.5,48,20,85%,36%,4,1,150.60,178.20,123.51
WR,CC,Donovan Peoples-Jones,CLE,@CAR,Sun  1:00pm,9,41.5,---,6,38%,9%,3,1,101.70,75.00,105.42
WR,CC,Allen Robinson,LAR,BUF,Thu  8:20pm,7,52,18,1,47%,10%,1,1,71.00,174.60,137.87
TE,CC,Mike Gesicki,MIA,NE,Sun  1:00pm,11,44.5,17,2,77%,35%,8,1,131.00,125.40,103.71
