Season,Week,TRUFFLE,Pos,Player,NFL,Opp,OVP,Comp,ATT,Yds,TD,Int,Att,Yds,TD,1stD,Tar,Rec,Yds,TD,1stD,Lost,Avg,Total
2022,1,AFL,WR,AJ Brown,PHI,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,AFL,WR,AJ Green,ARI,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),QB,AJ McCarron,ATL,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,AJ Richardson,ARI,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Aaron Bailey,BAL,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Aaron Fuller,SEA,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,MWM,RB,Aaron Jones,GB,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Aaron Parker,CAR,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,Aca'Cedric Ware,TB,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,Adam Choice,SEA,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Adam Humphries,WAS,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,Adam Prentice,NO,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Adam Shaheen,MIA,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,MWM,WR,Adam Thielen,MIN,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Adam Trautman,NO,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,Adrian Killins,DEN,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,Adrian Peterson,SEA,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Albert Okwuegbunam,DEN,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Albert Wilson,MIA,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,Alec Ingold,MIA,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Alec Pierce,IND,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Aleva Hifo,ARI,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),RB,Alex Armah,WAS,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
