Season,Week,TRUFFLE,Pos,Player,NFL,Opp,Comp,ATT,Yds,TD,Int,Att,Yds,TD,1stD,Tar,Rec,Yds,TD,1stD,Lost,Avg,Total
2022,1,AFL,RB,Boston Scott,PHI,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,AFL,RB,Joe Mixon,CIN,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,AFL,WR,Terry McLaurin,WAS,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,AFL,QB,Joe Burrow,CIN,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,AFL,WR,A.J. Brown,PHI,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,AFL,TE,George Kittle,SF,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,AFL,WR,Nico Collins,HOU,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,AFL,QB,Trey Lance,SF,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,AFL,DST,Dolphins,MIA,TBA,,,,,,,,,,,,,,,,-,0
2022,1,CC,QB,Kirk Cousins,MIN,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CC,WR,Marvin Jones,JAC,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CC,RB,Alvin Kamara,NO,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CC,RB,Chase Edmonds,MIA,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CC,TE,Mike Gesicki,MIA,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CC,QB,Josh Allen,BUF,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CC,WR,Chase Claypool,PIT,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CC,WR,Donovan Peoples-Jones,CLE,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CC,RB,Jonathan Taylor,IND,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CC,DST,Cardinals,ARI,TBA,,,,,,,,,,,,,,,,-,0
2022,1,CRB,QB,Ryan Tannehill,TEN,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CRB,TE,Travis Kelce,KC,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CRB,WR,Russell Gage,TB,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CRB,RB,Ronald Jones,KC,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CRB,WR,Michael Gallup,DAL,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CRB,RB,J.K. Dobbins,BAL,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CRB,WR,DeVonta Smith,PHI,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CRB,RB,Antonio Gibson,WAS,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CRB,WR,Amon-Ra St. Brown,DET,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CRB,DST,Cowboys,DAL,TBA,,,,,,,,,,,,,,,,-,0
2022,1,ELP,QB,Aaron Rodgers,GB,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,ELP,TE,Mark Andrews,BAL,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,ELP,WR,Tyreek Hill,MIA,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,ELP,WR,Deebo Samuel,SF,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,ELP,WR,Michael Pittman,IND,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,ELP,QB,Mac Jones,NE,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,ELP,WR,Marquise Brown,ARI,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,ELP,RB,Clyde Edwards-Helaire,KC,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,ELP,RB,A.J. Dillon,GB,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,ELP,DST,49ers,SF,TBA,,,,,,,,,,,,,,,,-,0
2022,1,FRR,RB,Christian McCaffrey,CAR,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,FRR,QB,Patrick Mahomes,KC,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,FRR,RB,Rashaad Penny,SEA,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,FRR,TE,T.J. Hockenson,DET,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,FRR,RB,D'Andre Swift,DET,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,FRR,RB,Javonte Williams,DEN,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,FRR,WR,Jaylen Waddle,MIA,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,FRR,WR,Elijah Moore,NYJ,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,FRR,WR,Ja'Marr Chase,CIN,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,FRR,DST,Chargers,LAC,TBA,,,,,,,,,,,,,,,,-,0
