Season,Week,TRUFFLE,Pos,Player,NFL,Opp,Comp,ATT,Yds,TD,Int,Att,Yds,TD,1stD,Tar,Rec,Yds,TD,1stD,Lost,Avg,Total
2022,1,ELP,QB,Aaron Rodgers,GB,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,ELP,TE,Mark Andrews,BAL,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,ELP,WR,Tyreek Hill,MIA,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,ELP,WR,Deebo Samuel,SF,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,ELP,WR,Michael Pittman,IND,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,ELP,QB,Mac Jones,NE,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,ELP,WR,Marquise Brown,ARI,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,ELP,RB,Clyde Edwards-Helaire,KC,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,ELP,RB,A.J. Dillon,GB,TBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,ELP,DST,49ers,SF,TBA,,,,,,,,,,,,,,,,-,0
