Season,Week,TRUFFLE,Pos,Player,NFL,Opp,OpRk,PaCmp,PaAtt,PaYd,PaTD,PaInt,RuAtt,RuYd,RuTD,RuFD,Tar,Rec,ReYd,ReTD,ReFD,FL,Avg,FPts
2022,1,W (9/1),WR,Isaiah McKenzie,BUF,@LAR,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,19.0,1.0,2.0,0.0,9.9,9.90
2022,1,FRR,QB,Matthew Stafford,LAR,BUF,1,29.0,41.0,240.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,8.80
2022,1,W (9/1),TE,Tyler Higbee,LAR,BUF,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,39.0,0.0,4.0,0.0,7.9,7.90
2022,1,W (9/1),WR,Jamison Crowder,BUF,@LAR,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,28.0,0.0,3.0,0.0,5.8,5.80
2022,1,W (9/1),WR,Ben Skowronek,LAR,BUF,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,25.0,0.0,2.0,0.0,4.5,4.50
2022,1,CC,QB,Josh Allen,BUF,@LAR,2,26.0,31.0,297.0,3.0,2.0,10.0,56.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,35.48,35.48
2022,1,W (9/1),WR,Cooper Kupp,LAR,BUF,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,128.0,1.0,6.0,0.0,24.8,24.80
2022,1,MCM,WR,Stefon Diggs,BUF,@LAR,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,122.0,1.0,5.0,0.0,23.2,23.20
2022,1,W (9/1),RB,Zack Moss,BUF,@LAR,9,0.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,1.0,6.0,6.0,21.0,0.0,0.0,1.0,2.6,2.60
2022,1,W (9/1),WR,Brandon Powell,LAR,BUF,1,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,2.3,2.30
2022,1,WLW,WR,Gabe Davis,BUF,@LAR,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,88.0,1.0,3.0,0.0,17.8,17.80
2022,1,NN,RB,Darrell Henderson,LAR,BUF,13,0.0,0.0,0.0,0.0,0.0,13.0,47.0,0.0,2.0,5.0,5.0,26.0,0.0,1.0,0.0,10.3,10.30
2022,1,W (9/1),RB,Devin Singletary,BUF,@LAR,9,0.0,0.0,0.0,0.0,0.0,8.0,48.0,0.0,2.0,2.0,2.0,14.0,0.0,2.0,0.0,10.2,10.20
2022,1,CC,WR,Allen Robinson,LAR,BUF,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,12.0,0.0,0.0,0.0,1.2,1.20
2022,1,W (9/1),TE,Dawson Knox,BUF,@LAR,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.5,0.50
2022,1,NN,RB,Cam Akers,LAR,BUF,13,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2022,1,W (9/1),WR,Tutu Atwell,LAR,BUF,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2022,1,W (9/1),TE,Reggie Gilliam,BUF,@LAR,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2022,1,W (9/1),RB,Kyren Williams,LAR,BUF,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2022,1,W (9/1),TE,Tommy Sweeney,BUF,@LAR,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2022,1,W (9/1),TE,Brycen Hopkins,LAR,BUF,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2022,1,W (9/1),WR,Jake Kumerow,BUF,@LAR,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2022,1,W (9/1),RB,Jake Funk,LAR,BUF,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2022,1,W (9/1),RB,Taiwan Jones,BUF,@LAR,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2022,1,CC,RB,James Cook,BUF,@LAR,9,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.8,-1.80
