Season,Pos,Player,NFL,G,PaCmp,PaAtt,PaYd,PaTD,PaInt,RuAtt,RuYd,RuTD,RuFD,Tar,Rec,ReYd,ReTD,ReFD,FL,Avg,FPts
2021,WR,AJ Brown,PHI,13,0,2,0,0,0,2,10,0,1,105,63,869,5,45,0,12.61,163.9
2021,WR,AJ Green,ARI,16,0,0,0,0,0,0,0,0,0,92,54,848,3,37,0,8.74,139.8
2021,RB,Aaron Jones,GB,15,0,0,0,0,0,171,799,4,37,65,52,391,6,22,1,15.73,236.0
2021,WR,Adam Humphries,WAS,17,0,0,0,0,0,0,0,0,0,62,41,383,0,23,0,3.61,61.3
2021,RB,Adam Prentice,NO,7,0,0,0,0,0,3,5,0,2,3,3,16,0,1,0,0.73,5.1
2021,TE,Adam Shaheen,MIA,12,0,0,0,0,0,0,0,0,0,16,12,110,0,5,0,1.33,16.0
2021,WR,Adam Thielen,MIN,13,0,0,0,0,0,1,2,0,0,95,67,726,10,37,0,13.06,169.8
2021,TE,Adam Trautman,NO,13,0,0,0,0,0,0,0,0,0,43,27,263,2,13,1,3.79,49.3
2021,RB,Adrian Peterson,SEA,4,0,0,0,0,0,38,98,2,6,4,4,8,0,0,0,7.15,28.6
2021,TE,Albert Okwuegbunam,DEN,14,0,0,0,0,0,0,0,0,0,40,33,330,2,15,1,4.14,58.0
2021,WR,Albert Wilson,MIA,14,0,1,0,0,0,4,17,0,1,39,25,213,0,10,0,2.43,34.0
2021,RB,Alec Ingold,MIA,9,0,0,0,0,0,2,1,0,1,12,10,85,1,4,0,2.18,19.6
2021,RB,Alex Armah,WAS,11,0,0,0,0,0,5,21,0,4,1,1,1,1,1,0,1.2,13.2
2021,RB,Alex Collins,SEA,11,0,0,0,0,0,108,411,2,22,10,9,87,0,3,1,7.71,84.8
2021,WR,Alex Erickson,WAS,17,0,0,0,0,0,0,0,0,0,4,3,55,0,2,0,0.44,7.5
2021,RB,Alexander Mattison,MIN,16,0,0,0,0,0,134,491,3,28,39,32,228,1,10,1,8.24,131.9
2021,WR,Allen Lazard,GB,15,0,0,0,0,0,3,32,0,2,60,40,513,8,28,0,8.83,132.5
2021,WR,Allen Robinson,LAR,12,0,0,0,0,0,0,0,0,0,66,38,410,1,22,0,5.92,71.0
2021,RB,Alvin Kamara,NO,13,0,0,0,0,0,240,898,4,42,67,47,439,5,20,0,19.21,249.7
2021,WR,Amari Cooper,CLE,15,0,0,0,0,0,0,0,0,0,104,68,865,8,45,0,11.97,179.5
2021,WR,Amari Rodgers,GB,16,0,0,0,0,0,1,11,0,1,8,4,45,0,2,0,0.54,8.6
2021,RB,Ameer Abdullah,LV,17,0,0,0,0,0,51,166,0,8,53,38,289,1,13,0,4.26,72.5
2021,WR,Amon-Ra St Brown,DET,17,0,0,0,0,0,7,61,1,2,119,90,912,5,48,0,11.02,187.3
2021,WR,Andre Roberts,CAR,16,0,0,0,0,0,3,19,0,0,2,1,35,0,1,2,0.15,2.4
2021,QB,Andy Dalton,NO,8,149,236,1515,8,9,16,76,0,2,0,0,0,0,0,1,10.78,86.2
2021,WR,Andy Isabella,ARI,8,0,0,0,0,0,0,0,0,0,1,1,13,0,1,0,0.29,2.3
2021,RB,Andy Janovich,HOU,13,0,0,0,0,0,2,0,1,1,4,3,9,0,1,0,0.84,10.9
2021,TE,Anthony Firkser,ATL,15,0,0,0,0,0,0,0,0,0,43,34,291,2,15,1,4.01,60.1
2021,RB,Anthony McFarland,PIT,2,0,0,0,0,0,3,3,0,0,1,1,11,0,1,0,1.2,2.4
2021,WR,Anthony Miller,PIT,3,0,0,0,0,0,0,0,0,0,12,6,25,1,3,0,3.83,11.5
2021,WR,Anthony Schwartz,CLE,14,0,0,0,0,0,6,39,0,4,23,10,135,1,6,0,2.39,33.4
2021,WR,Antoine Wesley,ARI,15,0,0,0,0,0,0,0,0,0,32,19,208,3,9,0,3.19,47.8
2021,WR,Antonio Brown,TB,7,0,0,0,0,0,1,6,0,0,62,42,545,4,29,0,15.44,108.1
2021,RB,Antonio Gibson,WAS,16,0,0,0,0,0,258,1037,7,65,52,42,294,3,12,4,16.51,264.1
2021,TE,Antony Auclair,HOU,16,0,0,0,0,0,0,0,0,0,5,5,47,1,2,0,0.79,12.7
2021,WR,Ashton Dulin,IND,17,0,0,0,0,0,3,32,0,1,22,13,173,2,9,0,2.5,42.5
2021,WR,Auden Tate,ATL,7,0,0,0,0,0,0,0,0,0,4,3,39,1,3,0,1.84,12.9
2021,RB,Austin Ekeler,LAC,16,0,0,0,0,0,206,911,12,53,94,70,647,8,31,3,22.36,357.8
2021,TE,Austin Hooper,TEN,16,0,0,0,0,0,0,0,0,0,61,38,345,3,18,0,4.53,72.5
2021,RB,Austin Walter,NYJ,4,0,0,0,0,0,26,101,1,5,3,2,9,0,1,0,5.75,23.0
2021,QB,Baker Mayfield,CLE,14,253,418,3010,17,13,37,134,1,12,0,0,11,0,0,3,13.78,192.9
2021,WR,Ben Skowronek,LAR,14,0,0,0,0,0,0,0,0,0,20,11,133,0,7,0,1.45,20.3
2021,RB,Benny Snell,PIT,17,0,0,0,0,0,36,98,0,2,4,2,13,0,0,0,0.77,13.1
2021,QB,Blaine Gabbert,TB,6,7,11,67,0,0,9,-7,0,0,0,0,0,0,0,0,0.45,2.68
2021,TE,Blake Bell,KC,16,0,0,0,0,0,4,10,0,4,13,9,87,0,4,0,1.11,17.7
2021,TE,Blake Jarwin,DAL,8,0,0,0,0,0,0,0,0,0,17,11,96,2,5,0,3.33,26.6
2021,RB,Boston Scott,PHI,16,0,0,0,0,0,87,373,7,24,16,13,83,0,3,1,7.04,112.6
2021,WR,Brandin Cooks,HOU,16,0,0,0,0,0,2,21,0,1,134,90,1037,6,45,0,11.74,187.8
2021,WR,Brandon Aiyuk,SF,17,0,0,0,0,0,5,17,0,0,84,56,826,5,37,1,8.9,151.3
2021,QB,Brandon Allen,CIN,6,17,34,149,2,0,7,-1,0,1,0,0,0,0,0,0,2.49,14.96
2021,RB,Brandon Bolden,LV,17,0,0,0,0,0,44,226,1,12,49,41,405,2,21,0,6.83,116.1
