League,Season,DivAbbrev,Team,W,L,T,PCT,GB,Streak,Div,Wks,PF,Back,PA
TRUFFLE,2020,GOB,FRR,9,4,0,0.692,0.0,W3,4-0-0,5,1935.9,0.0,1468.8
TRUFFLE,2020,GOB,VD,8,5,0,0.615,1.0,W3,2-2-0,1,1907.1,28.8,1748.2
TRUFFLE,2020,GOB,AFL,3,10,0,0.231,6.0,L4,0-4-0,2,1521.0,414.9,1878.6
TRUFFLE,2020,CH+,GF,7,6,0,0.538,0.0,L2,3-1-0,0,1791.4,144.5,1793.2
TRUFFLE,2020,CH+,NN,7,6,0,0.538,0.0,L1,0-4-0,0,1911.8,24.1,1869.2
TRUFFLE,2020,CH+,WCBA,5,8,0,0.385,2.0,W2,3-1-0,0,1533.6,402.3,1845.0
TRUFFLE,2020,MI,CC,8,5,0,0.615,0.0,W1,2-2-0,4,1926.2,9.7,1725.3
TRUFFLE,2020,MI,WLW,5,8,0,0.385,3.0,L5,3-1-0,0,1608.7,327.2,1602.1
TRUFFLE,2020,MI,ELP,3,10,0,0.231,5.0,L1,1-3-0,0,1448.8,487.1,1719.7
TRUFFLE,2020,OT,MWM,11,2,0,0.846,0.0,W1,3-1-0,0,1903.5,32.4,1642.8
TRUFFLE,2020,OT,CRB,9,4,0,0.692,2.0,W4,3-1-0,1,1874.4,61.5,1653.2
TRUFFLE,2020,OT,MCM,3,10,0,0.231,8.0,L5,0-4-0,0,1502.5,433.4,1918.6
TRUFFLE,2021,GOB,VD,9,5,0,0.643,0.0,L1,4-0-0,3,2137.1,59.3,1786.5
TRUFFLE,2021,GOB,FRR,4,10,0,0.286,5.0,W1,2-2-0,0,1641.2,555.2,1936.6
TRUFFLE,2021,GOB,AFL,4,10,0,0.286,5.0,L4,0-4-0,0,1494.6,701.8,1771.8
TRUFFLE,2021,CH+,WLW,9,5,0,0.643,0.0,W3,4-0-0,1,1951.5,244.8,1781.8
TRUFFLE,2021,CH+,NN,8,6,0,0.571,1.0,W1,2-2-0,0,1641.8,554.6,1699.8
TRUFFLE,2021,CH+,GF,4,10,0,0.286,5.0,L1,0-4-0,0,1569.0,627.4,1920.4
TRUFFLE,2021,MI,CC,10,4,0,0.714,0.0,W5,4-0-0,1,2014.9,181.5,1612.2
TRUFFLE,2021,MI,MAM,7,7,0,0.5,3.0,L1,2-2-0,0,1676.5,519.9,1830.9
TRUFFLE,2021,MI,ELP,2,12,0,0.143,8.0,L2,0-4-0,2,1686.2,510.2,1969.2
TRUFFLE,2021,OT,MWM,13,1,0,0.929,0.0,W2,4-0-0,3,2196.4,0.0,1535.9
TRUFFLE,2021,OT,MCM,9,5,0,0.643,4.0,W1,2-2-0,4,1953.2,243.2,1904.8
TRUFFLE,2021,OT,CRB,5,9,0,0.357,8.0,L2,0-4-0,0,1615.9,580.5,1828.2
TRUFFLE,2022,GOB,FRR,10,4,0,0.714,0.0,L1,3-1-0,5,2141.7,0.0,1748.5
TRUFFLE,2022,GOB,VD,4,10,0,0.286,6.0,L7,2-2-0,1,1402.5,739.2,1797.2
TRUFFLE,2022,GOB,AFL,3,11,0,0.214,7.0,W1,1-3-0,1,1650.3,491.4,1838.8
TRUFFLE,2022,CH+,NN,9,5,0,0.643,0.0,W5,4-0-0,3,2022.5,119.2,1721.9
TRUFFLE,2022,CH+,GF,6,8,0,0.429,3.0,W1,2-2-0,0,1273.2,868.6,1447.7
TRUFFLE,2022,CH+,WLW,5,9,0,0.357,4.0,L1,0-4-0,1,1666.9,474.8,1729.1
TRUFFLE,2022,MI,ELP,11,3,0,0.786,0.0,W4,3-1-0,0,1995.5,146.3,1763.6
TRUFFLE,2022,MI,MAM,11,3,0,0.786,0.0,W5,3-1-0,2,1938.8,202.9,1736.2
TRUFFLE,2022,MI,CC,8,6,0,0.571,3.0,L2,0-4-0,0,1718.6,423.2,1709.9
TRUFFLE,2022,OT,MCM,9,5,0,0.643,0.0,L1,4-0-0,1,1854.4,287.4,1820.2
TRUFFLE,2022,OT,CRB,4,10,0,0.286,5.0,L2,1-3-0,0,1596.0,545.8,1907.7
TRUFFLE,2022,OT,MWM,4,10,0,0.286,5.0,W1,1-3-0,0,1649.1,492.7,1688.6
TRUFFLE,2023,GOB,FRR,12,2,0,0.857,0.0,W5,4-0-0,2,2122.6,16.6,1616.2
TRUFFLE,2023,GOB,AFL,6,8,0,0.429,6.0,W1,2-2-0,1,1782.1,357.1,1736.1
TRUFFLE,2023,GOB,VD,3,11,0,0.214,9.0,L6,0-4-0,0,1450.8,688.4,1954.3
TRUFFLE,2023,CH+,WLW,11,3,0,0.786,0.0,W7,4-0-0,2,2050.7,88.5,1611.7
TRUFFLE,2023,CH+,NN,6,8,0,0.429,5.0,L1,1-3-0,0,1648.8,490.4,1749.4
TRUFFLE,2023,GH+,GF,3,11,0,0.214,8.0,L5,1-3-0,1,1286.6,852.6,1767.5
TRUFFLE,2023,MI,ELP,8,6,0,0.571,0.0,L1,3-1-0,3,2139.2,0.0,1896.9
TRUFFLE,2023,MI,MAM,7,7,0,0.5,1.0,W1,3-1-0,3,1978.7,160.5,1821.5
TRUFFLE,2023,MI,CC,1,13,0,0.071,7.0,L4,0-4-0,0,1295.8,843.4,1951.7
TRUFFLE,2023,OT,MAM,10,4,0,0.714,0.0,L2,1-3-0,0,1917.9,221.3,1719.4
TRUFFLE,2023,OT,CRB,9,5,0,0.643,1.0,W2,3-1-0,2,1860.4,278.8,1658.5
TRUFFLE,2023,OT,MWM,8,6,0,0.571,2.0,W3,2-2-0,0,1620.2,519.0,1670.6
TRUFFLE,2024,MI,MAM,10,4,0,0.714,0.0,W3,3-1-0,2,2193.8,242.4,1834.9
TRUFFLE,2024,MI,ELP,7,8,0,0.467,3.0,L1,2-3-0,2,1840.3,595.9,1784.9
TRUFFLE,2024,MI,CC,6,9,0,0.4,4.0,W1,2-3-0,0,2000.3,435.8,1972.6
TRUFFLE,2024,CH+,WLW,11,3,0,0.786,0.0,W1,4-0-0,2,2436.2,0.0,1693.6
TRUFFLE,2024,CH+,NN,8,7,0,0.533,3.0,W2,2-2-0,1,2018.6,417.5,1892.4
TRUFFLE,2024,CH+,GF,3,11,0,0.214,8.0,L5,0-4-0,0,1496.0,940.2,1897.6
TRUFFLE,2024,GOB,FRR,9,6,0,0.6,0.0,W2,2-2-0,2,2167.9,268.2,1907.2
TRUFFLE,2024,GOB,AFL,9,6,0,0.6,0.0,W1,2-3-0,1,2096.7,339.5,2050.4
TRUFFLE,2024,GOB,VD,8,7,0,0.533,1.0,L2,3-2-0,1,1949.0,487.2,2039.5
TRUFFLE,2024,OT,MCM,7,8,0,0.467,0.0,L1,3-1-0,1,1810.8,625.4,2002.2
TRUFFLE,2024,OT,CRB,5,9,0,0.357,2.0,L1,0-4-0,3,2110.5,325.7,2058.7
